"운영팀> 2번 모니터> 유니티 프로그램 내용 Num","Key","Korean","English","Japanese","Chinese","Nhóm vận hành > Màn hình 2 > Nội dung chương trình Unity Vietnamese","Indonesian","Thai","Russian","비고","기타"
"52","Here_HistoryContent","자연 친화적 공간: 화성휴게소(특히 목포 방향)는 꽃길 미술공원이나 '해넘이 공원' 등 자연을 즐길 수 있는 산책로가 잘 조성되어 있습니다. 장거리 운전 중 가볍게 걷거나 스트레칭을 하기 좋습니다. 깔끔하고 현대적인 화장실 인테리어와 외관으로 이용객들의 만족도가 높은 편입니다.","Eco-Friendly Space: Enjoy walking trails like 'Flower Path Art Park' and 'Sunset Park,' perfect for a light walk or stretching during a long drive.
Clean & Modern: Highly rated for its modern exterior and clean restrooms.","自然に優しい空間: 「花の道美術公園」や「夕日公園」などの散策路があり、長距離運転中のストレッチに最適です。
快適な環境: 清潔でモダンなトイレと外観が利用客から好評です。","亲近自然的空间: 设有“花路美术公园”和“日落公园”等散步小径，非常适合在长途驾驶中散步或做拉伸运动。
舒适的环境: 干净现代的洗手间和外观设计深受旅客好评。","Không gian thân thiện với thiên nhiên: Khu nghỉ dưỡng Hwaseong (đặc biệt là hướng Mokpo) có những con đường đi bộ được xây dựng tốt, nơi bạn có thể tận hưởng thiên nhiên, chẳng hạn như Công viên Nghệ thuật Đường Hoa và 'Công viên Hoàng hôn'. Đây là nơi lý tưởng để đi bộ nhẹ nhàng hoặc giãn cơ trong những chuyến đi đường dài. Mức độ hài lòng của người dùng nhìn chung cao nhờ nội thất và ngoại thất nhà vệ sinh sạch sẽ và hiện đại.","Ruang ramah lingkungan: Area Istirahat Hwaseong (khususnya arah Mokpo) memiliki jalur pejalan kaki yang tertata rapi di mana Anda dapat menikmati alam, seperti Taman Seni Jalur Bunga dan 'Taman Matahari Terbenam'. Sangat ideal untuk berjalan-jalan santai atau meregangkan badan setelah berkendara jarak jauh. Kepuasan pengguna umumnya tinggi karena interior dan eksterior toilet yang bersih dan modern.","พื้นที่เป็นมิตรกับธรรมชาติ: จุดพักรถฮวาซอง (โดยเฉพาะฝั่งมุ่งหน้าไปยังมกโพ) มีเส้นทางเดินที่จัดไว้อย่างดี ซึ่งคุณสามารถเพลิดเพลินกับธรรมชาติได้ เช่น สวนศิลปะเส้นทางดอกไม้ และ 'สวนชมพระอาทิตย์ตก' เหมาะสำหรับการเดินเล่นเบาๆ หรือยืดเส้นยืดสายระหว่างการขับรถทางไกล ความพึงพอใจของผู้ใช้โดยทั่วไปสูง เนื่องจากห้องน้ำมีความสะอาดและทันสมัยทั้งภายในและภายนอก","Зона отдыха Хвасон (особенно в направлении Мокпо) отличается хорошо обустроенными пешеходными дорожками, где можно насладиться природой, такими как Художественный парк «Цветочная тропа» и «Парк заката». Это идеальное место для неспешной прогулки или разминки во время длительной поездки на автомобиле. В целом, уровень удовлетворенности пользователей высок благодаря чистоте и современному внутреннему и внешнему виду туалетов.","",""
"53","Here_Culture","대표 먹거리 (시그니처 메뉴)","Signature Foods","代表グルメ (シグネチャーメニュー)","代表美食（特色菜单）","Các món ăn đặc trưng","Hidangan andalan","เมนูเด่น","Фирменные блюда","",""
"54","Here_CultureContent","순대국밥: 국물 깊이부터 장난 아님. 
건더기 폼 미쳤고, 고속도로 달리다 쌓인 
피로 싹 내려가는 든든한 국밥 바이브. 
완뚝 무조건 가능!
순두부청국장: 청국장 특유의 찐한 구수함에 
몽글몽글 순두부가 들어가 부드러움 끝판왕. 
감칠맛 대박이라 호불호 없이 밥 한 공기 뚝딱하는 찐 밥도둑.","Sundae Gukbap: The depth of this broth is no joke. The generous toppings are insane, and it gives you that hearty vibe that melts away highway fatigue. A guaranteed empty bowl!
Sundubu Cheonggukjang: The ultimate softness with the deep, savory richness of Cheonggukjang and fluffy soft tofu. The umami is so crazy that everyone will love it. A true rice thief!","すんでくっぱ: すーぷの ふかさが はんぱない。 ぐが たっぷりで、こうそく どうろを はしって たまった つかれが ぜんぶ ふきとぶ まんぞくかん。 ぜったいに ぜんぶ たべちゃう！
すんどぅぶ ちょんぐくちゃん: ちょんぐくちゃん とくゆうの ふかい あじわいに、ふわふわの すんどぅぶが はいって やわらかさ さいこう。 うまみが すごくて、だれでも ごはん いっぱい ぺろりと たべちゃう ほんとうの ごはん どろぼう。","米肠汤饭：汤底的醇厚度简直绝了！配料超级丰富，喝一口就能把跑高速的疲惫一扫而光，满满的饱腹感。绝对让你光盘！

软豆腐清麴酱汤：清麴酱特有的浓郁醇香，加上滑嫩的软豆腐，口感无敌了。鲜味爆表，完全不挑人，绝对是让你秒光一碗饭的真正“下饭神器”。","Cơm thập cẩm Sundae Gukbap: Nước dùng đậm đà không thể chê vào đâu được.

Phần nhân trông thật hấp dẫn, và món ăn mang lại cảm giác ấm áp, bổ dưỡng, giúp xua tan ngay sự mệt mỏi sau một ngày dài lái xe.

Bạn chắc chắn có thể ăn hết cả bát!

Đậu hũ Sundubu Cheonggukjang: Độ mềm hoàn hảo, kết hợp hương vị đậm đà đặc trưng của tương ớt Cheonggukjang với đậu hũ mềm xốp.

Vị umami tuyệt vời, khiến nó trở thành món ăn ""ăn cơm"" đích thực mà ai cũng sẽ thích và dễ dàng ăn hết cả một bát cơm.","Sundae Gukbap: Kuahnya sangat kaya rasa.

Toppingnya terlihat luar biasa, dan supnya terasa mengenyangkan, langsung menghilangkan rasa lelah setelah berkendara di jalan raya.

Anda pasti bisa menghabiskan seluruh mangkuknya!

Sundubu Cheonggukjang: Kelembutan yang sempurna, menggabungkan rasa gurih yang kaya khas Cheonggukjang dengan tahu lembut yang mengembang.

Rasa umaminya luar biasa, menjadikannya pengisap nasi yang akan dinikmati semua orang dan dengan mudah menghabiskan semangkuk nasi.","ซุนแดกุกบับ: น้ำซุปเข้มข้นมาก ไม่ธรรมดาเลย

เครื่องเคียงดูอลังการ และให้ความรู้สึกเหมือนซุปอุ่นๆ ที่ช่วยล้างความเหนื่อยล้าจากการขับรถบนทางหลวงได้ทันที

รับรองว่ากินหมดชามแน่นอน!

ซุนดูบูชองกุกจัง: สุดยอดแห่งความนุ่มละมุน ผสมผสานรสชาติเข้มข้นกลมกล่อมอันเป็นเอกลักษณ์ของชองกุกจังเข้ากับเต้าหู้นุ่มฟู

รสอูมามิสุดยอด ทำให้เป็นเมนูที่กินกับข้าวได้อร่อยจนทุกคนต้องติดใจและกินหมดชามได้ง่ายๆ","Суп сундэ-гукбап: глубина бульона просто невероятная.

Добавки выглядят потрясающе, а сам суп обладает той самой сытной, которая мгновенно снимает усталость, накопившуюся за рулём на трассе.

Вы точно сможете съесть всю миску!

Сундубу Чонгукджан: невероятная мягкость, сочетание насыщенного, пикантного вкуса, характерного для чонгукджана, с воздушным мягким тофу.

Умами невероятное, это настоящий «похититель риса», который понравится всем, и вы легко съедите целую миску риса.","",""
"55","Here_Attraction","편의시설 & 위치정보","Facilities & Location","便利な施設と位置情報","便利设施与位置信息","Thông tin về tiện nghi và vị trí","Informasi Fasilitas & Lokasi","ข้อมูลสิ่งอำนวยความสะดวกและสถานที่ตั้ง","Информация об удобствах и местоположении","",""
"56","Here_AttractionContent","주유 및 충전: EX-OIL 주유소, LPG 충전소, 전기차 충전소가 있습니다.
기타 시설: 수유실, 편의점, 하이패스 충전기, 비즈니스 센터등이 있습니다.
>위치정보 
  노선: 서해안고속도로 (15번 고속도로)
  위치: 경기도 화성시 팔탄면
  목포 방향: 다음 휴게소는 행담도휴게소","Fuel & Charging: EX-OIL gas station, LPG station, and EV charging stations.
Other Facilities: Nursing room, convenience store, Hi-Pass recharge, and business center.
>Route & Location: Seohaean Expressway (Route 15) 
 Paltan-myeon, Hwaseong-si, Gyeonggi-do
 Next Stop: Haengdamdo Service Area","給油・充電: EX-OILガソリンスタンド、LPGスタンド、EV充電所
その他の施設: 授乳室、コンビニ、ハイパス充電器、ビジネスセンター
>路線と位置: 西海岸高速道路 (15番) 
  京畿道 華城市 八灘面
  次のSA: 行淡島(ヘンダムド)サービスエリア","加油与充电: EX-OIL加油站、LPG加气站和电动车充电站。
其他设施: 哺乳室、便利店、Hi-Pass充值机、商务中心。
>路线与位置: 西海岸高速公路（15号）
  京畿道华城市八滩面。
  下一站: 行淡岛休息站","Trạm xăng & sạc điện: Có trạm xăng EX-OIL, trạm nạp khí LPG và trạm sạc xe điện.

Các tiện ích khác: Có phòng cho con bú, cửa hàng tiện lợi, trạm sạc Hi-Pass, trung tâm thương mại, v.v.

Thông tin vị trí

Tuyến đường: Đường cao tốc bờ Tây (Quốc lộ số 15)

Vị trí: Paltan-myeon, Hwaseong-si, Gyeonggi-do

Hướng về Mokpo: Trạm dừng chân tiếp theo là Trạm dừng chân Haengdamdo","Pengisian Bahan Bakar & Pengisian Daya: Tersedia SPBU EX-OIL, SPBU LPG, dan stasiun pengisian daya kendaraan listrik.

Fasilitas Lainnya: Tersedia ruang menyusui, minimarket, pengisi daya Hi-Pass, pusat bisnis, dll.

>Informasi Lokasi

Rute: Jalan Tol Pantai Barat (Jalan Tol No. 15)

Lokasi: Paltan-myeon, Hwaseong-si, Gyeonggi-do

Menuju Mokpo: Area istirahat berikutnya adalah Area Istirahat Haengdamdo","สถานีเติมน้ำมันและชาร์จ: มีสถานีบริการน้ำมัน EX-OIL สถานีเติมแก๊ส LPG และสถานีชาร์จรถยนต์ไฟฟ้าให้บริการ

สิ่งอำนวยความสะดวกอื่นๆ: ห้องให้นมบุตร ร้านสะดวกซื้อ เครื่องชาร์จ Hi-Pass ศูนย์ธุรกิจ ฯลฯ มีให้บริการ

>ข้อมูลสถานที่ตั้ง

เส้นทาง: ทางด่วนชายฝั่งตะวันตก (ทางด่วนหมายเลข 15)

สถานที่ตั้ง: หมู่บ้านพัลทัน อำเภอฮวาซอง จังหวัดคยองกี

มุ่งหน้าไปยังมกโพ: จุดพักรถถัดไปคือ จุดพักรถแฮงดัมโด","Заправка и зарядка: Доступны автозаправочная станция EX-OIL, станция заправки сжиженным газом и станция зарядки электромобилей.

Другие удобства: Комната для кормления, круглосуточный магазин, зарядное устройство Hi-Pass, бизнес-центр и т. д.

>Информация о местоположении

Маршрут: Западная прибрежная скоростная автомагистраль (скоростная автомагистраль № 15)

Местоположение: Пальтан-мён, Хвасон-си, провинция Кёнгидо

В направлении Мокпо: Следующая зона отдыха — зона отдыха Хэндамдо","",""
"58","Greeting_Introduce","안녕하세요! 휴게소 마스코트 '휴'를 소개할게요!","Hello! Let me introduce 'Hue', the rest area mascot!","こんにちは！きゅうけいじょの ますこっと「ひゅ」を しょうかいするね！","大家好！向大家介绍一下休息站吉祥物“Hue”！","Xin chào! Cho phép tôi giới thiệu 'Hyu', linh vật của khu vực nghỉ ngơi!","Halo! Izinkan saya memperkenalkan 'Hyu', maskot area peristirahatan ini!","สวัสดี! ขอแนะนำ 'ฮยู' มาสคอตประจำจุดพักรถครับ!","Здравствуйте! Позвольте представить вам «Хью», талисман зоны отдыха!","",""
"57","Greeting_Category1","휴' 소개","About 'Hue'","「ひゅ」の しょうかい","“Hue”介绍","Giới thiệu về 'Sắc độ'","Pengantar 'Hue'","บทนำเกี่ยวกับ 'เฉดสี'","Введение в понятие «оттенок»","",""
"81","Greeting_Category2","휴'의 일상생활","HUE's Daily Life","ヒュー(HUE)の日常生活","HUE的日常生活","Cuộc sống thường nhật của Hugh","Kehidupan sehari-hari Hugh","ชีวิตประจำวันของฮิวจ์","Повседневная жизнь Хью","",""
"88","Greeting_Category3","스트레칭 고고~","Let’s go stretch~
","ストレッチ~","拉伸走 ~","Cùng khởi động nào!","Ayo kita lakukan peregangan!","ไปยืดเส้นยืดสายกันเถอะ!","Давайте сделаем разминку!","",""
"59","Greeting_Name","이름","Name","名前","姓名","tên","nama","ชื่อ","имя","",""
"60","Greeting_NameContent","휴 (HUE)","HUE","HUE","HUE","Màu sắc","Warna","ฮิว","Оттенок","",""
"61","Greeting_BirthDay","출생","Date of Birth","生年月日","出生日期","sinh","kelahiran","การเกิด","рождение","",""
"62","Greeting_BirthDayContent","2006년 3월 19일","March 19, 2006","2006年3月19日","2006年3月19日","Ngày 19 tháng 3 năm 2006","19 Maret 2006","19 มีนาคม 2549","19 марта 2006 г.","",""
"63","Greeting_HomeTown","출신","Background","出身地","家乡","tự nhiên","warga asli","พื้นเมือง","родной","",""
"64","Greeting_HomeTownContent","대한민국","Gyeonggi-do","きょんぎど","京畿道","Hàn Quốc","Korea","เกาหลี","Корея","",""
"65","Greeting_Nationality","국적","Nationality","国籍","国籍","quốc tịch","kebangsaan","สัญชาติ","национальность","",""
"66","Greeting_NationalityContent","대한민국","Republic of Korea","大韓民国","大韩民国","Hàn Quốc","Korea","เกาหลี","Корея","",""
"67","Greeting_BloodType","혈액형","Blood Type","血液型","血型","nhóm máu","golongan darah","หมู่เลือด","группа крови","",""
"68","Greeting_BloodTypeContent","O형","Type O","O型","O型","Loại O","Tipe O","กรุ๊ป O","Тип O","",""
"69","Greeting_MBTI","MBTI","MBTI","MBTI","MBTI","MBTI","MBTI","MBTI","MBTI","",""
"70","Greeting_MBTIContent","ENTP (당당하고 창의적인)","ENTP","ENTP","ENTP","ENTP (Tự tin và Sáng tạo)","ENTP (Percaya Diri dan Kreatif)","ENTP (มั่นใจและสร้างสรรค์)","ENTP (Уверенный и Креативный)","",""
"71","Greeting_BodyInfo","신체","Body","体型","身材","thân hình","tubuh","ร่างกาย","тело","",""
"72","Greeting_BodyInfoContent","170cm, 34-25-35, 240mm (몸무게는 비밀…)","170cm, 34-25-35, 240mm (Weight is a secret!)","170cm, 34-25-35, 240mm (体重は秘密！)","170cm, 34-25-35, 240mm (体重是秘密哦！)","170cm, 34-25-35, 240mm (Cân nặng là bí mật…)","170cm, 34-25-35, 240mm (Beratnya dirahasiakan…)","ส่วนสูง 170 ซม., รอบอก 34-25-35, รอบเอว 240 มม. (น้ำหนักเป็นความลับ…)","170 см, 34-25-35, 240 мм (Вес — секрет…)","",""
"73","Greeting_Hobby","특기","Specialties","特技","特长","Kỹ năng đặc biệt","Keahlian khusus","ทักษะพิเศษ","Особый навык","",""
"74","Greeting_HobbyContent","다양한 나라의 언어 능력, 댄스, 노래 등","Multilingual skills, dancing, singing, etc.","多様な言語能力、ダンス、歌など","多国语言能力、舞蹈、唱歌等","Khả năng ngoại ngữ từ nhiều quốc gia, khiêu vũ, ca hát, v.v.","Kemampuan berbahasa dari berbagai negara, menari, menyanyi, dan lain sebagainya.","ทักษะด้านภาษาจากหลากหลายประเทศ การเต้นรำ การร้องเพลง เป็นต้น","Знание языков разных стран, танцы, пение и т.д.","",""
"75","Greeting_Specialty","취미","Hobbies","趣味","兴趣","sở thích","hobi","งานอดิเรก","хобби","",""
"76","Greeting_SpecialtyContent","K-POP 댄스, 맛집 탐방, 디저트 카페 방문, 테니스, 골프","K-POP dance, food tours, tennis, golf","K-POPダンス、グルメ巡り、デザートカフェ巡り、テニス、ゴルフ","K-POP 舞蹈、美食探店、探访甜点咖啡馆、网球、高尔夫","Nhảy K-POP, đi ăn ở các nhà hàng nổi tiếng, đi quán cà phê tráng miệng, chơi tennis, chơi golf.","Tarian K-POP, mengunjungi restoran terkenal, mengunjungi kafe makanan penutup, tenis, golf","การเต้น K-POP, การไปทานอาหารที่ร้านอาหารชื่อดัง, การไปร้านขนมหวาน, เทนนิส, กอล์ฟ","Танцы K-POP, посещение известных ресторанов, посещение кафе-кондитерских, теннис, гольф.","",""
"77","Greeting_FutureHope","장래희망","Dream","将来の夢","志向","khát vọng tương lai","aspirasi masa depan","ความปรารถนาในอนาคต","будущие устремления","",""
"78","Greeting_FutureHopeContent","글로벌 라이프스타일 디렉터이자 영향력 있는 홍보모델, 전 세계에 선한 영향력을 전하는 인플루언서","Global lifestyle director and influential promotional model, influencer spreading positive influence ","グローバルライフスタイルディレクター兼影響力のある広報モデル、世界に良い影響を与えるインフルエンサー","全球生活方式总监及有影响力的宣传模特，向全世界传递正能量的博主","Một giám đốc phong cách sống toàn cầu, người mẫu quảng cáo có sức ảnh hưởng và người truyền cảm hứng lan tỏa ảnh hưởng tích cực trên toàn thế giới.","Seorang direktur gaya hidup global, model promosi berpengaruh, dan influencer yang menyebarkan pengaruh positif di seluruh dunia.","ผู้อำนวยการด้านไลฟ์สไตล์ระดับโลก นางแบบโฆษณาที่มีอิทธิพล และอินฟลูเอนเซอร์ที่เผยแพร่อิทธิพลเชิงบวกไปทั่วโลก","Глобальный директор по стилю жизни, влиятельная промоутерская модель и инфлюенсер, распространяющая позитивное влияние по всему миру.","",""
"79","Greeting_Introdution","자기소개","Bio","自己紹介","自我介绍","Tự giới thiệu","Perkenalan diri","แนะนำตัว","Самопредставление","",""
"80","Greeting_IntrodutionContent","디자인 전공하는 20살 대학생 휴(HUE)입니다. 미국에서 10년 살다 온 경험을 살려 4개국어를 구사하며, 현재 고속도로 휴게소 홍보모델로 활동하고 있습니다.","I'm HUE, a 20-year-old design student. Using my 10 years of experience living in the US, I speak four languages and currently work as a promotional model for highway rest areas.","デザインを専攻している20歳の大学生、ヒュー(HUE)です。アメリカでの10年の経験を活かして4ヶ国語を操り、現在は高速道路サービスエリアの広報モデルとして活動しています。","我是设计专业的20岁大学生 HUE。凭借在美国生活10年的经验，我能流利使用4国语言，目前担任高速公路休息站的宣传模特。","Tôi là Huế, 20 tuổi, sinh viên đại học chuyên ngành thiết kế. Với kinh nghiệm sống tại Hoa Kỳ 10 năm, tôi nói được bốn thứ tiếng và hiện đang làm người mẫu quảng cáo cho các trạm dừng chân trên đường cao tốc.","Saya Hue, seorang mahasiswi berusia 20 tahun jurusan desain. Berdasarkan pengalaman saya tinggal di Amerika Serikat selama 10 tahun, saya berbicara empat bahasa dan saat ini bekerja sebagai model promosi untuk tempat istirahat di jalan raya.","ฉันชื่อฮิว อายุ 20 ปี เป็นนักศึกษาวิทยาลัย สาขาออกแบบ จากประสบการณ์การใช้ชีวิตในสหรัฐอเมริกา 10 ปี ฉันพูดได้สี่ภาษา และปัจจุบันทำงานเป็นนางแบบประชาสัมพันธ์ให้กับจุดพักรถริมทางหลวง","Меня зовут Хью, мне 20 лет, я студентка колледжа, изучаю дизайн. Благодаря своему десятилетнему опыту жизни в Соединенных Штатах, я говорю на четырех языках и в настоящее время работаю рекламной моделью на придорожных зонах отдыха.","",""
"82","Greeting_Hobby_First","> 디자인 공부하는 휴","HUE the Design Student","デザインを学ぶヒュー","学习设计的 HUE","Nghiên cứu thiết kế","Mempelajari desain","การศึกษาด้านการออกแบบ","Изучение дизайна","",""
"83","Greeting_Hobby_First_Content","과제랑 전공 서적에 파묻혀 지내지만 스케치북에 아이디어를 채울 때면 세상 행복해. 
나만의 디자인으로 새로운 가치를 만드는 열정 가득한 캠퍼스 라이프를 즐기는 중이야!","I love singing and dancing like an idol—I can't resist moving to the beat! I'm also passionate about café and restaurant hopping, sharing the trendiest dessert spots and hidden gems with my friends and followers.","課題に追われる日々だけど、スケッチブックをアイデアで満たす時は最高に幸せ。自分だけのデザインで新しい価値を作る、情熱的なキャンパスライフを満喫中だよ！","虽然经常埋头于作业，但在素描本上填满创意时最幸福。正通过自己的设计创造新价值，享受充满激情的校园生活！","Tôi dành cả ngày vùi đầu vào bài tập và sách giáo khoa, nhưng tôi cảm thấy vô cùng hạnh phúc khi lấp đầy cuốn sổ phác thảo của mình bằng những ý tưởng.

Tôi đang tận hưởng cuộc sống sinh viên đầy nhiệt huyết, tạo ra những giá trị mới bằng những thiết kế độc đáo của riêng mình!","Saya menghabiskan hari-hari saya tenggelam dalam tugas dan buku pelajaran, tetapi saya merasa sangat bahagia ketika saya mengisi buku sketsa saya dengan ide-ide.

Saya menikmati kehidupan kampus yang penuh semangat, menciptakan nilai baru dengan desain unik saya sendiri!","ฉันใช้เวลาส่วนใหญ่ไปกับการทำการบ้านและอ่านตำราเรียน แต่ฉันรู้สึกมีความสุขอย่างเหลือเชื่อเมื่อได้เติมไอเดียลงในสมุดสเก็ตช์ของฉัน

ฉันสนุกกับชีวิตในมหาวิทยาลัยที่เต็มไปด้วยความกระตือรือร้น สร้างสรรค์สิ่งใหม่ๆ ด้วยการออกแบบที่เป็นเอกลักษณ์ของตัวเอง!","Я провожу дни, заваленная заданиями и учебниками, но чувствую себя невероятно счастливой, когда заполняю свой скетчбук идеями.

Я наслаждаюсь насыщенной студенческой жизнью, создавая новые ценности с помощью своих уникальных проектов!","",""
"84","Greeting_Hobby_Second","> 모델로서의 휴","HUE the Model","モデルとしてのヒュー","作为模特的 HUE","Hugh với tư cách là người mẫu","Hugh sebagai model","ฮิวจ์ในฐานะนายแบบ","Хью как модель","",""
