"운영팀> 2번 모니터> 앱 콘텐츠 내용 NO ","Key ","Korean ","English ","Japanese ","Chinese ","Vietnamese ","Indonesian ","Thai ","Russian ","Description ","","","","",""
"52","Here_HistoryContent","오산 오색시장은 정조 16년(1792년) 발간된 화성궐리지에 '오산장'으로 처음 등장할 정도로 유서 깊은 전통을 가지고 있습니다. 공식적으로는 1914년에 오산중앙시장이라는 이름으로 현재 위치에서 장이 열리기 시작했습니다. 이후 2013년에 '오색시장'으로 명칭을 변경하며 현대적인 정체성을 더했습니다. ","Osaek Market in OsanOsaek Market in Osan first appeared in the Hwaseong Gweollyeji published in the 16th year of King Jeongjo (1792), showing its long and rich tradition.
Officially, in 1914 it began operating at its current location under the name ""Osan Central Market.""
In 2013, it was renamed ""Osaek Market,"" adding a modern identity.
","烏山のオセク市場は、正祖16年（1792年）に刊行された『華城闕里誌』に「烏山場」として初めて登場するほど、由緒ある伝統を持っています。
公式には1914年に「烏山中央市場」という名前で現在の場所で市が開かれ始めました。
その後、2013年に「オセク市場」と改称し、現代的なアイデンティティを加えました。","乌山五色市场最早出现在正祖16年（1792年）出版的《华城阙里志》中，作为“乌山场”，拥有悠久的传统。
官方上，1914年以“乌山中央市场”的名称在现址开始营业。
此后在2013年更名为“五色市场”，赋予其现代化的身份。","Chợ Osaek ở Osan lần đầu tiên xuất hiện trong cuốn Hwaseong Gweollyeji được xuất bản vào năm thứ 16 đời vua Jeongjo (1792), cho thấy truyền thống lâu đời và phong phú của nó.

Chính thức, vào năm 1914, chợ bắt đầu hoạt động tại địa điểm hiện tại với tên gọi ""Chợ Trung tâm Osan"".

Năm 2013, chợ được đổi tên thành ""Chợ Osaek"", mang một diện mạo hiện đại hơn.","Pasar Osaek di Osan pertama kali muncul dalam Hwaseong Gweollyeji yang diterbitkan pada tahun ke-16 pemerintahan Raja Jeongjo (1792), menunjukkan tradisinya yang panjang dan kaya.
Secara resmi, pada tahun 1914 pasar ini mulai beroperasi di lokasi saat ini dengan nama ""Pasar Pusat Osan.""
Pada tahun 2013, namanya diubah menjadi ""Pasar Osaek,"" menambahkan identitas modern.

","ตลาดโอแซกในโอซาน ปรากฏครั้งแรกในหนังสือประวัติศาสตร์ฮวาซอง กวอลเยจี ที่ตีพิมพ์ในรัชสมัยของพระเจ้าจองโจ ปีที่ 16 (1792) ซึ่งแสดงให้เห็นถึงประเพณีอันยาวนานและร่ำรวย
อย่างเป็นทางการ ในปี 1914 ตลาดแห่งนี้ได้เริ่มดำเนินการในสถานที่ปัจจุบันภายใต้ชื่อ ""ตลาดกลางโอซาน""
ในปี 2013 ได้เปลี่ยนชื่อเป็น ""ตลาดโอแซก"" เพื่อเพิ่มความทันสมัยให้กับตลาด
","Рынок Осаек в Осане впервые упоминается в «Хвасон Гвеолльеджи», изданном в 16 году правления короля Чонджо (1792), что свидетельствует о его давних и богатых традициях.
Официально он начал свою работу в 1914 году на своем нынешнем месте под названием «Центральный рынок Осана».
В 2013 году он был переименован в «Рынок Осаек», что придало ему современный облик.

","","","","","",""
"53","Here_Culture","특징","Characteristics","特徴","特点","Đặc trưng","Karakteristik","ลักษณะเฉพาะ","Характеристики","","","","","",""
"54","Here_CultureContent","오색시장은 문화관광형 명소로, 신선한 식재료와 생활잡화를 두루 갖추고 있습니다. 다섯 가지 색 테마 길은 쇼핑의 편의와 색다른 즐거움을 더하며, 특히 주말 야시장과 수제맥주 축제는 젊은 층과 가족 방문객에게 큰 인기입니다.","Osaek Market has evolved into a cultural tourism destination offering fresh food and daily goods. Its five color-themed alleys make navigation easy and fun. The weekend night market and craft beer festival are huge hits with young people and families.","五色市場は文化観光スポットとして、新鮮な食材や生活雑貨を取り揃えています。5つの色をテーマにした通りは便利でユニークな魅力があり、週末の夜市やクラフトビール祭りは若者や家族連れに大人気です。","五色市场已发展成为文化旅游胜地，各类新鲜食材与生活用品应有尽有。五种颜色的主题街区既方便认路又别具魅力，周末夜市和精酿啤酒节更是深受年轻人及家庭游客的喜爱。","Chợ Osaek đã phát triển thành một điểm đến du lịch văn hóa, cung cấp thực phẩm tươi sống và các mặt hàng thiết yếu hàng ngày. Năm con hẻm được phân chia theo màu sắc giúp việc di chuyển dễ dàng và thú vị. Chợ đêm cuối tuần và lễ hội bia thủ công rất được giới trẻ và các gia đình yêu thích.","Pasar Osaek telah berkembang menjadi destinasi wisata budaya yang menawarkan makanan segar dan barang kebutuhan sehari-hari. Lima lorong bertema warnanya membuat navigasi menjadi mudah dan menyenangkan. Pasar malam akhir pekan dan festival bir kerajinan sangat populer di kalangan anak muda dan keluarga.","ตลาดโอแซกได้พัฒนาเป็นแหล่งท่องเที่ยวเชิงวัฒนธรรมที่นำเสนออาหารสดและสินค้าอุปโภคบริโภคประจำวัน ตรอกซอยห้าแห่งที่แบ่งตามสีทำให้การเดินชมตลาดง่ายและสนุกสนาน ตลาดกลางคืนช่วงสุดสัปดาห์และเทศกาลเบียร์คราฟต์ได้รับความนิยมอย่างมากจากคนหนุ่มสาวและครอบครัว","Рынок Осаек превратился в место культурного туризма, предлагающее свежие продукты и товары повседневного спроса. Пять тематических улочек, оформленных в разных цветах, делают навигацию легкой и увлекательной. Ночной рынок по выходным и фестиваль крафтового пива пользуются огромной популярностью у молодежи и семей.","","","","","",""
"55","Here_Attraction","현재와 미래","Present and Future","現在と未来","现在与未来","Hiện tại và Tương lai","Masa Kini dan Masa Depan","ปัจจุบันและอนาคต","Настоящее и будущее","","","","","",""
"56","Here_AttractionContent","오색시장은 전통과 현대가 어우러진 공간으로, 고객센터와 넓은 주차장 등 훌륭한 편의시설을 갖추고 있습니다. 특히 청년몰과 수제맥주 등 다채로운 콘텐츠로 젊은 층을 사로잡으며, 단순한 시장을 넘어 전국적인 관심을 받는 지역 문화 허브로 자리 잡았습니다.","Osaek Market seamlessly blends tradition with modernity, offering convenient amenities like ample parking. By attracting younger generations through its Youth Mall and unique craft beer, it has transcended the role of a traditional market to become a nationally recognized regional cultural hub.","五色市場は伝統と現代が調和した空間で、広い駐車場などの快適な施設を完備しています。青年モールやクラフトビールなどのコンテンツで若者を惹きつけ、単なる市場を超えて全国から注目される地域文化のハブとして定着しました。","五色市场完美融合了传统与现代，配备了宽敞的停车场等便利设施，让购物更加舒适。通过青年商城和精酿啤酒等文化元素吸引了年轻群体，现已超越单纯的市场功能，成为备受全国瞩目的地区文化枢纽。","Chợ Osaek kết hợp hài hòa giữa truyền thống và hiện đại, cung cấp các tiện nghi thuận tiện như bãi đậu xe rộng rãi. Bằng cách thu hút thế hệ trẻ thông qua khu phố dành cho giới trẻ và các loại bia thủ công độc đáo, chợ đã vượt qua vai trò của một khu chợ truyền thống để trở thành một trung tâm văn hóa khu vực được công nhận trên toàn quốc.","Pasar Osaek memadukan tradisi dengan modernitas secara harmonis, menawarkan fasilitas yang nyaman seperti tempat parkir yang luas. Dengan menarik generasi muda melalui Youth Mall dan bir kerajinan uniknya, pasar ini telah melampaui peran pasar tradisional dan menjadi pusat budaya regional yang diakui secara nasional.","ตลาดโอแซกผสมผสานประเพณีเข้ากับความทันสมัยได้อย่างลงตัว พร้อมสิ่งอำนวยความสะดวกมากมาย เช่น ที่จอดรถกว้างขวาง ด้วยการดึงดูดคนรุ่นใหม่ผ่านศูนย์การค้าสำหรับเยาวชนและเบียร์คราฟต์ที่เป็นเอกลักษณ์ ทำให้ตลาดแห่งนี้ก้าวข้ามบทบาทของตลาดแบบดั้งเดิมไปสู่การเป็นศูนย์กลางทางวัฒนธรรมระดับภูมิภาคที่ได้รับการยอมรับในระดับประเทศ","Рынок Осаек органично сочетает традиции и современность, предлагая такие удобства, как просторная парковка. Привлекая молодое поколение своим молодежным торговым центром и уникальным крафтовым пивом, он вышел за рамки традиционного рынка и стал признанным на национальном уровне региональным культурным центром.","","","","","",""
"57","Greeting_Category1","정이' 소개","About ""Jeong-i""","「ジョンイ」について","关于“Jeong-i”","Giới thiệu về ""Jeong-i""","Tentang ""Jeong-i""","เกี่ยวกับ ""จองอี""","О фильме «Чон-и»","","","","","",""
"58","Greeting_Introduce","안녕하세요! 전통시장 마스코트 '정이'를 소개할게요!","Hello 'Jeong-i'","「ジョンイ」、こんにちは","你好，“Jeong-i”","Chào 'Jeong-i'","Halo 'Jeong-i'","สวัสดี 'จองอี'","Привет, Чон И!","","","","","",""
"59","Greeting_Name","본명","Name","名前","姓名","Tên","Nama","ชื่อ","Имя","","","","","",""
"60","Greeting_NameContent","정이","JEONG-I","JEONG-I","JEONG-I","JEONG-I","JEONG-I","จองอี","ЧОН-И","","","","","",""
"61","Greeting_BirthDay","출생","Date of Birth","生年月日","出生日期","Ngày sinh","Tanggal lahir","วันเกิด","Дата рождения","","","","","",""
"62","Greeting_BirthDayContent","2006년 7월 31일","7월 31, 2006","2006年7月31日","2006年7月31日","Ngày 31 tháng 7 năm 2006","31 Juli 2006","7 มีนาคม 31, 2549","7–31 октября 2006 г.","","","","","",""
"63","Greeting_HomeTown","사는곳","Hometown","出身地","家乡","Quê hương","Kota asal","บ้านเกิด","Родной город","","","","","",""
"64","Greeting_HomeTownContent","대한민국 경기도 ","Gyeonggi Province, South Korea","大韓民国 京畿道 ","韩国京畿道乌","Tỉnh Kyunggi, Hàn Quốc","Provinsi Gyeonggi, Korea Selatan","จังหวัดคย็องกี ประเทศเกาหลีใต้","Провинция Кёнгидо, Южная Корея","","","","","",""
"65","Greeting_Nationality","국적","Nationality","国籍","国籍","Quốc tịch","Kebangsaan","สัญชาติ","Национальность","","","","","",""
"66","Greeting_NationalityContent","대한민국","Republic of Korea","大韓民国","大韩民国","Cộng hòa Hàn Quốc","Republik Korea","สาธารณรัฐเกาหลี","Республика Корея","","","","","",""
"67","Greeting_BloodType","혈액형","Blood Type","血液型","血型","Nhóm máu","Golongan darah","หมู่เลือด","Группа крови","","","","","",""
"68","Greeting_BloodTypeContent","O형","Type O","O型","O型","Loại O","Tipe O","กรุ๊ป O","Тип O","","","","","",""
"69","Greeting_MBTI","MBTI","MBTI","MBTI","MBTI","MBTI","MBTI","MBTI","MBTI","","","","","",""
"70","Greeting_MBTIContent","ENTJ","ENTJ","ENTJ","ENTJ","ENTJ","ENTJ","ENTJ","ENTJ","","","","","",""
"71","Greeting_BodyInfo","신체","Body","体型","身材","Thân hình","Tubuh","ร่างกาย","Тело","","","","","",""
"72","Greeting_BodyInfoContent","168cm, 32-24-34, 235mm (몸무게는 비밀…)","168cm, 32-24-34, 235mm (weight is a secret...)","168cm、32-24-34, 235mm（体重は秘密…）","168cm，32-24-34, 235mm（体重保密…）","168cm, 32-24-34, 235mm (cân nặng là bí mật...)","168cm, 32-24-34, 235mm (beratnya dirahasiakan...)","ส่วนสูง 168 ซม., รอบอก 32-24-34 นิ้ว, ความกว้าง 235 มม. (น้ำหนักเป็นความลับ...)","168 см, 32-24-34, 235 мм (вес не разглашается...)","","","","","",""
"73","Greeting_Hobby","성격","Vibe","雰囲気","气质","Rung cảm","Atmosfer","บรรยากาศ","Атмосфера","","","","","",""
"74","Greeting_HobbyContent","자기 표현이 활발하고, 호기심 많으며 새로운 경험을 즐기는 스타일, 한국의 전통에 관심이 많고 K-컨텐츠에 푹 빠져 있는 20살 대학생 ","college student, curious, expressive, loves new experiences, and passionate about Korean tradition and K-content.","自己表現が活発で好奇心旺盛、新しい体験を楽しむ20歳の大学生。
韓国の伝統やKコンテンツに夢中です。","性格外向、好奇心强、喜欢新体验的20岁大学生。
对韩国传统和K内容非常感兴趣。","Sinh viên đại học, tò mò, cởi mở, yêu thích trải nghiệm mới và đam mê truyền thống Hàn Quốc cũng như các nội dung liên quan đến Hàn Quốc.","Mahasiswa, penasaran, ekspresif, menyukai pengalaman baru, dan bersemangat tentang tradisi Korea dan konten K-pop.","นักศึกษามหาวิทยาลัย ขี้สงสัย กล้าแสดงออก ชอบประสบการณ์ใหม่ๆ และหลงใหลในประเพณีเกาหลีและคอนเทนต์เกาหลี","Студентка колледжа, любознательная, экспрессивная, любит новые впечатления и увлечена корейскими традициями и контентом на корейском языке.","","","","","",""
"75","Greeting_Specialty","취미","Hobbies","趣味","爱好","Sở thích","Hobi","งานอดิเรก","Хобби","","","","","",""
"76","Greeting_SpecialtyContent","K-POP 댄스, 맛집 탐방, 디저트 카페 방문, 테니스, 골프","K-pop dance, discovering popular restaurants, visiting dessert cafés, playing golf","K-POPダンス、美味しい店探し、デザートカフェ巡り、ゴルフ","K-POP舞蹈、探店美食、甜品咖啡馆、打高尔夫","Nhảy K-pop, khám phá các nhà hàng nổi tiếng, ghé thăm các quán cà phê tráng miệng, chơi golf.","Menari K-pop, menjelajahi restoran populer, mengunjungi kafe makanan penutup, bermain golf.","การเต้นเคป็อป, การสำรวจร้านอาหารยอดนิยม, การไปร้านขนมหวาน, การเล่นกอล์ฟ","Танцы в стиле K-pop, знакомство с популярными ресторанами, посещение кафе-кондитерских, игра в гольф.","","","","","",""
"77","Greeting_FutureHope","미래의 꿈","Future Dream","将来の夢","未来的梦想","Ước mơ tương lai","Mimpi Masa Depan","ความฝันในอนาคต","Мечта о будущем","","","","","",""
"78","Greeting_FutureHopeContent","한국 전통문화를 현대 청년 라이프스타일과 연결해 세계적으로 한국을 대표하는 문화 트렌드세터","To be a cultural trendsetter who bridges traditional Korean culture with modern youth lifestyle, representing Korea globally","韓国伝統文化を現代の若者ライフスタイルと結び付け、世界に韓国を代表する文化トレンドセッターになること","把韩国传统文化与现代青年生活方式相结合，成为向世界代表韩国的文化潮流引领者","Trở thành người tiên phong về văn hóa, kết nối văn hóa truyền thống Hàn Quốc với lối sống hiện đại của giới trẻ, đại diện cho Hàn Quốc trên toàn cầu.","Menjadi pelopor tren budaya yang menjembatani budaya tradisional Korea dengan gaya hidup anak muda modern, serta mewakili Korea di kancah global.","เพื่อเป็นผู้นำเทรนด์ทางวัฒนธรรมที่เชื่อมโยงวัฒนธรรมเกาหลีแบบดั้งเดิมเข้ากับวิถีชีวิตของคนรุ่นใหม่ในยุคปัจจุบัน และเป็นตัวแทนของเกาหลีในระดับโลก","Быть законодателем культурных тенденций, объединяющим традиционную корейскую культуру с современным молодежным образом жизни, представляя Корею на мировой арене.","","","","","",""
"79","Greeting_Introdution","소개","Intro","紹介","介绍","Giới thiệu","Pendahuluan","บทนำ","Введение","","","","","",""
"80","Greeting_IntrodutionContent","저는 MZ 대학생입니다. K-POP, 미식 탐험, 세련된 카페, 테니스, 골프를 좋아해요 . SNS로 일상을 공유하며 친구들과 수다떠는걸 좋아해요. 요즘 K-컨텐츠에 많은 관심이 있어요 그리고 특히나 전통시장의 매력을 알리고 있습니다. ","I’m an MZ college student who loves K-POP, food adventures, stylish cafes, tennis, and golf.
I enjoy sharing life on SNS and chatting with friends. Lately, I’m very interested in K-content and promoting traditional markets.","私は21歳の大学生です。K-POP、美食探し、おしゃれなカフェ、ゴルフが大好きです。SNSで日常をシェアしながら京畿道の魅力を紹介しています。伝統市場や韓国の大学生活について何でも聞いてください！","我今年21岁，是一名大学生。喜欢K-POP、美食探店、时尚咖啡馆和高尔夫。平时在社交媒体分享生活，展示京畿道的魅力。关于传统市场和韩国大学生活，尽管来问我！","Tôi là sinh viên đại học tại Zimbabwe, yêu thích K-POP, những chuyến phiêu lưu ẩm thực, các quán cà phê sành điệu, tennis và golf.
Tôi thích chia sẻ cuộc sống trên mạng xã hội và trò chuyện với bạn bè. Gần đây, tôi rất quan tâm đến nội dung Hàn Quốc và việc quảng bá các thị trường truyền thống.","Saya seorang mahasiswa MZ yang menyukai K-POP, petualangan kuliner, kafe-kafe bergaya, tenis, dan golf.
Saya senang berbagi kehidupan di SNS dan mengobrol dengan teman-teman. Akhir-akhir ini, saya sangat tertarik dengan konten K-pop dan mempromosikan pasar tradisional.","ฉันเป็นนักศึกษามหาวิทยาลัยในมาเลเซียที่ชื่นชอบ K-POP การผจญภัยด้านอาหาร คาเฟ่เก๋ๆ เทนนิส และกอล์ฟ
ฉันชอบแบ่งปันเรื่องราวชีวิตบนโซเชียลมีเดียและพูดคุยกับเพื่อนๆ ช่วงนี้ฉันสนใจคอนเทนต์เกาหลีและการส่งเสริมตลาดดั้งเดิมเป็นพิเศษ","Я студентка MZ College, обожаю K-POP, гастрономические приключения, стильные кафе, теннис и гольф.
Мне нравится делиться моментами из жизни в социальных сетях и общаться с друзьями. В последнее время меня очень интересует корейский контент и продвижение традиционных рынков.","","","","","",""
"81","Greeting_Category2","정이의 취미","JEONG-I’s Hobbies","ジョンイの趣味","正伊的爱好","Sở thích của Jeong-i","Hobi JEONG-I","งานอดิเรกของจองอี","Хобби Чон И","","","","","",""
"82","Greeting_Hobby_First","K-POP 댄스와 노래는 나의 무대!","K-POP dance and singing are my stage!","K-POPダンスと歌は私のステージ！","K-POP舞蹈和唱歌就是我的舞台！","Nhảy và hát K-POP là sân khấu của tôi!","Tarian dan nyanyian K-POP adalah panggungku!","การเต้นและการร้องเพลง K-POP คือเวทีของฉัน!","Танцы и пение в стиле K-POP – это моя сцена!","","","","","",""
