"정이 모하지(AI검색)  카테고리= 30개 (카테고리 및 해쉬태그) NO","선택 카테고리 (한국어)","영어","일어","중국어 ","베트남어","인도네시아어","태국어","러시아어","참고용 정이 뭐먹지 ","뭐사지(음식)","뭐사지(물품)","정이 도와줘 "
"11","2-채소/농산","2-Vegetables/Agricultural","2-野菜/農産物","2-蔬菜/农产","2-Rau xanh/ Nông sản","2-Sayuran/Pertanian","2. ผัก/สินค้าเกษตร","2. Овощи/Сельскохозяйственные культуры","","","",""
"12","9-축산/정육","9-Livestock/Butchery","9-畜産/精肉","9-畜产/肉铺","9-Thịt gia súc/ Thịt tươi","9-Peternakan/Pemotongan Hewan","9. ปศุสัตว์/โรงฆ่าสัตว์","9. Животноводство/Мясная лавка","","","",""
"13","10-수산/건어물","10-Seafood","10-水産/乾物","10-水产/干货","10-Hải sản/ Khô hải sản","10-Makanan Laut","10-อาหารทะเล","10-Морепродукты","","","",""
"14","3-인삼/약재","3-Ginseng/Herbs","3-高麗人参/薬材","3-人参/药材","3-Nhân sâm/ Thảo dược","3-Ginseng/Herbal","3. โสม/สมุนไพร","3. Женьшень/Травы","","","",""
"15","8-기름/방앗간","8-Oil/Mill","8-油/搾油","8-油/榨油","8-Dầu ăn/ Sản phẩm xay xát","8-Minyak/Mill","8-น้ำมัน/โรงสี","8-Масло/Мельница","","","",""
"16","7-떡/두부","7-Rice Cakes/Tofu","7-餅/豆腐","7-年糕/豆腐","7-Bánh giầy/ Đậu phụ","7-Kue Beras/Tahu","7. ขนมข้าว/เต้าหู้","7. Рисовые лепешки/Тофу","","","",""
"17","3-건강","3-Health","3-健康","3-健康","3-Sức khỏe","3-Kesehatan","3-สุขภาพ","3. Здоровье","","","",""
"18","2-뷰티/미용","2-Beauty","2-美容","2-美容","2-Làm đẹp/ Mỹ phẩm","2-Kecantikan","2-ความงาม","2-Красота","","","",""
"19","4-의류","4-Clothing","4-衣類","4-服装","4-Quần áo","4-Pakaian","4-เสื้อผ้า","4. Одежда","","","",""
"20","5-신발","5-Shoes","5-靴","5-鞋","5-Giày dép","5 Sepatu","5-รองเท้า","5-Shoes","","","",""
"21","6-패션잡화","6-Accessories","6-服飾雑貨","6-配饰","6-Phụ kiện thời trang","6-Aksesoris","6-อุปกรณ์เสริม","6. Аксессуары","","","",""
"22","7-생활용품","7-Household","7-生活用品","7-生活用品","7-Đồ dùng sinh hoạt","7 Rumah Tangga","7-ครัวเรือน","7-Домохозяйство","","","",""
"23","8-문구","8-Stationery","8-文具","8-文具","8-Văn phòng phẩm","8-Alat Tulis","8. เครื่องเขียน","8-Канцелярские товары","","","",""
"24","1-가구","1-Furniture","1-家具","1-家具","1-Nội thất","1-Perabot","1-เฟอร์นิเจอร์","1. Мебель","","","",""
"25","9-인테리어/수리","9-Interior/Repair","9-インテリア/修理","9-家居/维修","9-Trang trí nội thất/ Sửa chữa","9-Interior/Perbaikan","9. งานตกแต่งภายใน/ซ่อมแซม","9. Интерьер/Ремонт","","","",""
"26","","","","","","","","","","","",""
"27","","","","","","","","","","","",""
"28","","","","","","","","","","","",""
"29","","","","","","","","","","","",""
"30","","","","","","","","","","","",""
