"운영팀> 2번 모니터> 유니티 프로그램 내용 Num","Key","Korean","English","Japanese","Chinese","Vietnamese","Thai","Команда управления > Монитор 2 > Содержание программы Unity Russian","Indonesian","Description","구분(위치)"
"3","MainButton_ToBuy"," '인사' 뭐사지?","To buy","お買い物 おすすめ","我们买什么呢？"," 'INSA' mua gì?"," 'INSA' ซื้ออะไรดี?","Что купить"," 'INSA' beli apa?","","아이콘08"
"4","MainButton_ToGallery","인사동 미술관","Art Venues","仁寺洞美術館","仁寺洞美术馆","Bảo tàng Insadong","หอศิลป์อินซาดง","Галереи","Galeri Insadong","","아이콘09"
"9","MainButton_TaxFree","TAX-FREE","TAX-FREE","TAX-FREE","TAX-FREE","TAX-FREE","TAX-FREE","TAX-FREE","TAX-FREE","","아이콘10"
"6","MainButton_Here","여기는 인사동","Insadong","インサドンの紹介","这里是仁寺洞","Đây là Insadong","ที่นี่คืออินซาดง","Инсадон","Ini Insadong","","아이콘11"
"7","MainButton_Greeting","안녕 '인사'","Hello 'INSA'","こんにちは 'INSA'","你好 'INSA'","Chào 'INSA'","สวัสดี 'INSA'","Привет, 'INSA'","Halo 'INSA'","","아이콘12"
"8","MainButton_ToHelp","도와줘 '인사'","Help","ヘルプとサービスです","请帮忙","Giúp với 'INSA'","ช่วยด้วย 'INSA'","Помощь","Tolong 'INSA'","","아이콘13"
"14","MainButton_Map","인사동 지도","Insadong Map","インサドン地図","仁寺洞地图","Bản đồ Insadong","แผนที่อินซาดง","Карта Инсадона","Peta Insadong","","아이콘14"
"10","MainButton_Exchange","환율","Exchange","為替レート情報","汇率信息","Tỷ giá","อัตราแลกเปลี่ยน","Обмен валют","Kurs","","아이콘15"
"11","MainButton_Transport","교통안내","Transportation","交通案内","交通指南","Giao thông","ข้อมูลการเดินทาง","Транспорт","Info Transport","","아이콘16"
"12","MainButton_ToStay","숙박안내","Accommodation","宿泊情報","住宿信息","Lưu trú","ข้อมูลที่พัก","Проживание","Akomodasi","","아이콘17"
"13","MainButton_Palace","고궁안내","Palaces","故宮情報","故宫信息","Cung điện","ข้อมูลพระราชวัง","Дворцы","Info Istana","","아이콘18"
"1602","MainButton_SmartTour","스마트관광(준비중)","Attraction (Preparing)","スマート観光（準備中）","智慧旅游（准备中）","Du lịch thông minh","สมาร์ททัวร์","Достопримечательности (В разработке)","Wisata Pintar","","아이콘19"
"16","MainButton_WC","화장실","Toilet","トイレ","廁所","Nhà vệ sinh","ห้องน้ำ","Туалет","Toilet","","아이콘21"
"","MainButton_Donation","기부","Donation","寄付","捐款","Quyên góp","บริจาค","Пожертвование","Donasi","",""
"15","MainButton_Hanbok","한복설명","Hanbok","韓服","韩服","Thông tin Hanbok","ข้อมูลฮันบก","Ханбок","Info Hanbok","",""
"1601","MainButton_TraditionalMarket","전국시장(준비중)","Korea Market (Preparing)","伝統市場（準備中）","传统市场（准备中）","Chợ toàn quốc","ตลาดทั่วประเทศ","Рынки Кореи (В разработке)","Pasar Nasional","",""
"1603","MainButton_Goods","위드 마켓 ","WITH Market","WITH Market","WITH Market","Chợ WITH","ตลาด WITH","Рынок WITH","Pasar WITH","","아이콘15"
"1604","MainButton_Mission","미션(준비중)","Mission(Preparing)","Mission(Preparing)","Mission(Preparing)","Nhiệm vụ","ภารกิจ","Миссия (В разработке)","Misi","",""
"25","Event_Today","오늘의 행사","Today's Events","今日のイベント","今日的活动","Sự kiện hôm nay","กิจกรรมวันนี้","Сегодняшние мероприятия","Acara Hari Ini","",""
"26","Event_Week","이번주 행사","This Week's Events","今週のイベント","本周活动","Sự kiện tuần này","กิจกรรมสัปดาห์นี้","Мероприятия этой недели","Acara Minggu Ini","",""
"27","Event_Upcomming","예정 행사","Upcomming Events","予定イベント","即将举行的活动","Sự kiện sắp tới","กิจกรรมที่กำลังจะมาถึง","Предстоящие мероприятия","Acara Mendatang","",""
"28","Event_Past","지난 행사","Past Events","過去のイベント","往期活动","Sự kiện đã qua","กิจกรรมที่ผ่านมา","Прошедшие мероприятия","Acara Berlalu","",""
"31","VisitorCount","방문 인원","Number of visitors","訪問者数","访客人数","Số khách","จำนวนผู้เข้าชม","Количество посетителей","Jumlah Pengunjung","","아이콘04"
"32","StayTime","체류 시간","How long are you planning to be here","どのくらい滞在する予定ですか？","您计划在这里停留多久？","Thời gian lưu trú","ระยะเวลาที่พำนัก","Как долго вы планируете здесь пробыть?","Durasi Kunjungan","","아이콘04"
"33","JoyContent","즐길 거리 (3개를 선택해주세요!)","Things to Enjoy (Please select 3!)","楽しみ (3つ選んでください！)","娱乐项目（请选择3个！）","Hoạt động (Hãy chọn 3 cái!)","สิ่งที่น่าสนใจ (โปรดเลือก 3 อย่าง!)","Развлечения (Пожалуйста, выберите 3!)","Hal Menarik (Pilih 3 ya!)","","아이콘04"
"34","ShowDetailList","코스를 클릭하시면 상세 리스트가 나와요","Click the course for details","コースをクリックして詳細を確認してください。","点击课程查看详情。","Nhấn vào lộ trình để xem chi tiết","คลิกที่คอร์สเพื่อดูรายละเอียด","Нажмите на маршрут для подробностей","Klik rute untuk lihat detailnya","","아이콘04"
"35","ACourse","A코스","Course A","Aコース","A路线","Lộ trình A","คอร์ส A","Маршрут A","Rute A","","아이콘04"
"36","BCourse","B코스","Course B","Bコース","B路线","Lộ trình B","คอร์ส B","Маршрут B","Rute B","","아이콘04"
"37","CCourse","C코스","Course C","Cコース","C路线","Lộ trình C","คอร์ส C","Маршрут C","Rute C","","아이콘04"
"38","Visitor_1","1명","1 person","1人","1人","1 người","1 คน","1 человек","1 orang","","아이콘04"
"39","Visitor_2","2명","2 people","2人","2人","2 người","2 คน","2 человека","2 orang","","아이콘04"
"40","Visitor_3","3명","3 people","3人","3人","3 người","3 คน","3 человека","3 orang","","아이콘04"
"41","Visitor_4","4명","4 people","4人","4人","4 người","4 คน","4 человека","4 orang","","아이콘04"
"42","Visitor_5","5명","5 people","5人","5人","5 người","5 คน","5 человек","5 orang","","아이콘04"
"43","Visitor_6","6명","6 people","6人","6人","6 người","6 คน","6 человек","6 orang","","아이콘04"
"44","StayTime_02","0 ~ 2시간","0 ~ 2 hours","0～2時間","0～2小时","0 ~ 2 giờ","0 ~ 2 ชั่วโมง","0 ~ 2 часа","0 - 2 jam","","아이콘04"
"45","StayTime_24","2 ~ 4시간","2 ~ 4 hours","2～4時間","2～4小时","2 ~ 4 giờ","2 ~ 4 ชั่วโมง","2 ~ 4 часа","2 ~ 4 jam","","아이콘04"
"46","StayTime_46","4 ~ 6시간","4 ~ 6 hours","4～6時間","4～6小时","4 ~ 6 giờ","4 ~ 6 ชั่วโมง","4 ~ 6 часов","4 ~ 6 jam","","아이콘04"
"47","StayTime_66","6시간~","6 hours ~","6時間～","6小时以上","6 giờ ~","6 ชั่วโมง ~","от 6 часов","6 jam ~","","아이콘04"
"48","ShowDetailShop","업체 정보를 클릭하시면 상세 정보가 나와요","Click the store for details.","店舗情報をクリックすると詳細情報が表示されます。","点击商户信息即可查看详细信息。","Nhấn vào thông tin đơn vị để xem chi tiết","คลิกที่ข้อมูลร้านค้าเพื่อดูรายละเอียด","Нажмите на магазин для подробностей.","Klik info toko untuk lihat detailnya","","아이콘04"
"152","AI_SubmitButton","인사에게 추천받기","Get recommendations from 'INSA'","インサからおすすめをもらう","向仁寺（Insa）获取推荐","Nhận đề xuất từ INSA'","ขอคำแนะนำจาก INSA","Получить рекомендации от 'INSA'","Dapatkan Rekomendasi dari 'INSA'","",""
"153","AI_CourseContent_1","• 맞춤 코스가 준비되었어요!","• A personalized course is ready for you!","• あなただけのカスタムコースが準備できました！","• 为你定制的专属路线已经准备好了！","* Lộ trình riêng đã sẵn sàng!","* คอร์สเฉพาะของคุณพร้อมแล้ว!","• Индивидуальный маршрут готов для вас!","* Rute kustom sudah siap!","",""
"154","AI_CourseContent_2","맞춤 코스에 따라 인사동을 즐겨보세요.","Enjoy Insa-dong with your personalized course","あなた専用のコースに沿って仁寺洞を楽しんでみてください","按照为你定制的路线，尽情畅游仁寺洞吧！","Hãy tận hưởng Insadong theo lộ trình riêng nhé.","เพลิดเพลินกับอินซาดงตามคอร์สเฉพาะของคุณ","Наслаждайтесь Инсадоном с вашим индивидуальным маршрутом","Nikmati Insadong sesuai rute kustommu.","",""
"49","Here_IsInsa","* 한국의 전통을 느낄수 있는  인사동 입니다.  ","* Experience Korean tradition in Insadong.","* 韓国の伝統を感じられる仁寺洞です。","* 这里是能感受韩国传统魅力的仁寺洞。","* Đây là Insadong, nơi cảm nhận truyền thống Hàn Quốc.","* ที่นี่คืออินซาดงที่คุณสัมผัสได้ถึงประเพณีเกาหลี","* Почувствуйте корейские традиции в Инсадоне.","* Inilah Insadong, tempat merasakan tradisi Korea.","",""
"50","Here_History","역사","History","歴史","历史","Lịch sử","ประวัติศาสตร์","История","Sejarah","",""
"51","Here_HistoryContent","인사동은 조선시대부터 한양의 중심지로서, 선비와 학자들이 모여 글을 쓰고 교류하던 곳이었습니다. 특히 서화와 고서적이 많이 거래되었고, 일제강점기에는 일본인들이 문화재를 거래하기도 했습니다. 이후 한국전쟁을 거치면서 전통 문화와 예술이 남아있는 곳으로 발전했습니다.","Insadong has been a cultural hub since the Joseon Dynasty, known for its trade in calligraphy, paintings, and old books. After the Korean War, it became a center for preserving traditional art and culture.","インサドンは、朝鮮時代から学者や文人が集まる文化の中心地でした。書画や古書の取引で知られ、韓国戦争後は伝統文化と芸術を守る場所として発展しました。
","仁寺洞自朝鲜时代以来一直是汉阳的中心，文人和学者们在这里聚集，写作和交流。特别是书画和古籍交易非常活跃，在日本占领时期，日本人也在这里交易文化遗产。经过韩国战争后，仁寺洞发展成为一个保存传统文化和艺术的地方。","Từ thời Joseon, Insadong đã là trung tâm của Hanyang, nơi các học giả giao lưu. Nơi đây từng nổi tiếng với tranh chữ và sách cổ, sau đó phát triển thành điểm đến lưu giữ nghệ thuật và văn hóa truyền thống Hàn Quốc.","อินซาดงเป็นศูนย์กลางของฮันยางตั้งแต่สมัยโชซอน เป็นที่รวมตัวของเหล่านักปราชญ์ ที่นี่เคยเป็นแหล่งซื้อขายภาพวาดและหนังสือเก่า จนกลายเป็นย่านศิลปะและวัฒนธรรมดั้งเดิมของเกาหลีในปัจจุบัน","Инсадон был культурным центром со времен династии Чосон, известным своей торговлей каллиграфией, картинами и старыми книгами. После Корейской войны он стал центром сохранения традиционного искусства и культуры.","Sejak zaman Dinasti Joseon, Insadong telah menjadi pusat Hanyang tempat para cendekiawan bertukar pikiran. Dikenal dengan lukisan dan buku kunonya, kini Insadong berkembang menjadi pusat seni dan budaya tradisional Korea.","",""
"52","Here_Culture","문화","Culture","文化","文化","Văn hóa","วัฒนธรรม","Культура","Budaya","",""
"53","Here_CultureContent","인사동은 한국의 전통 문화를 체험할 수 있는 장소로 유명합니다. 전통 공예품, 도자기, 한지 공예 등 다양한 전통 예술품을 구매할 수 있으며, 전통 찻집에서 다도(茶道)를 체험할 수도 있습니다. 거리 곳곳에는 갤러리와 전시관이 있어 현대와 전통이 조화롭게 공존하는 문화적 매력을 느낄 수 있습니다.","Insadong is known for its traditional Korean culture, with shops selling handicrafts, ceramics, and Hanji art. Traditional tea houses and galleries offer a unique blend of the modern and the traditional.","インサドンは、韓国の伝統文化を体験できる場所として知られています。伝統工芸品の購入や茶屋での茶道体験ができ、ギャラリーなどを通じて現代と伝統の調和を感じられます。","仁寺洞以体验韩国传统文化而闻名。您可以购买各种传统艺术品，如手工艺品、陶瓷和韩纸工艺，还可以在传统茶馆体验茶道。街道两旁有许多画廊和展览馆，展现出现代与传统和谐共存的文化魅力。","Nổi tiếng để trải nghiệm văn hóa. Có thể mua đồ thủ công, trà đạo. Các phòng triển lãm cho thấy sự hài hòa giữa hiện đại và truyền thống.","โดดเด่นด้านวัฒนธรรมดั้งเดิม เลือกซื้อของทำมือ สัมผัสพิธีชงชา และชมแกลเลอรีที่ผสมผสานความเก่าและใหม่ได้อย่างลงตัว","Инсадон известен своей традиционной корейской культурой: здесь продаются изделия ручной работы, керамика и искусство из бумаги ханджи. Традиционные чайные дома и галереи предлагают уникальное сочетание современного и традиционного.","Pusat budaya tradisional Korea. Bisa beli kerajinan, seni Hanji, dan teh. Galeri di sini memadukan sisi modern dan tradisional dengan apik.","",""
"54","Here_Attraction","관광명소","Tourist Attractions","観光名所","旅游景点","Điểm tham quan","สถานที่ท่องเที่ยว","Достопримечательности","Objek Wisata","",""
"55","Here_AttractionContent","인사동 거리 자체가 주요 관광 명소로, 골목마다 숨겨진 전통 가옥, 한옥 카페, 맛집들이 자리하고 있습니다. 특히 주말에는 차량이 통제되어 보행자 전용 거리로 변하며, 다양한 거리 공연과 전시회가 열립니다. 근처에 위치한 조계사와 탑골공원도 함께 방문하기 좋은 명소입니다.","Insadong Street is a popular tourist spot filled with Hanok cafes and local eateries. On weekends, it becomes a pedestrian zone with street performances and exhibitions, and nearby sites like Jogyesa Temple and Tapgol Park add to the charm.","インサドン通りは人気の観光地で、路地にはハノクカフェや食事処があります。週末は歩行者専用になり、ストリートパフォーマンスや展示が楽しめ、近くの曹渓寺やタッコル公園も見どころです。","仁寺洞街本身就是一个主要的旅游景点，每条小巷里都有隐藏的传统房屋、韩屋咖啡馆和受欢迎的餐馆。尤其是在周末，街道会禁止车辆通行，变成步行街，举办各种街头表演和展览。附近的曹溪寺和塔谷公园也是值得一游的景点。","Cả con phố là điểm tham quan chính với nhà cổ, cà phê Hanok và quán ăn ngon. Cuối tuần phố đi bộ có nhiều biểu diễn và triển lãm. Chùa Jogyesa và công viên Tapgol gần đó cũng rất đáng ghé thăm.","ถนนสายนี้เป็นจุดท่องเที่ยวหลักที่มีบ้านฮันอก คาเฟ่ และร้านอาหารซ่อนอยู่ตามซอกซอย ช่วงวันหยุดจะกลายเป็นถนนคนเดินที่มีการแสดงและนิทรรศการ รวมถึงมีวัดโชกเยซาและสวนทับโกลอยู่ใกล้ๆ","Улица Инсадон — популярное туристическое место, где много кафе в домах ханок и местных закусочных. По выходным она становится пешеходной зоной с уличными выступлениями и выставками, а близлежащие достопримечательности, такие как храм Чогеса и парк Тапголь, добавляют ей очарования.","Jalannya sendiri adalah objek wisata, penuh Hanok, kafe, dan resto unik. Akhir pekan jadi area bebas kendaraan dengan banyak pertunjukan. Kuil Jogyesa dan Taman Tapgol di dekatnya juga wajib dikunjungi.","",""
"57","Greeting_Introduce","* 안녕하세요! 마스코트 '인사'를 소개할게요!","* Hello! Let me introduce ‘Insa,’ the mascot of Insadong!","* こんにちは！ インサドンのマスコット「インサ」を紹介します！","* 你好！让我来介绍一下仁寺洞的吉祥物“仁沙”！","* Xin chào! Xin giới thiệu linh vật 'INSA'!","สวัสดี! ขอแนะนำ 'INSA' มาสคอตของเรา!","* Привет! Позвольте представить 'Insa', талисмана Инсадона!","Halo! Kenalan yuk sama maskot 'INSA'!","",""
"56","Greeting_Category1","인사' 소개","Model of Insadong","仁寺洞モデル","仁寺洞宣传模特 ","Giới thiệu về 'INSA'","แนะนำ 'INSA'","Модель Инсадона","Tentang 'INSA'","",""
"80","Greeting_Category2","인사 취미생활","INSA's Hobbies","""INSA"" の趣味","INSA 的兴趣爱好","Sở thích của INSA","งานอดิเรกของ INSA","Хобби INSA","Hobi INSA","",""
"87","Greeting_Category3","스트레칭 고고~","Let’s go stretch~
","ストレッチ~","拉伸走 ~","Giãn cơ thôi nào~","มายืดเส้นยืดสายกันเถอะ~","Давайте разомнемся~
","Ayo peregangan!","",""
"58","Greeting_Name","이름 ","Name","名前","姓名","Tên","ชื่อ","Имя","Nama","",""
"59","Greeting_NameContent","인사","Insa","インサ","英莎","INSA","INSA","INSA","INSA","",""
"60","Greeting_BirthDay","생일","DOB","生年月日","出生日期","Sinh nhật","วันเกิด","Дата рождения","Hari ulang tahun","",""
"61","Greeting_BirthDayContent","2005년 9월 30일","September 30, 2005","2005年9月30日","2005年9月30日","Ngày 30 tháng 9 năm 2005","30 กันยายน 2005","30 сентября 2005 г.","30 September 2005","",""
"62","Greeting_HomeTown","출신","Home","出身地","出生地","Xuất thân","ถิ่นกำเนิด","Родной город","Asal","",""
"63","Greeting_HomeTownContent","서울 종로구 인사동","Insadong, Seoul","ソウル特別市 鍾路区 仁寺洞","首尔市钟路区仁寺洞","Insadong, Jongno-gu, Seoul","อินซาดง เขตจงโน โซล","Инсадон, Сеул","Insadong, Jongno-gu, Seoul","",""
"64","Greeting_Nationality","국적","Nationality","国籍","国籍","Quốc tịch","สัญชาติ","Гражданство","Kewarganegaraan","",""
"65","Greeting_NationalityContent","대한민국","Republic of Korea","大韓民国","大韩民国","Hàn Quốc","สาธารณรัฐเกาหลี","Республика Корея","Republik Korea","",""
"66","Greeting_BloodType","혈액형","Blood ","血液型","血型","Nhóm máu","กรุ๊ปเลือด","Группа крови","Golongan Darah","",""
"67","Greeting_BloodTypeContent","A형","Type A","A型","A型","Nhóm máu A","กรุ๊ป A","Группа A","Golongan A","",""
"68","Greeting_MBTI","MBTI","MBTI","MBTI","MBTI","MBTI","MBTI","MBTI","MBTI","",""
"69","Greeting_MBTIContent","ENTJ","ENTJ","ENTJ","ENTJ","ENTJ","ENTJ","ENTJ","ENTJ","",""
"70","Greeting_BodyInfo","신체","Body","身体","身体","Thân thể","ร่างกาย","Телосложение","Tubuh","",""
"71","Greeting_BodyInfoContent","168cm, B형 , 235mm,  (몸무게는 비밀..)","168cm, Body Type B, 235mm (weight is a secret...)","168cm、体型B、235mm（体重は秘密…）","168cm，B型体型，235mm（体重是秘密…）","168cm, Nhóm máu B, 235mm, (Cân nặng là bí mật..)","168 ซม., กรุ๊ป B, 235 มม., (น้ำหนักเป็นความลับ..)","168 см, тип фигуры B, 235 мм (вес - секрет...)","168cm, Golongan B, 235mm, (Berat badan rahasia..)","",""
"72","Greeting_Hobby","취미","Hobbies","趣味","兴趣爱好","Sở thích","งานอดิเรก","Хобби","Hobi","",""
"73","Greeting_HobbyContent","카페가기, K-POP춤추기, 테니스","Going to cafes, dancing to K-POP, tennis","カフェ巡り、K-POPダンス、テニス","去咖啡馆、跳K-POP舞、打网球","Đi cà phê, Nhảy K-POP, Tennis","ไปคาเฟ่, เต้น K-POP, เทนนิส","Походы в кафе, танцы под K-POP, теннис","Pergi ke kafe, Menari K-POP, Tenis","",""
"74","Greeting_Specialty","특기","Specialty","特技","特长","Sở trường","ความสามารถพิเศษ","Особенности","Keahlian","",""
"75","Greeting_SpecialtyContent","노래","Singing","歌","唱歌","Hát","ร้องเพลง","Пение","Menyanyi","",""
"76","Greeting_FutureHope","장래희망","Dream","将来の夢","未来梦想","Ước mơ","ความฝันในอนาคต","Мечта","Cita-cita","",""
"77","Greeting_FutureHopeContent","인사동을 전 세계에 알리는 홍보모델이 되고싶어요,
한복모델, K-POP아이돌도요!","I aspire to become a globally recognized PR model, represent traditional Korean clothing like hanbok, and pursue a career as a K-pop idol.","世界的に認知されるPRモデルになり、伝統的な韓国の衣装であるハンボクを代表し、K-popアイドルとしてのキャリアを追求したいです。","我希望成为全球知名的公关模特，代表传统的韩国服装汉服，并追求成为K-pop偶像的职业。","Muốn làm mẫu quảng bá Insadong, mẫu Hanbok và cả thần tượng K-POP nữa!","อยากเป็นแบบโปรโมตอินซาดง นางแบบฮันบก และไอดอล K-POP ค่ะ!","Я стремлюсь стать всемирно известной PR-моделью, представлять традиционную корейскую одежду, такую как ханбок, и сделать карьеру K-pop айдола.","Mau jadi model promosi Insadong, model Hanbok, dan idola K-POP!","",""
"78","Greeting_Introdution","자기소개","Intro","自己紹介","你好","Giới thiệu bản thân","แนะนำตัว","О себе","Profil Diri","",""
"79","Greeting_IntrodutionContent","MZ세대! 강아지와 고양이 러버.
한식을 즐겨먹고 사진찍기, 인스타그램, 틱톡하는 것을 좋아해요. 
맛집 탐방, 옷도 좋아해요! 
또 교복입고 놀이동산가기, 한복입고 고궁 놀러가기, 
K-POP아이돌도 좋아해요
인스타그램 놀러오세요 @insa_stagram","I'm 20 and part of the MZ generation. I love K-pop, dancing, pets, and Korean food. I enjoy taking photos, using social media, and exploring places like Lotte World in school uniforms or palaces in hanbok. Ask me anything about Insadong!
Come visit us on Instagram @insa_stagram","インサドン（仁寺洞）のマスコット『インサ』です。20歳の大学生で、K-POPやダンスが大好きなMZ世代です！犬や猫、韓国料理、写真、SNSを楽しんでいて、制服でロッテワールドや韓服で宮殿に行くのも好きです。インサドンについて何でも聞いてくださいね！
インスタグラムに遊びに来てね @insa_stagram","我是仁寺洞的吉祥物“仁寺”，今年20岁，是喜欢K-POP和跳舞的MZ世代大学生。
我喜欢狗狗、猫咪、韩餐和拍照，也爱用Instagram和TikTok。
平时会去找美食、搭配时尚，穿校服去乐天世界或穿韩服逛宫殿。
如果你对仁寺洞感兴趣，随时来问我吧！
来我们的Instagram逛一逛吧 @insa_stagram","Thế hệ MZ! Yêu chó mèo. Thích món Hàn, chụp ảnh, Instagram và TikTok. Mê quán ngon và thời trang! Thích mặc đồng phục đi chơi, mặc Hanbok đi cung điện, mê K-POP. Ghé Instagram mình nhé @insa_stagram","คนรุ่น MZ ค่ะ! รักหมาแมว ชอบอาหารเกาหลี ถ่ายรูป เล่นไอจีและติ๊กต็อก ชอบตระเวนกินและแฟชั่น! ชอบใส่ชุดนักเรียนไปสวนสนุก ใส่ฮันบกไปวัง และติ่ง K-POP มาส่องไอจีกันได้นะ @insa_stagram","Мне 20 лет, я из поколения MZ. Люблю K-pop, танцы, домашних животных и корейскую еду. Мне нравится фотографировать, сидеть в соцсетях и гулять по Lotte World в школьной форме или по дворцам в ханбоке. Спрашивайте меня о чем угодно про Инсадон!
Заходите к нам в Instagram @insa_stagram","Generasi MZ! Pecinta anjing & kucing. Suka kuliner Korea, foto, Instagram, dan TikTok. Suka hunting makan dan fashion! Suka ke taman bermain pakai seragam, ke istana pakai Hanbok, dan K-POP. Mampir ke Instagram ya @insa_stagram","",""
"81","Greeting_Hobby_First","K-POP 댄스와 노래는 꿈을 위한 필수요소!","K-POP dance and singing are essential elements for my dream!","K-POPのダンスと歌は夢のために欠かせない要素！","K-POP舞蹈和歌唱是实现梦想的必备元素！","Nhảy và hát K-POP là yếu tố cần để đạt ước mơ!","เต้นและร้อง K-POP คือสิ่งสำคัญสู่ความฝัน!","Танцы и пение K-POP — неотъемлемые элементы моей мечты!","Dance dan lagu K-POP adalah kunci impianku!","",""
"82","Greeting_Hobby_First_Content","K-POP을 너무 사랑하고 아이돌들을 좋아해요^^
무대 위 아이돌처럼! 인사는 K-POP 댄스를 
따라 추고 노래하는 걸 사랑해요. 
인사의 최애 곡이 나오면 언제 어디서든 바로 댄스 타임!","Just like an idol on stage! INSA loves dancing to and singing K-POP songs. When INSA's favorite song comes on, it’s dance time anytime, anywhere!","ステージの上のアイドルのように！インサはK-POPのダンスを真似して踊ったり、歌ったりするのが大好きです。 インサの大好きな曲が流れると、いつでもどこでもダンスタイム！","就像舞台上的偶像一样！INSA 喜欢跳 K-POP 舞蹈和唱歌。 只要听到 INSA 最喜欢的歌曲，随时随地都能开启舞蹈时间！","Mình rất yêu K-POP và các thần tượng! Giống như họ, INSA yêu việc nhảy và hát. Chỉ cần nhạc nổi lên là nhảy bất cứ đâu!","รัก K-POP และไอดอลมากค่ะ! อินซาก็รักการเต้นและการร้องเหมือนไอดอลเลย พอเพลงโปรดขึ้นเมื่อไหร่ ก็แดนซ์ได้ทุกที่ทุกเวลา!","Как айдол на сцене! INSA обожает танцевать и петь K-POP. Когда играет любимая песня INSA, время танцевать в любом месте и в любое время!","Sangat cinta K-POP dan idol! Seperti mereka, INSA suka nge-dance dan nyanyi. Kalau lagu favorit diputar, langsung dance time di mana saja!","",""
"83","Greeting_Hobby_Second","골프장에서 힐링 타임","Healing time at the golf course","ゴルフ場での癒しの時間","在高尔夫球场的疗愈时光","Thời gian thư giãn tại sân golf","เวลาพักผ่อนที่สนามกอล์ฟ","Время отдыха на поле для гольфа","Waktu healing di lapangan golf","",""
