"데이터=전국시장 넘버 Num 1)서울시","사진여부  ","시장이름 MarketName ","MarketNameEN ","MarketNameJp ","MarketNameCn ","BaseCategory 지역1 Province_kr ","Province_en ","Province_jp ","Province_cn ","SecondCategory District_kr ","District_en ","District_jp ","District_cn ","Address 주소 Address_kr ","Address_en ","Address_jp ","Address_cn ","HasfTag 해시태그 HashTag_kr ","HashTag_en ","HashTag_jp ","HashTag_cn ","Description 설명 Description_kr ","Description_en ","Description_jp ","Description_cn ","OpenTime 운영시간 OpenTime ","OpenTime_En ","OpenTime_Jp ","OpenTime_Ch ","전화번호 Tel ","네이버링크 NaverLink "
"19","","부천자유시장","Bucheon Jayu (Free) Market","ブチョン自由市場","富川自由市场","경기도","Gyeonggi-do","京畿道","京畿道","부천시","Bucheon City","ブチョン市","富川市","경기도 부천시 소사구 자유로 33","Gyeonggi-do, Bucheon-si, Sosa-gu, Jayu-ro 33","京畿道 富川市 ソサ区 ジャユ路 33","京畿道 富川市 素砂区 自由路 33","#원도심, #1940년대, #생필·간식, #주차편의, #합리가격, #단골많음","#old_downtown, #since_1940s, #daily_goods_&_snacks, #easy_parking, #fair_prices, #loyal_patrons","#旧市街, #1940年代, #生活品・軽食, #駐車便利, #手頃価格, #常連多い","#老城区, #起于1940年代, #生活百货/小吃, #停车便利, #价格亲民, #老主顾多","1940년대부터 이어진 부천의 대표적 전통시장으로, 신선식품과 간식, 생활용품 상점이 오랜 단골을 보유하고 있습니다. 역세권·도심과 가깝고 주차 편의도 비교적 나은 편입니다. 소박한 먹거리와 합리적 가격이 강점입니다. 점포별 영업시간이 다릅니다.","Bucheon’s oldest traditional market (since 1947) with long-running produce and snack vendors. Close to the south station area with convenient paid parking. A good stop for classic street foods.","1947年開場の富川で最も古い市場。南部駅周辺からアクセスしやすく、駐車場も利用可能。昔ながらの屋台グルメが魅力です。","1947年开市的富川最老牌市场。靠近南站一带，停车方便；老牌小吃与生鲜摊位众多。","09:00–21:00 (변동; 매월 1·3번째 화요일 휴무)","09:00–21:00 (varies; closed 1st & 3rd Tue)","09:00–21:00（変動あり；毎月第1・第3火曜休み）","09:00–21:00（可能变动；每月第 1 与第 3 个周二休息）","032-656-1892","https://naver.me/5Gpu9dvE"
"20","","화서시장","Hwaseo Market","ファソ市場","华西市场","경기도","Gyeonggi-do","京畿道","京畿道","수원시","Suwon City","スウォン市","水原市","경기도 수원시 팔달구 동말로 72 화서동","Gyeonggi-do, Suwon-si, Paldal-gu, Dongmal-ro 72, Hwaseo-dong","京畿道 水原市 パルダル区 トンマル路 72（ファソ洞）","京畿道 水原市 八达区 동말路 72（华西洞）","#생활시장, #신선식품, #간식, #비가림통로, #저녁유동, #주거밀집","#everyday_market, #fresh_produce, #snacks, #covered_lanes, #evening_footfall, #residential_area","#生活市場, #生鮮, #軽食, #アーケード通路, #夕方人流, #住宅地","#生活型市场, #生鲜, #小吃, #拱廊通道, #傍晚客流, #居住区","화서권역의 생활형 시장으로 신선식품·간식·생활잡화를 한 번에 살 수 있습니다. 비가림 통로로 날씨와 관계없이 둘러보기 좋습니다. 인근 주거지 수요로 저녁 시간대에도 유동이 꾸준합니다.","Neighborhood market near Hwaseo area with everyday produce, snacks, and household items. Covered lanes make it easy to browse in any weather. Evening foot traffic is steady thanks to nearby residential blocks.","華西エリアの生活密着型市場。生鮮・惣菜・日用品が揃い、アーケードで天候を気にせず回れます。周辺の住宅地からの来客で夕方もにぎわいます。","位于华西一带的社区型市场，售卖生鲜、小吃与日用品。带拱廊的通道便于雨天逛街；傍晚人流稳定。","09:00–21:00 (매장별 상이)","09:00–21:00 (varies by shop)","09:00–21:00（店舗により異なる）","09:00–21:00（各店不同）","031-241-4578","https://naver.me/xTsH7DXB"
"21","","월드프라자","World Plaza","ワールドプラザ","世界广场","경기도","Gyeonggi-do","京畿道","京畿道","안산시","Ansan City","アンサン市","安山市","경기도 안산시 상록구 본삼로 60","Gyeonggi-do, Ansan-si, Sangnok-gu, Bonsam-ro 60","京畿道 安山市 サンノク区 ボンサム路 60","京畿道 安山市 常绿区 본삼路 60","#복합플라자, #음식점, #식료품, #생활서비스, #주차편리, #가족친화","#multi-tenant_plaza, #eateries, #groceries, #services, #easy_parking, #family-friendly","#複合プラザ, #飲食店, #食料品, #生活サービス, #駐車便利, #ファミリー向け","#综合广场, #餐饮, #食杂, #便民服务, #停车方便, #亲子友好","다층 상가형 플라자로 음식점·식료품·생활서비스가 함께 모여 있습니다. 가볍게 장보고 식사하기 좋으며, 주차·동선이 비교적 편리합니다.","Multi-tenant plaza with a mix of eateries, grocers, and services. Convenient for quick errands and casual meals. Parking and straightforward layout make it family-friendly.","飲食・食料品・サービスが入る複合プラザ。短時間の買い物や食事に便利で、家族連れでも利用しやすい動線・駐車環境です。","多租户综合商场，餐饮、食杂与服务并存。动线清晰、停车方便，适合家庭顺路采买与用餐。","10:00–21:00 (매장별 상이)","10:00–21:00 (varies by shop)","10:00–21:00（店舗により異なる）","10:00–21:00（各店不同）","031-407-0951","https://naver.me/GgWdOsv9"
"22","","팔달문시장","Paldalmun Market","パルダルムン市場","八达门市场","경기도","Gyeonggi-do","京畿道","京畿道","수원시","Suwon City","スウォン市","水原市","경기도 수원시 팔달구 정조로770번길 17 영동","Gyeonggi-do, Suwon-si, Paldal-gu, Jeongjo-ro 770-beon-gil 17, Yeongdong","京畿道 水原市 パルダル区 ジョンジョ路770番ギル 17（ヨンドン）","京畿道 水原市 八达区 正祖路770号街 17（영동）","#남문핵심, #성곽인접, #의류·원단, #분식골목, #보행관광, #인기","#Nammun_hub, #by_fortress_wall, #apparel_&_fabric, #snack_lanes, #walkable_tourism, #popular","#南門の要, #城郭そば, #衣料・布, #軽食路地, #歩いて観光, #人気","#南门核心, #靠城郭, #服饰/布料, #小吃巷, #步行观光, #人气高","수원 남문 상권의 핵심 시장으로 화성 성곽과 인접해 있습니다. 정육·원단·분식 등이 밀집해 보행 관광과 연계 방문이 많습니다. 주민과 관광객 모두에게 인기입니다.","A core piece of Suwon’s Nammun market cluster beside the city walls. Classic butchers, fabric shops, and street foods fill walkable alleys. Popular with both locals and visitors.","水原・南門商圏の中心的市場で、城郭のすぐそば。精肉・布店・屋台グルメが歩きやすい路地に集まります。観光客にも地元客にも人気。","水原南门商圈的核心市场，紧邻城郭。肉铺、布行与街头小吃集中在步行巷内，深受本地与游客欢迎。","09:00–22:00 (변동 가능)","09:00–22:00 (varies)","09:00–22:00（変動あり）","09:00–22:00（可能变动）","031-251-5153","https://naver.me/Fy2F6dAi"
"23","","산본시장","Sanbon Market","サンボン市場","山本市场","경기도","Gyeonggi-do","京畿道","京畿道","군포시","Gunpo City","クンポ市","军浦市","경기도 군포시 산본천로183번길 6 산본동","Gyeonggi-do, Gunpo-si, Sanboncheon-ro 183-beon-gil 6, Sanbon-dong","京畿道 軍浦市 サンボンチョン路183番ギル 6（サンボン洞）","京畿道 军浦市 산본천路183号街 6（山本洞）","#도심형, #신선식품, #가성비먹거리, #컴팩트, #가격비교, #저녁포장","#downtown_type, #fresh_foods, #value_eats, #compact_layout, #price_compare, #evening_takeout","#都心型, #生鮮, #コスパ飯, #コンパクト, #価格比較, #夕方テイクアウト","#市中心型, #生鲜, #性价比小吃, #紧凑布局, #比价方便, #晚间外带","군포 도심형 시장으로 신선식품과 가성비 좋은 먹거리가 강점입니다. 영역이 컴팩트해 점포 간 비교가 쉽고, 저녁 포장 수요로 활기가 돋보입니다.","Gunpo’s downtown market known for fresh produce and affordable meals. Compact blocks make it easy to compare prices across stalls. Evening takeaway traffic is lively.","軍浦中心部の市場。生鮮や手頃な食事が充実し、コンパクトなので価格比較もしやすいです。夕方は持ち帰り需要でにぎわいます。","军浦市中心市场，以生鲜与实惠餐食见长。街区紧凑，摊位间比价方便；傍晚外带客流活跃。","09:00–21:00 (변동 가능)","09:00–21:00 (varies)","09:00–21:00（変動あり）","09:00–21:00（可能变动）","031-399-4248","https://naver.me/5huayDYb"
"24","","지동시장","Jidong Market","チドン市場","智洞市场","경기도","Gyeonggi-do","京畿道","京畿道","수원시","Suwon City","スウォン市","水原市","경기도 수원시 팔달구 팔달문로 19 지동","Gyeonggi-do, Suwon-si, Paldal-gu, Paldalmun-ro 19, Ji-dong","京畿道 水原市 パルダル区 パルダルムン路 19（ジ洞）","京畿道 水原市 八达区 八达门路 19（智洞）","#남문권, #청과·반찬, #분식, #걷기좋은골목, #구도심연계, #일상형","#Nammun_area, #produce_&_side_dishes, #snacks, #walkable_alleys, #old-town_link, #everyday","#南門エリア, #青果・お惣菜, #軽食, #歩きやすい路地, #旧市街連携, #日常型","#南门区域, #蔬果/熟食, #小吃, #步行友好巷, #与老城相连, #日常型","수원 남문권에 속한 시장으로 청과·반찬·분식이 중심입니다. 걷기 좋은 골목과 맞닿아 구도심 관광 동선과 잘 어울립니다.","Part of the Suwon Nammun belt along walkable streets. Known for produce, side dishes, and cozy snack bars. Good stop when touring the old town.","水原・南門エリアの一角。青果・総菜・軽食店が多く、旧市街観光の途中に立ち寄りやすい市場です。","属于水原南门带，行人友好。以蔬果、熟食与小吃店为主，是老城区行程中的便捷节点。","09:00–21:00 (변동 가능)","09:00–21:00 (varies)","09:00–21:00（変動あり）","09:00–21:00（可能变动）","031-256-0202","https://naver.me/xhzG1SLo"
"25","","평택국제중앙시장","Pyeongtaek International Jungang Market","ピョンテク国際中央市場","平泽国际中央市场","경기도","Gyeonggi-do","京畿道","京畿道","평택시","Pyeongtaek City","ピョンテク市","平泽市","경기도 평택시 중앙시장로 16","Gyeonggi-do, Pyeongtaek-si, Jungang-sijang-ro 16","京畿道 平沢市 チュンアンシジャン路 16","京畿道 平泽市 중앙시장路 16","#대형시장, #다국적먹거리, #생활잡화, #먹거리골목, #주말야간, #역세권","#large_market, #international_eats, #daily_goods, #food_alleys, #weekend_nights, #near_station","#大規模市場, #多国籍グルメ, #生活雑貨, #グルメ横丁, #週末夜, #駅近","#大型市场, #多国美食, #生活杂货, #美食巷, #周末夜热闹, #近车站","평택역 인근의 대형 시장으로 다국적 먹거리와 생활잡화가 공존합니다. 먹거리 골목이 잘 형성되어 있으며 주말 야간에 특히 활기찹니다.","Large central market blending local and international flavors near Pyeongtaek Station. Food alleys and household goods draw steady crowds. Nighttime atmosphere is lively on weekends.","平沢駅近くの大規模市場。多国籍の食べ歩きと生活用品が揃い、週末の夜は特に活気があります。","靠近平泽站的大型市场，融合在地与多国风味；美食巷与生活百货人气稳定，周末夜尤为热闹。","10:00–22:00 (변동 가능)","10:00–22:00 (varies)","10:00–22:00（変動あり）","10:00–22:00（可能变动）","031-668-8922","https://naver.me/GG7PjO2m"
"26","","발안시장","Balan Market","バラン市場","发安市场","경기도","Gyeonggi-do","京畿道","京畿道","화성시","Hwaseong City","ファソン市","华城市","경기도 화성시 향남읍 평2길 7","Gyeonggi-do, Hwaseong-si, Hyangnam-eup, Pyeong 2-gil 7","京畿道 華城市 ヒャンナム邑 ピョン2ギル 7","京畿道 华城市 香南邑 평2号街 7","#전통시장, #생필식자재, #간단먹거리, #단순동선, #가족친화, #정기휴무","#traditional_market, #daily_staples, #simple_eats, #simple_layout, #family-friendly, #regular_closed_days","#伝統市場, #生活食材, #簡易フード, #シンプル動線, #家族向き, #定休日","#传统市场, #生活食材, #简餐, #动线简单, #亲子友好, #定期休息","화성 발안권의 전통시장으로 생필 식자재와 간단 먹거리가 중심입니다. 동선이 단순하고 가족 단위로 둘러보기 좋습니다. 일부 점포는 정기휴무를 둡니다.","Traditional market in Hwaseong’s Balan area, serving daily groceries and local snacks. Family-friendly scale with straightforward layout. Some vendors observe regular rest days.","華城・発安エリアの伝統市場。日々の食材やローカル軽食が中心で、家族連れでも回りやすい規模です。定休日のある店舗もあります。","华城发安地区的传统市场，以日常食材与在地小吃为主。规模亲和、动线简单；部分摊位有固定休息日。","09:00–20:00 (변동 가능)","09:00–20:00 (varies)","09:00–20:00（変動あり）","09:00–20:00（可能变动）","031-352-0120","https://naver.me/53ld5bBq"
"27","","양평물맑은시장","Yangpyeong Mulmalgeun (Clear Water) Market","ヤンピョン・ムルマルグン市場","杨平清水市场","경기도","Gyeonggi-do","京畿道","京畿道","양평군","Yangpyeong County","ヤンピョン郡","杨平郡","경기도 양평군 양평읍 양평장터길 15 일원","Gyeonggi-do, Yangpyeong-gun, Yangpyeong-eup, Yangpyeong-jangteo-gil 15, Ilwon","京畿道 楊平郡 ヤンピョン邑 ヤンピョンジャントギル 15（一円）","京畿道 杨平郡 杨平邑 양평장터길 15（一区域）","#지역농산물, #강변간식, #주말인기, #계절상품, #카페거리연계, #대표시장","#local_produce, #riverside_snacks, #weekend_favorite, #seasonal_items, #café-street_link, #signature_market","#地場農産, #川辺の軽食, #週末人気, #季節商品, #カフェ街連携, #代表市場","#在地农产, #江畔小吃, #周末人气, #季节商品, #咖啡街联动, #标志性市场","양평을 대표하는 ‘물맑은’ 이미지의 시장으로 지역 농산물과 강변 간식이 명물입니다. 주말·계절 상품이 특히 인기이며 인근 카페거리와 연계 방문이 쉽습니다.","Yangpyeong’s signature “Clear Water” market highlighting regional produce and river-town snacks. Seasonal items are a draw, especially on weekends. Easy to pair with nearby café streets.","楊平を代表する「清らかな水」市場。地場の農産物と川沿いの軽食が名物で、週末は季節の特産を目当てに賑わいます。周辺カフェ街との回遊も楽しい。","杨平标志性的“清水”市场，主打在地农产与江畔小吃。周末季节性商品更受欢迎，可与附近咖啡街联动游逛。","09:00–20:00 (변동 가능)","09:00–20:00 (varies)","09:00–20:00（変動あり）","09:00–20:00（可能变动）","031-771-2080","https://naver.me/xMjt6RAY"
"28","","과천새서울프라자시장","Gwacheon Sae-Seoul Plaza Market","クァチョン・セソウルプラザ市場","果川新首尔广场市场","경기도","Gyeonggi-do","京畿道","京畿道","과천시","Gwacheon City","クァチョン市","果川市","경기도 과천시 별양상가 2로 20","Gyeonggi-do, Gwacheon-si, Byeoryang-sangga 2-ro 20","京畿道 果川市 ビョリャンサンガ2路 20","京畿道 果川市 별양상가 2路 20","#플라자형, #식료품, #베이커리, #생활서비스, #도심입지, #공공시설근접","#plaza-style, #groceries, #bakery, #services, #central_location, #near_public_facilities","#プラザ型, #食料品, #ベーカリー, #生活サービス, #中心立地, #公共施設近く","#广场式, #食杂, #烘焙, #便民服务, #市中心, #近公共设施","과천 도심의 플라자형 시장으로 식료품·베이커리·생활서비스가 모여 있습니다. 짧은 볼일에 실용적이며 공공시설·교통 접근성이 좋습니다.","Plaza-style market in central Gwacheon with groceries, bakeries, and daily services. Compact and practical for quick errands. Close to public facilities and transit.","果川中心部のプラザ型市場。食料品・ベーカリー・生活サービスが揃い、短時間の用足しに便利。公共施設や交通からも近い立地です。","果川市中心的广场式市场，集食杂、烘焙与便民服务于一体。规模紧凑，靠近公共设施与交通。","09:00–21:00 (변동 가능)","09:00–21:00 (varies)","09:00–21:00（変動あり）","09:00–21:00（可能变动）","02-3679-1400","https://naver.me/5huz3Dl7"
"29","","반딧불이연무시장","Banditburi Yeonmu Market","バンディップリ・ヨンム市場","萤火虫延畝市场","경기도","Gyeonggi-do","京畿道","京畿道","수원시","Suwon City","スウォン市","水原市","경기도 수원시 장안구 월드컵로428번길 10 연무동","Gyeonggi-do, Suwon-si, Jangan-gu, World Cup-ro 428-beon-gil 10, Yeonmu-dong","京畿道 水原市 ジャンアン区 ワールドカップ路428番ギル 10（ヨンム洞）","京畿道 水原市 长安区 世界杯路428号街 10（莲武洞）","#지역브랜드, #집밥반찬, #청과, #친근한분위기, #소규모행사, #산책형","#local_brand, #home-style_deli, #produce, #friendly_vibe, #small_events, #stroll-friendly","#ローカルブランド, #家庭惣菜, #青果, #親しみやすさ, #小規模イベント, #散策向き","#地方品牌, #家常熟食, #蔬果, #亲切氛围, #小型活动, #适合闲逛","‘반딧불이’ 브랜드를 쓰는 연무권 시장으로, 집밥형 반찬과 청과 중심의 소박한 상권입니다. 상인 친화적 분위기로 둘러보기 편하며 가끔 지역 행사가 열립니다.","Community market branded “Firefly Yeonmu,” known for home-style foods and produce. Friendly vendors and simple lanes make it relaxed to browse. Occasional events add local color.","「ホタル・延武」の愛称で知られる地域市場。家庭的な惣菜や青果が中心で、親しみやすい雰囲気。時折行事があり、地域色が感じられます。","以“萤火虫·延武”品牌闻名的社区市场，主打家常熟食与蔬果，氛围亲切。不定期活动增添地方特色。","09:00–20:00 (변동 가능)","09:00–20:00 (varies)","09:00–20:00（変動あり）","09:00–20:00（可能变动）","031-308-9944","https://naver.me/5l7NGmee"
"30","","하남수산물전통시장","Hanam Seafood Traditional Market","ハナム水産物伝統市場","河南水产传统市场","경기도","Gyeonggi-do","京畿道","京畿道","하남시","Hanam City","ハナム市","河南市","경기도 하남시 하남대로 1043-17 일원","Gyeonggi-do, Hanam-si, Hanam-daero 1043-17, Ilwon","京畿道 河南市 ハナム大路 1043-17（一円）","京畿道 河南市 하남大道 1043-17（一区域）","#수산특화, #활어수조, #제철해산물, #이른영업, #식사·포장, #차량접근","#seafood-focused, #live_tanks, #seasonal_catch, #early_trading, #dine-in_&_takeout, #car_access","#海産特化, #生け簀, #旬の海鮮, #早朝営業, #イートイン/持ち帰り, #車アクセス","#海鲜特化, #活鱼水槽, #时令海产, #早开门, #堂食外带, #自驾方便","활어 수조와 선어 상점이 즐비한 수산 특화 시장으로, 이른 아침부터 늦은 저녁까지 운영하는 곳이 많습니다. 식사 시간대에 특히 붐비며 제철 수산물 선택 폭이 넓습니다. 차량 접근이 편리하고 식사·포장 모두에 적합합니다.","Hanam’s seafood-focused traditional market with live tanks, fresh catches, and casual eateries. Most stalls trade from early morning to late evening, with peak activity around mealtimes. Easy car access and plenty of seasonal items. A good stop for dine-in or take-home seafood. ","ライブ水槽や鮮魚店が並ぶ海産物特化の伝統市場。多くの店舗が早朝から夜まで営業し、食事時に最も賑わいます。車でのアクセスもしやすく、季節の魚介が豊富。食事・テイクアウトのどちらにも便利です。","以海鲜为主的传统市场，活水槽与鲜鱼摊密集。多数摊位从清晨营业到夜间，用餐时段最热闹。自驾到达方便，时令海产选择多，堂食与外带都合适。","05:00–22:00 (매장별 상이)","05:00–22:00 (varies by shop)","05:00–22:00（店舗により異なる）","05:00–22:00（各店不同）","031-792-1235","https://naver.me/57VZhMUk"
"31","","여주한글시장(여주중앙로상점가)","Yeoju Hangeul Market (Jungang-ro Shopping Street)","ヨジュ・ハングル市場（中央路商店街）","驪州韩文市场（中央路商店街）","경기도","Gyeonggi-do","京畿道","京畿道","여주시","Yeoju City","ヨジュ市","骊州市","경기도 여주시 세종로14번길 24-1","Gyeonggi-do, Yeoju-si, Sejong-ro 14-beon-gil 24-1","京畿道 驪州市 セジョン路14番ギル 24-1","京畿道 骊州市 世宗路14号街 24-1","#테마시장, #세종대왕벽화, #전시, #먹거리골목, #산책동선, #구역분할","#themed_market, #King_Sejong_murals, #exhibits, #food_alleys, #strolling_route, #zoned_street","#テーマ市場, #世宗大王壁画, #展示, #グルメ路地, #散策導線, #ゾーニング","#主题市场, #世宗大王壁画, #展陈, #美食巷, #漫步动线, #分区街段","옛 중앙로상점가를 정비해 만든 ‘한글’ 테마 시장으로, 세종대왕 관련 벽화와 전시, 소박한 먹거리 골목이 이어집니다. 메인 거리 따라 구역이 나뉘어 천천히 산책하며 둘러보기 좋습니다.","A Hangeul-themed market created by upgrading the old Jungang-ro shopping street. Find murals about King Sejong, small museums, and cozy food alleys. It’s divided into several zones along the main street, great for a leisurely walk.","旧「中央路商店街」を再整備した“ハングル”テーマの市場。世宗大王を題材にした壁画や小さな展示、食べ歩きの路地が魅力です。メイン通り沿いに複数ゾーンが続き、ぶらり散策に最適。","由旧“中央路商店街”升级而成的韩文主题市场。可看见以世宗大王为题材的壁画与小型展馆，还有温馨美食巷。沿主街分区布局，适合慢慢逛。","매장별 상이.","Varies by shop.","店舗により異なります。","各店不同。","031-885-7121","https://naver.me/FfeazKHw"
"32","","광명새마을시장","Gwangmyeong Saemaeul Market","クァンミョン・セマウル市場","光明新村市场","경기도","Gyeonggi-do","京畿道","京畿道","광명시","Gwangmyeong City","クァンミョン市","光明市","경기도 광명시 광명로 831번지 4의1","Gyeonggi-do, Gwangmyeong-si, Gwangmyeong-ro 831, 4-1","京畿道 光明市 クァンミョン路 831（4-1）","京畿道 光明市 光明路 831（4-1）","#200+점포, #식료·생활, #비가림, #시장주차, #지역밀착, #초행친화","#200+shops, #food&_daily, #covered, #market_parking, #local_feel, #easy_for_newcomers","#200店超, #食料・生活, #アーケード, #市場駐車, #地域密着, #初心者向き","#200+商铺, #食材/日用, #拱廊, #市场停车, #社区属性强, #新手友好","식료품·생활잡화 위주의 점포가 200여 개 모인 광명의 대표 전통시장입니다. 비가림 아케이드로 쾌적하게 둘러볼 수 있고, 시장 주차·접근성이 편리합니다. ","A flagship neighborhood market in Gwangmyeong with 200+ shops for food and daily goods. Covered arcades make browsing easy in any weather. Market-managed parking and access are convenient. Family-friendly and very local in feel.","食料品と生活雑貨の店が200店以上集まる光明の代表市場。アーケードで天候に左右されにくく、駐車・アクセスも良好。地域密着で家族連れにも利用しやすい雰囲気です. ","光明市代表性市场，200余家商铺涵盖食材与日用品。拱廊便于雨天逛街，市场停车与到达性方便，亲民氛围浓厚。","매장별 상이(시장 주차장 광범위 운영).","Varies by shop (market parking operates widely)","店舗により異なる（市場駐車場は広く運用）。","各店不同（市场停车场广泛开放）。","02-2614-5292","https://naver.me/5KbWFY1o"
"33","","안양호계종합시장","Anyang Hogye General Market","アニャン虎溪総合市場","安养虎溪综合市场","경기도","Gyeonggi-do","京畿道","京畿道","안양시","Anyang City","アニャン市","安养市","경기도 안양시 동안구 흥안대로113번길 34","Gyeonggi-do, Anyang-si, Dongan-gu, Heungan-daero 113-beon-gil 34","京畿道 安養市 ドンアン区 フンアン大路113番ギル 34","京畿道 安养市 东安区 흥안大道113号街 34","#아케이드, #청과·수산, #생활잡화, #온라인주문, #배달, #일상장보기","#arcaded, #produce_&_seafood, #daily_goods, #online_orders, #delivery, #everyday_shopping","#アーケード, #青果・水産, #生活雑貨, #オンライン注文, #配送, #日常買い","#拱廊, #蔬果/水产, #生活杂货, #线上下单, #配送, #日常采买","동안구의 대표 시장으로 노천 통로와 아케이드가 공존합니다. 청과·수산·생활잡화는 물론, 온라인 주문·배달 등 서비스도 도입되어 일상 장보기에 적합합니다. ","A long-running market in Dongan-gu with street-side lanes and covered arcades. You’ll find produce, seafood, and household goods, plus online-order/delivery programs introduced in recent years. A good everyday shopping base.","東安区にある老舗市場。路面型の通りとアーケードが併存し、生鮮・海産・生活用品が揃います。近年はオンライン注文や配送にも対応。日常使いに便利です。","位于东安区的老牌市场，路面摊道与拱廊并存，生鲜、海产与日用品齐全。近年来还引入线上下单与配送服务，日常采买首选。","매장별 상이(전통시장; 주차 가능).","Varies by shop (traditional market; parking available).","店舗により異なる（伝統市場；駐車可）。","各店不同（传统市场；可停车）。","031-453-4766","https://naver.me/GFByl93Z"
"34","","양수리전통시장(양평양수리시장)","Yangsu-ri Traditional Market (Yangpyeong Yangsu-ri)","ヤンスリ伝統市場（ヤンピョン・ヤンスリ）","杨水里传统市场（杨平杨水里）","경기도","Gyeonggi-do","京畿道","京畿道","양평군","Yangpyeong County","ヤンピョン郡","杨平郡","경기도 양평군 양서면 양수로 150번길 3-15 일원","Gyeonggi-do, Yangpyeong-gun, Yangseo-myeon, Yangsu-ro 150-beon-gil 3-15, Ilwon","京畿道 楊平郡 ヤンソ面 ヤンス路150番ギル 3-15（一円）","京畿道 杨平郡 两西面 양수路150号街 3-15（一区域）","#두물머리, #상설+오일장, #1·6일장, #지역농산물, #간식, #주간영업","#Dumulmeori, #permanent+fair, #1st_&_6th_days, #local_produce, #snacks, #daytime_trade","#トゥムルモリ, #常設+市, #毎月1・6日, #地場農産, #軽食, #日中営業","#两水头, #常设+集市, #每月1/6日, #在地农产, #小吃, #白天营业","두물머리 인근 전통시장으로 상설 운영과 매월 1·6일 오일장이 함께 열립니다. 지역 농산물과 간식이 주말 방문객을 끌고, 영업은 점포별로 다르나 주로 주간에 이뤄집니다. ","A riverside market where two rivers meet (“Dumulmeori”), with both a permanent area and 5-day market days. Regional produce and snacks draw weekend visitors. Times vary by vendor, but market-day trading is typically daytime. ","北漢江と南漢江が合流する「トゥムルモリ」近くの市場。常設に加え毎月1日・6日の五日市が立ち、地場の農産物や軽食が人気です。営業時間は店舗により異なりますが、主に日中営業。 ","位于“两水相会”的两水头附近，常设区+每月1日与6日集市并行。以在地农产与小吃著称，周末人气旺。档口作息不同，但集市多为白天营业。","장날: 매월 1·6일; 다수 점포 약 09:00–19:00.","Market days: 1st & 6th each month; many stalls ~09:00–19:00.","市日：毎月 1日・6日；多数の屋台は約 09:00–19:00。","集市日：每月 1 日与 6 日；多数摊位约 09:00–19:00。","031-775-3110","https://naver.me/GNWDjgwr"
"35","","안양남부시장","Anyang Nambu Market","アニャン南部市場","安养南部市场","경기도","Gyeonggi-do","京畿道","京畿道","안양시","Anyang City","アニャン市","安养市","경기도 안양시 만안구 장내로 140번길 51","Gyeonggi-do, Anyang-si, Manan-gu, Jangnae-ro 140-beon-gil 51","京畿道 安養市 マナン区 ジャンネ路140番ギル 51","京畿道 安养市 万安区 장내路140号街 51","#새벽도매, #주간소매, #청과거리, #합리가격, #교통편리, #핵심상권","#dawn_wholesale, #daytime_retail, #produce_row, #fair_prices, #transit_friendly, #core_strip","#未明卸売, #日中小売, #青果通り, #手頃価格, #交通便利, #中核商店街","#清晨批发, #白天零售, #蔬果一条街, #价格亲民, #交通便捷, #核心商带","중앙시장 맞은편의 핵심 시장으로, 새벽 도매와 주간 소매가 공존합니다. 정류장 주변 청과 상점이 줄지어 있고, 합리적 가격·신선도·교통 접근성이 강점입니다. ","A core Anyang market opposite Jungang Market, mixing wholesale dawn trading and daytime retail. Fresh produce aisles line the bus-stop approach. It remains popular thanks to price, freshness, and transport access. ","中央市場の向かいにある安養の主要市場。未明の卸売と日中の小売が共存し、バス停周辺に青果の露店が並びます。価格・鮮度・アクセスが強み。","安养核心市场，与中央市场相对，清晨批发与白天零售并行。公交站一带青果摊成排分布。以价格、鲜度与交通便捷取胜。","04:30–19:00, 일요일 휴무(시장 사무실 기준).","04:30–19:00, closed Sun (market office). ","04:30–19:00、日曜休み（市場事務所基準）。","04:30–19:00，周日休息（以市场事务所为准）。","031-449-7400","https://naver.me/xMnFIMqj"
