"운영팀> 1번 모니터> AI모델 영상 자막 + 우측상단 표기  NO","Key","VideoFileName","KR","EN","JP","CN","우측상단 서브타이틀 KR","EN","JP","CN","재생조건 재생조건(Condition)","Description","넘버링 ICON-NO"
"14","ChangeLanguage_KR","M16-H3-A=2-C-V1-Fin-down","[WITH]에서는 다국어를 지원합니다. 
지금부터 한국어로 키오스크를 이용해보세요 ","WIT AI SMART KIOSK supports multiple languages.
Please start using the kiosk in Korean now
","WIT AI SMART KIOSKは多言語に対応しています。
これから日本語でキオスクをお使いください","WIT AI SMART KIOSK支持多种语言。
现在开始请用韩语使用自助终端
","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 언어선택 -> 한국어 ","",""
"15","ChangeLanguage_EN","M31=3-V2-Fin-down","[WITH]에서는 다국어를 지원합니다. 
지금부터 영어로 키오스크를 이용해보세요 ","WIT AI SMART KIOSK supports multiple languages.
Please start using the kiosk in English now
","WIT AI SMART KIOSKは多言語に対応しています。
これから英語でキオスクをお使いください","WIT AI SMART KIOSK支持多种语言。
现在开始请用英语使用自助终端","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 언어선택 -> 영어 ","",""
"16","ChangeLanguage_JP","M33=3-V2-Fin-down","[WITH]에서는 다국어를 지원합니다. 
지금부터 일본어로 키오스크를 이용해보세요 ","WIT AI SMART KIOSK supports multiple languages.
Please start using the kiosk in Japanese now","WIT AI SMART KIOSKは多言語に対応しています。
これから日本語でキオスクをお使いください","WIT AI SMART KIOSK支持多种语言。
现在开始请用日语使用自助终端","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 언어선택 -> 일어 ","",""
"17","ChangeLanguage_CH","M32=7-V2-Fin-down","[WITH]에서는 다국어를 지원합니다. 
지금부터 중국어로 키오스크를 이용해보세요 ","WIT AI SMART KIOSK supports multiple languages.
Please start using the kiosk in Chinese now","WIT AI SMART KIOSKは多言語に対応しています。
これから中国語でキオスクをお使いください","WIT AI SMART KIOSK支持多种语言。
现在开始请用中文使用自助终端","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 언어선택- 중국어 ","",""
"18","AISearch","M14-B-(1)=3-V1-Fin-down","‘정이’ 예요. 몇시간 계실건지, 몇명이 오셨는지 알려주시면 
AI가 추천코스를 알려드릴거에요. 바로입력해보세요 

","I’m “Jeong-i.” Tell me your stay time 
and group size, and the AI will suggest a course.","私は「ジョンイ」です。 滞在時間と人数を教えてください。AIがコースを提案します。


","和家人朋友一起来了吗？
告诉我人数，我帮你安排精彩路线！

","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> AI검색 버튼(뭐하지) ","",""
"19","AISearch_Category","M14-B-(2)=2-V1-Fin-down","A, B, C코스가 추천으로 나왔을거에요 
원하시는 코스를 선택하시면 매장별로 보실 수 있어요 ","How many people are in your group, how much time will 
you be spending? What would you like to do here?
","おすすめコースとしてA、B、Cコースが出ているはずです。
希望のコースを選ぶと、各店舗を確認できます。","推荐的A、B、C路线已经显示出来了。
选择您想要的路线，就可以查看各个商店。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> AI검색 버튼(뭐하지)  -> 카테고리 선택 -= 결과에서 A,B,C 선택 ","",""
"20","AISearch_Detail","M14-B-(3)=1-V1-down","핸드폰으로 카메라를 열어서 [QR] 코드를 찍으시면 
방문장소의 길을 안내 받으실수 있어요","Scan the [QR] code with your phone to receive detailed directions","スマートフォンで［QR］コードを読み取れば、
道案内も受けられますよ。","用手机打开相机扫描\[QR]码，
即可获得前往目的地的路线指引。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> AI검색 버튼(뭐하지) -> 카테고리 선택 -= 결과에서 A,B,C 선택 -> 상세검색 ","",""
"","","","위드마켓","","","","","","","","","",""
"30","Event","M34-B-(1)=2 1 V2 Iris2-Fin-down","오색시장에서 진행 중이거나 곧 열릴 이벤트를 확인해 보세요! 
특별 할인과 특별한 경험을 놓치지 마세요!
","Discover Insadong's festivals and events! Join us for culture, fun, and unforgettable experiences!","インサドンで現在開催中、またはもうすぐ始まるイベントをチェックしてみてください！特別な割引やユニークな体験をお見逃しなく！","关注仁寺洞的精彩活动和优惠，
别错过特别体验等你来发现！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면-> 시장이벤트 ","",""
"31","ToEvent_Category","M34-B-(3)=3-V1-Fin-down","오색시장에서 열리는 축제와 특별한 이벤트를 만나보세요! 
문화 축제, 독특한 활동, 그리고 잊지 못할 경험에 함께해요!
","Discover festivals and special events! Join us for cultural celebrations and unforgettable experiences!","オセク市場の祭りやイベントを発見しよう！文化体験やユニークなアクティビティがあなたを待っています。","探索五色市场的节庆活动！
文化盛宴、特色体验与难忘时刻等你参与！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 시장이벤트 -> 카테고리선택","",""
"21","ToEat","M26-B-(3)=8-V1-Fin-down","맛있는 음식 노점과 전통 식당들로 가득해 있어서, 
누구나 즐길 수 있는 장소들이 많이 있답니다!

","Osaek Market is filled with delicious food stalls and traditional eateries—there’s something for everyone!","オセク市場には美味しい屋台や伝統的な食堂がたくさん。誰でも楽しめる場所です！","五色市场美食丰富，
从小吃摊到传统餐馆，总有一款适合你！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 뭐먹지 버튼","",""
"22","ToEat_Category","M26-B-(2)=2-V1-Fin-down","한정식, 분식, 전통주까지! 다양한 한식 맛집이 가득해요.
매장을 클릭하면 더 자세한 정보를 확인할 수 있어요","Korean meals, snacks, and traditional drinks! 
Click a store for details.","韓定食や軽食、伝統酒も！
店舗をクリックして詳細を確認。","韩餐、小吃、传统酒！
点击商店查看详情。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 뭐먹지 버튼 -> 카테고리선택","",""
"23","ToEat_Detail","M26-B-(1)=1-V1-Fin-down","핸드폰으로 카메라를 열어서 [QR] 코드를 찍으시면 
방문장소의 길을 안내 받으실수 있어요.
","","スマホでQRコードを読み取ると目的地までの道順が表示されます","用手机打开相机扫描\[QR]码，
即可获得前往目的地的路线指引。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 뭐먹지 버튼 -> 카테고리선택 -> 상세검색","",""
"24","ToBuy","M34-H2(1)=1-V1-Fin-down","즐거운 추억이 될 쇼핑 아이템들을 찾으시나요?
오색시장에는 다양한 전통시장 상점들이 있어요","Looking for fun keepsakes? Osaek Market has plenty of traditional shops and local goods waiting for you!","おすすめをチェックしてオセク市場での買い物を楽しんで！
詳しくはお店をタップしてください。","想找有趣的纪念品吗？
五色市场有各种传统店铺和在地好物等你来逛！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 뭐사지 버튼","",""
"25","ToBuy_Category","M34-H2(2)=3-V1-Fin-down","무엇을 살지 고민되시나요? 카테고리를 참고해보세요!
매장을 클릭하면 자세한 정보를 볼 수 있어요","Check out my picks and enjoy shopping in Osaek Market! 
Tap a store to see more details.","何を買うか迷ったら？おすすめ商品をチェックしてインサドンでの買い物を楽しんで！
詳しくはお店をタップしてください","看看我的推荐，在五色市场开心购物吧！
点选店家查看更多详情。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 뭐사지 버튼 -> 카테고리선택","",""
"26","ToBuy_Detail","M34-H2(3)=2-V1-Fin-down","핸드폰으로 카메라를 열어서 [QR] 코드를 찍으시면 
방문장소의 길을 안내 받으실수 있어요","Scan the QR code with your phone for directions to get there.","QRコードをスマホで読み取ると目的地までの行き方が表示されます","用手机打开相机扫描\[QR]码，
即可获得前往目的地的路线指引。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 뭐사지 버튼 -> 카테고리선택 -> 상세검색","",""
"","",""," '정이' 뭐사지(물품)","Looking for fun keepsakes? Osaek Market has plenty of traditional shops and local goods waiting for you!","おすすめをチェックしてオセク市場での買い物を楽しんで！
詳しくはお店をタップしてください。","想找有趣的纪念品吗？
五色市场有各种传统店铺和在地好物等你来逛！","","","","","","",""
"","",""," '정이' 뭐사지(물품)","Check out my picks and enjoy shopping in Osaek Market! 
Tap a store to see more details.","何を買うか迷ったら？おすすめ商品をチェックしてインサドンでの買い物を楽しんで！
詳しくはお店をタップしてください","看看我的推荐，在五色市场开心购物吧！
点选店家查看更多详情。","","","","","","",""
"","",""," '정이' 뭐사지(물품)","Scan the QR code with your phone for directions to get there.","QRコードをスマホで読み取ると目的地までの行き方が表示されます","用手机打开相机扫描\[QR]码，
即可获得前往目的地的路线指引。","","","","","","",""
"46","TaxFree","M21-H2(1)=2-C-V1-Fin-down","택스 리펀드 서비스에 오신 것을 환영합니다. 
진행을 위해 택스 리펀드 영수증을 꼭 지참해 주세요.","Welcome to tax refund! Please have your refund 
receipt ready. Follow the screen instructions carefully.","タックスリファンドサービスへようこそ。
手続きを進めるために、必ずタックスリファンドの領収書をご持参ください","歡迎使用退稅服務！
請準備好退稅收據，依螢幕指示操作。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 텍스프리 ","",""
"47","TaxFree","M21-H2(2)=2-C-V1-Fin-down","화면에 설명대로 진행해주세요. 택스 리펀드 영수증 번호를 입력하거나 바코드 스캐너를 사용하여 스캔하세요","Follow the on-screen instructions. 
Enter your refund receipt number or scan the barcode.","画面の指示に従ってください。
タックスリファンドの領収書番号を入力するか、バーコードスキャナーでスキャンしてください","按照畫面提示，
輸入退稅收據號碼或掃描條碼完成操作。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 텍스프리 -> 테스리펀드시작","",""
"48","TaxFree","M21-H2(3)=2-C-V1-Fin-down","영수증이 성공적으로 처리되었습니다! 
공항에서 세관 등록을 하면 신용카드로 세금 환급됩니다. ","Receipt processed successfully! Complete customs 
at the airport, and your refund will be credited","領収書が正常に処理されました！
空港で税関登録を行うと、クレジットカードにタックスリファンドが返金されます","收據已成功處理！在機場完成海關登記，
退稅金將刷回信用卡。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 텍스프리 -> 테스리펀드시작 -> 완료 ","",""
"49","TaxFree","M21-H2(1)=2-C-V1-Fin-down","지금 [WITH]에서 면세 영수증을 등록하세요. 
시간을 절약하고 더욱 편리한 공항 이용을 즐겨보세요.
","Register tax-free at our kiosk now—save time and enjoy a smoother airport experience later.","今すぐキオスクで免税登録をしてください。
時間を節約し、後でより便利な空港利用をお楽しみください","现在在我们自助机办理免税登记，
节省时间，轻松享受顺畅的机场体验！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 텍스프리 -> 텍스프리 가맹점 문의 ","",""
"32","Here","M21-H1(1) 5-V2-Fin-down","오색시장은 전통과 현대가 어우러진 공간이에요. 
'정이'가 길잡이가 되어 드릴게요","Osaek Market blends tradition and modern life—let Jeong-i be your guide!","五色市場は伝統と現代が融合する場所。
ジョンイがご案内します！","五彩市场是传统与现代交融的空间。
“正伊”将成为您的向导。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 오색시장-1","",""
"33","Here","M21-H1(1) 5-V2-Fin-down","지금 [WITH]를 통해 다양한 정보를 경험하시고 
한복착장을 통해 잼있는 한국의 전통체험도 경험해보세요  ","Explore a variety of info with WIT AI SMART KIOSK, and enjoy fun Korean tradition by trying on hanbok!","WIT AIスマートキオスクで情報をチェック！韓服体験で楽しい伝統文化にもふれてみて！","通过WIT AI智能自助机获取丰富信息，
还能试穿韩服，体验有趣的韩国传统！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 오색시장-2","",""
"34","Here","M21-H1(1) 5-V2-Fin-down","핸드폰으로 [QR] 코드를 통해 길 안내를 받을 수 있고 
한복 착장의 결과물을 핸드폰에 저장할 수 있어요 ","Scan the [QR] code with your phone for directions, and save your hanbok photo right to your device!","QRコードをスマホで読み取り道順を確認。韓服写真は端末に保存できます！","用手机扫码获取路线指引，
还能把韩服照片保存到手机里！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 ->오색시장-3","",""
"35","Greeting","M27-C=6-V1-Fin-down","안녕하세요! 오색시장의 마스코트 ‘정이’예요. 
21살 MZ세대 대학생이고, K-POP,  맛집 탐방을 좋아해요","Hi! I'm Jeong-i, the mascot of Osaek Market. I love K-pop, pets, photos, and exploring tasty spots!","こんにちは！オセク市場のマスコット「ジョンイ」です。K-POPやペット、美味しいお店巡りが大好きです。","你好，我是五色市场的吉祥物正伊！
我喜欢K-pop、宠物和发现好吃的店。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 안녕 '정이' -> '정이' 소개 -1","",""
"36","Greeting","M27-D=1-V1-Fin-down","오색시장에 대해서 궁금하신 것은 무엇이든 물어보세요.
다양한 전통시장의 미션들을 알려드릴께요","Curious about Osaek Market or anything else? Just ask me and I’ll guide you with fun tips!","オセク市場について気になることがあれば、気軽に聞いてね！おすすめ情報を楽しく紹介するよ。","对五色市场或其他事情好奇吗？
随时来问我，我会带你发现有趣的推荐！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 안녕 '정이' -> '정이' 소개 -2","",""
"70","Greeting_Hobby","M28-B-(2)=3-V1-Fin-down","정이'는 운동을 너무너무 좋아해요 
그리고 요즘에는 테니스를 열심히 배우고 있는 테린이에요 ","“Jeong-i” loves sports 
and is now a tennis beginner practicing hard.","「ジョンイ」は運動が大好きで、
最近はテニスを一生懸命習っている初心者です。","“正伊”非常喜欢运动，
最近正在努力学习网球，是个初学者。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 안녕 '정이' -> 정이의 취미-1(테니스)","",""
"70","Greeting_Hobby","M28-A-(1)=6-V1-Fin-down","정이'는 요즘 골프를 배우고 있어요
너무 어렵지만 열심히해서 버디를 꼭 할거에요","정이'는 운동을 너무너무 좋아해요 
그리고 요즘에는 테니스를 열심히 배우고 있는 테린이에요 ","「ジョンイ」は最近ゴルフを習っています。
難しいですが、頑張って必ずバーディーを狙います！","“贞儿” 最近在学高尔夫。
虽然很难，但会努力抓到小鸟球的！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 안녕 '정이' -> 정이의 취미-1(골프)","",""
"71","Greeting_Stretching","M13-B(1)=3-Fin-down","휴식겸 잠깐 저를 따라서 스트레칭 어떠신가요? 
2분만 스트레칭한번하고 다시 즐거운 여정을 떠나보세요 ","Enjoying Osaek Market? Let’s do a quick 2-minute stretch together before you keep exploring!","オセク市場を楽しんでいますか？散策を続ける前に2分間ストレッチを一緒にしましょう！","逛五色市场开心吗？
跟我一起做个2分钟伸展，再继续探险吧！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 안녕정이 -> 스트레칭 고고~ - 1","",""
"72","Greeting_Stretching","M13-B(4)=2-V1-Fin-down","모두 너무 열심히 잘 따라서 해주셨어요~최고에요 
이제 다시 오색시장의 다양한 장소를 방문해보세요^^","Great job following along—awesome! Now, let’s get back to exploring Osaek Market’s gems! ^^","よくできましたね—素晴らしい！それでは、またオセク市場の魅力を探しに行きましょう！^^","做得真棒！
现在我们回到五色市场继续发现惊喜吧！^^","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 안녕정이 -> 스트레칭 고고~ - 2","",""
"73","Greeting_Stretching","M13-B(2)=3-V1-Fin-down","자 우선 손목과 팔목을 풀어볼까요~
다음은 어깨를 시계방향으로 돌려주세요 ","First, loosen your wrists and arms. Next, 
rotate your shoulders clockwise, like this!","まずは手首と腕をゆるめてください。
次に、肩を時計回りに回します。このように！","先活動手腕和手臂～
接著像這樣順時針轉轉你的肩膀！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 안녕정이 -> 스트레칭 고고~ - 3","",""
"74","Greeting_Stretching","M13-B(3)=2-V1-Fin-down","다음은 좀더 크게 어깨운동을 해볼거에요 
그리고 팔꿈치가 무릅에 닿을수 있게 양쪽으로 해보세요 ","Now, let’s stretch those shoulders bigger. 
Try to touch your elbows to your knees on both sides!","では、肩を大きくストレッチしましょう。
両側の肘を膝にタッチするようにしてみてください！","現在來個大動作～試試讓手肘碰到膝蓋，
左右兩邊都來一次！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 안녕정이 -> 스트레칭 고고~ - 4","",""
"43","ToHelp","M23-A-(1)=7-V1-Fin-down","도움이 필요하시거나 필수 서비스를 찾고 계신가요? 
제가 도와드릴 수 있는 것을 알려주세요","Need assistance or looking for essential services?
Let me know how I can help","お困りのことや必要なサービスをお探しですか？
私にできることがあれば、教えてくださいね！","需要帮助或在找重要服务吗？
告诉我你需要什么，我来帮你！","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 도와줘정이-> 카테고리선택 ","",""
"44","ToHelp_Category","M23-A-(3)=2-V1-Fin-down","필요한신 내용을 클릭하시면 상세한 정보를 얻으실 수 있어요. 
상세정보를 통해 다양한 도움을 받아가세요~","Click on the information you need to get more details.","必要な情報をクリックすると、
さらに詳しい情報を得ることができます。","点击所需的内容，您可以获取更详细的信息。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 도와줘정이-> 카테고리선택  1","",""
"45","ToHelp_Detail","M23-A-(4)=1-V1-Fin-down","핸드폰으로 카메라를 열어서 [QR] 코드를 찍으시면 
방문장소의 길을 안내 받으실수 있어요","Scan the [QR] code with your phone to receive directions
","スマートフォンで［QR］コードを読み取れば、
道案内を受けることができますよ。","用手机打开相机扫描\[QR]码，
即可获得前往目的地的路线指引。","전통시장 엠버서더 '정이'","Traditional Market Ambassador “Jeong-i”","伝統市場アンバサダー「ジョンイ」","传统市场大使“正伊”","기본화면 -> 도와줘정이-> 카테고리선택 -> 상세검색","",""
