"운영팀> 2번 모니터> 앱 콘텐츠 내용","","","","","","","","","","","","","","","","","","","","","","","","",""
"Num","Key","Korean","English","Japanese","Chinese","Vietnamese","Thai","Russian","Indonesian","설명, 비고","구분(위치)","","","","","","","","","","","","","",""
"","NoticeContent -11","<b>11월 제주</b>는 새콤달콤한 <b>노지감귤</b>이 본격적인 제철을 맞고 살이 오른 <b>방어와 갈치</b> 등 겨울 해산물을 함께 즐기기 좋은 시기입니다.","November in Jeju is a great time to enjoy sweet tangerines and fresh winter seafood like yellowtail and hairtail.","11月の済州は、甘酸っぱい露地みかんが本格的な旬を迎え、脂がのったブリやタチウオなどの冬のシーフードを一緒に楽しむのに良い時期です。","11月的济州岛，酸甜可口的露地柑橘正式迎来旺季，是同时享受肥美黄尾鱼和带鱼等冬季海鲜的好时节。","Tháng 11 ở Jeju là thời điểm tuyệt vời để thưởng thức quýt ngọt cùng cá cam và cá hố mùa đông.","เดือนพฤศจิกายนในเชจูเป็นช่วงเวลาที่ดีในการเพลิดเพลินกับส้มแมนดารินที่กำลังออกผลเต็มที่ พร้อมกับอาหารทะเลฤดูหนาว เช่น ปลาหางเหลืองและปลาหางดาบที่อวบอ้วน","Ноябрь на Чеджу — время сладких мандаринов в разгар сезона, а также желтохвоста и рыбы-сабли.","November di Jeju waktu yang tepat untuk menikmati jeruk musim panen serta hidangan laut seperti yellowtail dan hairtail.","","","","","","","","","","","","","","","",""
"","NoticeContent -12","<b>12월 제주</b>는 당도가 높아진 <b>노지감귤과 한라봉</b>이 익어가고 기름이 올라 맛있는 <b>방어와 겨울 해산물</b>을 맛보기 좋은 시기입니다.","December in Jeju is a great time to enjoy yellowtail, winter seafood, and sweet tangerines and Hallabong.","12月の済州は、糖度が高くなった露地みかんとハルラボンが熟し、脂がのって美味しいブリや冬のシーフードを味わうのに良い時期です。","12月的济州岛，糖度高的露地柑橘和汉拿峰逐渐成熟，也是品尝肥美黄尾鱼和冬季海鲜的好时节。","Tháng 12 ở Jeju là thời điểm tuyệt vời để thưởng thức quýt ngọt, Hallabong và cá cam mùa đông.","เดือนธันวาคมในเชจูเป็นช่วงเวลาที่ดีในการลิ้มรสปลาหางเหลืองและอาหารทะเลฤดูหนาวแสนอร่อย ในขณะที่ส้มแมนดารินและฮัลลาบงสุกงอมและมีความหวานสูง","Декабрь на Чеджу — отличное время для сладких мандаринов, халлабона, вкусного желтохвоста и зимних морепродуктов.","Desember di Jeju sangat cocok untuk menikmati jeruk manis, Hallabong, serta yellowtail dan hidangan laut musim dingin.","","","","","","","","","","","","","","","",""
"","FlightSchedule","항공편 안내","Flight Info","フライトガイド","航班信息","Thông tin chuyến bay","ข้อมูลเที่ยวบิน","Информация о рейсах","Informasi Penerbangan","제주공항에 적용","","","","","","","","","","","","","","",""
"","CruiseSchedule","운항 정보","Operation Info","運行情報","运营信息","Thông tin vận hành","ข้อมูลการดำเนินงาน","Информация об операции","Informasi Operasional","여객선터미널에 적용","","","","","","","","","","","","","","",""
"","Schedule_More_Flight","항공편 정보 더보기","More flight information","運航情報をもっと見る","查看更多航班信息","Xem thêm thông tin chuyến bay","ดูข้อมูลเที่ยวบินเพิ่มเติม","Больше информации о рейсах","Lihat lebih banyak informasi penerbangan","","","","","","","","","","","","","","","",""
"","Schedule_More_Cruise","운항 정보 더보기","More Operation information","運行情報の詳細","更多运营信息","Thêm thông tin vận hành","ข้อมูลการดำเนินงานเพิ่มเติม","Дополнительная информация об операции","Lihat informasi penerbangan selengkapnya","","","","","","","","","","","","","","","",""
"","BarrierFree_Title","지금은 배리어프리 모드입니다.","Currently in Barrier-Free Mode.","現在はバリアフリーモードです。","现在是无障碍模式。","Hiện tại là chế độ không rào cản.","ขณะนี้อยู่ในโหมดไร้อุปสรรค","В настоящее время используется безбарьерный режим.","Saat ini dalam mode bebas hambatan.","","","","","","","","","","","","","","","",""
"","Language_Select_Language","언어선택","Select Language","言語選択","选择语言","Chọn ngôn ngữ","เลือกภาษา","Выберите язык","Pilih Bahasa","","아이콘03","","","","","","","","","","","","","",""
"","Language_Content","* 원하는 언어를 선택해 주세요.","* Service is available in 4 languages. Please select a language.","* 4ヶ国語に対応しています。言語を選択してください。","* 提供4种语言服务。请选择语言。","* Vui lòng chọn ngôn ngữ.","* มีให้บริการ 8 ภาษา โปรดเลือกภาษาที่ต้องการ","* Услуга доступна на 4 языках. Пожалуйста, выберите язык.","* Silakan pilih bahasa.","","아이콘03","","","","","","","","","","","","","",""
"","Language_Now_Language","현재 언어","> Now Language","> Now Language","> Now Language","Ngôn ngữ hiện tại","ภาษาปัจจุบัน","> Текущий язык","Bahasa Saat Ini","","아이콘03","","","","","","","","","","","","","",""
"","Language_Target_Language","변경 언어","> Change Language","> Change Language","> Change Language","Đổi ngôn ngữ","เปลี่ยนภาษา","> Изменить язык","Ubah Bahasa","","아이콘03","","","","","","","","","","","","","",""
"","Main_Search","제주도에 대해 검색해보세요!","Search for information about Jeju Island!","済州島を検索してみてください！","搜索有关济州岛的信息！","Tìm kiếm thông tin về đảo Jeju!","ค้นหาข้อมูลเกี่ยวกับเกาะเชจู!","Ищете информацию об острове Чеджу?","Cari informasi tentang Pulau Jeju!","","","","","","","","","","","","","","","",""
"","MainButton_AI"," '제주' 뭐하지","To do (AI)"," 「済州」","济州玩什么","Chơi gì ở Jeju?","เที่ยวเชจูยังไง","Чем заняться","Jelajahi Jeju","","아이콘04","","","","","","","","","","","","","",""
"","MainButton_AI_Subtext","AI 검색하기","AI Search","AI検索","AI搜索","Tìm kiếm AI","ค้นหาด้วย AI","AI Поиск","Pencarian AI","","","","","","","","","","","","","","","",""
"","MainButton_Goods","위드 마켓 ","WITH Market","WITH Market","WITH Market","Chợ WITH","ตลาด WITH","Рынок WITH","Pasar WITH","","아이콘15","","","","","","","","","","","","","",""
"","MainButton_Goods_Subtext","굿즈 만들기","Make Goods","グッズ作り","制作周边","Làm đồ lưu niệm","ทำสินค้าที่ระลึก","Сувениры","Buat Suvenir","","","","","","","","","","","","","","","",""
"","MainButton_Event","제주도 이벤트","Jeju Events","済州島イベント","济州岛活动","Sự kiện Jeju","กิจกรรมเชจู","События","Acara Jeju","","아이콘06","","","","","","","","","","","","","",""
"","MainButton_Event_Subtext","제주행사","What's on","済州イベント","济州活动","Sự kiện Jeju","กิจกรรมเชจู","Афиша Чеджу","Acara Jeju","","","","","","","","","","","","","","","",""
"","MainButton_ToEat"," '제주'뭐먹지","To eat"," 「済州」を食べる","济州岛美食推荐","Nên ăn gì ở Jeju?","ควรทานอะไรดีในเกาะเชจู","Что поесть на Чеджу","Makan apa di Jeju?","","아이콘07","","","","","","","","","","","","","",""
"","MainButton_ToEat_Subtext","맛집 추천","Restaurant Recommendations","おすすめのレストラン","推荐餐厅","Đề xuất nhà hàng","ร้านอาหารแนะนำ","Рекомендуемые рестораны","Rekomendasi Restoran","","","","","","","","","","","","","","","",""
"","MainButton_ToBuy"," '제주'뭐사지","To buy"," 「済州」何か","济州岛应该买些什么？","Tôi nên mua gì ở Jeju?","ฉันควรซื้ออะไรที่เกาะเชจูดี?","Что купить на Чеджу?","Beli apa di Jeju?","","아이콘08","","","","","","","","","","","","","",""
"","MainButton_ToBuy_SubText","쇼핑 추천","Shopping Recommendations","おすすめのショッピング","推荐购物","Đề xuất mua sắm","แหล่งช้อปปิ้งแนะนำ","Рекомендуемые магазины","Rekomendasi Belanja","","","","","","","","","","","","","","","",""
"","MainButton_Accommodation","숙박안내","Accommodation","宿泊情報","住宿信息","Lưu trú","ข้อมูลที่พัก","Проживание","Akomodasi","","아이콘09","","","","","","","","","","","","","",""
"","MainButton_Accommodation_Subtext","제주 숙소 모음","Jeju Accommodation Collection","済州の宿泊施設まとめ","济州岛住宿汇总","Bộ sưu tập chỗ ở Jeju","รวมที่พักในเชจู","Подборка жилья на Чеджу","Koleksi Akomodasi Jeju","","","","","","","","","","","","","","","",""
"","MainButton_TaxFree","TAX-FREE","TAX-FREE","TAX-FREE","TAX-FREE","TAX-FREE","TAX-FREE","TAX-FREE","TAX-FREE","","아이콘10","","","","","","","","","","","","","",""
"","MainButton_TaxFree_Subtext","면세 혜택","Duty-Free Benefits","免税特典","免税优惠","Ưu đãi miễn thuế","สิทธิประโยชน์ปลอดภาษี","Беспошлинные льготы","Manfaat Bebas Pajak","","","","","","","","","","","","","","","",""
"","MainButton_Here","여기는 제주도","This is Jeju Island","ここは済州島","这里是济州岛","Đây là đảo Jeju","ที่นี่คือเกาะเชจู","Это остров Чеджу","Ini adalah Pulau Jeju","","아이콘11","","","","","","","","","","","","","",""
"","MainButton_Here_Subtext","관광지 추천","Tourist Attraction Recommendations","おすすめの観光地","推荐旅游景点","Đề xuất điểm du lịch","สถานที่ท่องเที่ยวแนะนำ","Популярные места","Rekomendasi Tempat Wisata","","","","","","","","","","","","","","","",""
"","MainButton_Greeting","안녕 '귤이'","Hello 'Gyuli'","こんにちは 'Gyuli'","你好 'Gyuli'","Chào 'Gyuli'","สวัสดี 'Gyuli'","Привет, 'Gyuli'","Halo 'Gyuli'","제주공항, 여객선터미널에 적용","아이콘12","","","","","","","","","","","","","",""
"","MainButton_Greeting_Subtext","귤이 소개","Introduction to Gyuli","Gyuliの紹介","Gyuli介绍","Giới thiệu về Gyuli","แนะนำ Gyuli","Знакомство с Gyuli","Pengenalan Gyuli","","","","","","","","","","","","","","","",""
"","MainButton_Greeting","안녕 '유산'","Hello 'Yusan'","こんにちは 'Yusan'","你好 'Yusan'","Chào 'Yusan'","สวัสดี 'Yusan'","Привет, 'Yusan'","Halo 'Yusan'","제주유산문화센터에 적용","아이콘13","","","","","","","","","","","","","",""
"","MainButton_Greeting_Subtext","유산 소개","Introduction to YUSAN","YUSANの紹介","YUSAN介绍","Giới thiệu về YUSAN","แนะนำ YUSAN","Знакомство с YUSAN","Pengenalan YUSAN","","","","","","","","","","","","","","","",""
"","MainButton_ToHelp","도와줘 '귤이'","Help 'Gyuli'","ヘルプとサービスです","请帮忙","Giúp với 'Gyuli'","ช่วยด้วย 'Gyuli'","Помощь","Tolong 'Gyuli'","제주공항, 여객선터미널에 적용","","","","","","","","","","","","","","",""
"","MainButton_ToHelp_Subtext","편의시설 안내","Facility Information","施設案内","设施指南","Thông tin cơ sở vật chất","ข้อมูลสิ่งอำนวยความสะดวก","Информация об удобствах","Informasi Fasilitas","","","","","","","","","","","","","","","",""
"","MainButton_ToHelp","도와줘 '유산'","Help 'Yusan'","ヘルプとサービスです","请帮忙","Giúp với 'Yusan'","ช่วยด้วย 'Yusan'","Помощь","Tolong 'Yusan'","제주유산문화센터에 적용","","","","","","","","","","","","","","",""
"","MainButton_ToHelp_Subtext","편의시설 안내","Facility Information","施設案内","设施指南","Thông tin cơ sở vật chất","ข้อมูลสิ่งอำนวยความสะดวก","Информация об удобствах","Informasi Fasilitas","","","","","","","","","","","","","","","",""
"","MainButton_RentCar","렌트카","Rental car","レンタカー","租车","xe thuê","รถเช่า","арендованный автомобиль","mobil sewaan","제주공항에 적용","아이콘14","","","","","","","","","","","","","",""
"","MainButton_RentCar_Subtext","간편 예약","Easy Reservation","簡単予約","简便预约","Đặt chỗ dễ dàng","จองง่าย","Простое бронирование","Reservasi Mudah","","","","","","","","","","","","","","","",""
"","MainButton_Airplane_Schedule","운항정보","Flight Information","運航情報","航班信息","Thông tin chuyến bay","ข้อมูลเที่ยวบิน","Информация о рейсах","Informasi Penerbangan","제주공항에 적용","","","","","","","","","","","","","","",""
"","MainButton_Cruise","운항정보","Vessel operation information","運航情報","船舶运营信息","Thông tin hoạt động của tàu","ข้อมูลการเดินเรือ","Расписание судов","Informasi operasi kapal","유산문화센터, 여객선터미널에 적용","","","","","","","","","","","","","","",""
"","MainButton_Cruise_Subtext","입・출항 정보","Operation information","運航情報","运营信息","Thông tin hoạt động","ข้อมูลการทำงานแบบ","Информация о работе","Informasi operasi","","","","","","","","","","","","","","","",""
"","MainButton_Exchange","환율","Exchange","為替レート情報","汇率信息","Tỷ giá","อัตราแลกเปลี่ยน","Обмен валют","Kurs","","","","","","","","","","","","","","","",""
"","MainButton_Exchange_Subtext","환율 계산기","Exchange Rate Calculator","為替レート計算機","汇率计算器","Máy tính tỷ giá","เครื่องคำนวณอัตราแลกเปลี่ยน","Калькулятор обменного курса","Kalkulator Nilai Tukar","","","","","","","","","","","","","","","",""
"","MainButton_Donation","기부","Donation","寄付","捐款","Quyên góp","บริจาค","Пожертвование","Donasi","","아이콘15","","","","","","","","","","","","","",""
"","MainButton_Donation_Subtext","교복 기부","School Uniform Donation","制服の寄付","校服捐赠","Quyên góp đồng phục học sinh","บริจาคชุดนักเรียน","Пожертвование школьной формы","Donasi Seragam Sekolah","","","","","","","","","","","","","","","",""
"","MainButton_LocalCurrency","지역화폐","Local currency","地域通貨","当地货币","tiền tệ địa phương","สกุลเงินท้องถิ่น","местная валюта","mata uang lokal","","아이콘17","","","","","","","","","","","","","",""
"","MainButton_LocalCurrency_Subtext","탐나는전","Tamnaneunjeon","タムナヌンジョン","Tamnaneunjeon","Tamnaneunjeon","Tamnaneunjeon","Tamnaneunjeon","Tamnaneunjeon","","","","","","","","","","","","","","","",""
"","MainButton_Promotion","PROMOTION(준비중)","PROMOTION (Coming Soon)","PROMOTION（準備中）","促销活动（即将推出）","CHƯƠNG TRÌNH KHUYẾN MÃI (Sắp ra mắt)","โปรโมชั่น (เร็วๆ นี้)","АКЦИЯ (Скоро будет доступна)","PROMOSI (Segera Hadir)","","아이콘19","","","","","","","","","","","","","",""
"","MainButton_WC","화장실","Toilet","トイレ","廁所","Nhà vệ sinh","ห้องน้ำ","Туалет","Toilet","","아이콘21","","","","","","","","","","","","","",""
"","MainButton_Hanbok","한복설명","Hanbok","韓服","韩服","Thông tin Hanbok","ข้อมูลฮันบก","Ханбок","Info Hanbok","","","","","","","","","","","","","","","",""
"","MainButton_Tamnao","탐나오·제주큐랑","Tamnao · Jeju Qurang","タムナオ・済州キュラン","塔姆瑙·济州岛古兰","Tamnao · Jeju Qurang","Tamnao · Jeju Qurang","Тамнао · Чеджу Куранг","Tamnao · Jeju Qurang","","","","","","","","","","","","","","","",""
"","MainButton_Tamnao_Subtext","제주공공플랫폼","Jeju Public Platform","済州公共プラットフォーム","济州公共平台","Nền tảng công cộng Jeju","แพลตฟอร์มสาธารณะเชจู","Публичная платформа Чеджу","Platform Publik Jeju","","","","","","","","","","","","","","","",""
"","Search_Result_Title","검색","Search","検索","搜索","Tìm kiếm","ค้นหา","Поиск","Pencarian","","","","","","","","","","","","","","","",""
"","Search_Result_Subtitle","* 검색결과를 클릭하시면 상세정보(길찾기)를 보실 수 있어요.","* Click a search result to see more details","* 検索結果をクリックして、詳細とルート案内をご覧ください。","* 点击搜索结果，查看详情与路线导航。","Nhấn vào kết quả để xem chi tiết (chỉ đường).","คลิกที่ผลการค้นหาเพื่อดูรายละเอียด (การนำทาง) ค่ะ","Нажмите результат — детали и маршрут.","Klik hasil pencarian untuk info detail (petunjuk arah).","","","","","","","","","","","","","","","",""
"","OP_Schedule_Title","운항정보","Operation Info","運航情報","运营信息","Thông tin hoạt động","ข้อมูลการดำเนินงาน","Информация о работе","Informasi Operasi","","","","","","","","","","","","","","","",""
"","OP_Schedule_Subtitle","실시간 운항정보입니다.","This is real-time operation information.","リアルタイムの運航情報です。","这是实时运营信息。","Đây là thông tin hoạt động thời gian thực.","นี่คือข้อมูลการทำงานแบบเรียลไทม์","Это информация о работе в режиме реального времени.","Ini adalah informasi operasi waktu nyata.","","","","","","","","","","","","","","","",""
"","OP_Schedule_Tab_1","출발","Departure","出発","出发","Khởi hành","ขาออก","Отправление","Keberangkatan","","","","","","","","","","","","","","","",""
"","OP_Schedule_Tab_2","도착","Arrival","到着","到达","Đến nơi","ขาเข้า","Прибытие","Kedatangan","","","","","","","","","","","","","","","",""
"","OP_Schedule_Search_placeholder","편명을 검색해보세요","Search for the flight number","便名を検索してください。","请搜索航班号。","Vui lòng tìm kiếm số hiệu chuyến bay.","โปรดค้นหาหมายเลขเที่ยวบิน","Пожалуйста, введите номер рейса.","Silakan cari nomor penerbangan.","","","","","","","","","","","","","","","",""
