"제주=데이터(공항상점리스트) ShopID ","NO ","ShopName_Kr Default","ShopName_En Default","ShopName_Jp Default","ShopName_Ch Default","ShopName_Vn Default","ShopName_Th Default","ShopName_Ru Default","ShopName_Id Default","BaseCategory_Kr Default","BaseCategory_En Default","BaseCategory_Jp Default","BaseCategory_Ch Default","BaseCategory_Vn Default","BaseCategory_Th Default","BaseCategory_Ru Default","BaseCategory_Id Default","Location_Kr Default","Location_En Default","Location_Jp Default","Location_Ch Default","Location_Vn Default","Location_Th Default","Location_Ru Default","Location_Id Default","OpeningHours_Kr Default","PhoneNumber_Kr Default","MainProduct_Kr Default","MainProduct_En Default","MainProduct_Jp Default","MainProduct_Ch Default","MainProduct_Vn Default","MainProduct_Th Default","MainProduct_Ru Default","MainProduct_Id Default"
"11","제주국제공항=국내선=11","JDC 서편매장","JDC West Store","JDC 西側売場","JDC 西侧卖场","Cửa hàng JDC phía Tây","ร้าน JDC ฝั่งตะวันตก","Магазин JDC, западная сторона","Toko JDC Sisi Barat","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","2F 면세","2F Duty-Free Area","2階 免税エリア","2楼 免税区","Tầng 2 Khu miễn thuế","ชั้น 2 พื้นที่ปลอดภาษี","2-й этаж, зона Duty Free","Lantai 2 Area Bebas Bea","06:00 ~ 21:20","064-740-9900","JDC 서편매장","JDC West Store","JDC 西側売場","JDC 西侧卖场","Cửa hàng JDC phía Tây","ร้าน JDC ฝั่งตะวันตก","Магазин JDC, западная сторона","Toko JDC Sisi Barat"
"12","제주국제공항=국내선=12","JDC동편매장","JDC East Store","JDC 東側売場","JDC 东侧卖场","Cửa hàng JDC phía Đông","ร้าน JDC ฝั่งตะวันออก","Магазин JDC, восточная сторона","Toko JDC Sisi Timur","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","2F 면세","2F Duty-Free Area","2階 免税エリア","2楼 免税区","Tầng 2 Khu miễn thuế","ชั้น 2 พื้นที่ปลอดภาษี","2-й этаж, зона Duty Free","Lantai 2 Area Bebas Bea","06:00 ~ 21:20","064-740-9900","면세점","Duty-free shop","免税店","免税店","Cửa hàng miễn thuế","ร้านค้าปลอดภาษี","Магазин Duty Free","Toko bebas bea"
"13","제주국제공항=국내선=13","JDC면세점","JDC Duty Free","JDC免税店","JDC免税店","JDC Duty Free","JDC Duty Free","JDC Duty Free","JDC Duty Free","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","2F 면세","2F Duty-Free Area","2階 免税エリア","2楼 免税区","Tầng 2 Khu miễn thuế","ชั้น 2 พื้นที่ปลอดภาษี","2-й этаж, зона Duty Free","Lantai 2 Area Bebas Bea","06:00 ~ 21:20","064-740-9900","JDC면세점","JDC Duty Free","JDC免税店","JDC免税店","JDC Duty Free","JDC Duty Free","JDC Duty Free","JDC Duty Free"
"14","제주국제공항=국내선=14","공항약국","Airport Pharmacy","空港薬局","机场药店","Nhà thuốc sân bay","ร้านขายยาสนามบิน","Аптека в аэропорту","Apotek Bandara","의료","Medical","医療","医疗","Y tế","การแพทย์","Медицина","Medis","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 21:00","064-743-3213","의약품(소화제, 감기약 등)","Medicines (digestive aids, cold medicine, etc.)","医薬品（胃腸薬、風邪薬など）","药品（消化药、感冒药等）","Thuốc (thuốc tiêu hóa, thuốc cảm, v.v.)","ยา (ยาช่วยย่อย ยาแก้หวัด ฯลฯ)","Лекарства (для пищеварения, от простуды и др.)","Obat-obatan (obat pencernaan, obat flu, dll.)"
"15","제주국제공항=국내선=15","국수나무","Guksunamu","Guksunamu","Guksunamu","Guksunamu","Guksunamu","Guksunamu","Guksunamu","식당","Restaurant","レストラン","餐厅","Nhà hàng","ร้านอาหาร","Ресторан","Restoran","2F 면세","2F Duty-Free Area","2階 免税エリア","2楼 免税区","Tầng 2 Khu miễn thuế","ชั้น 2 พื้นที่ปลอดภาษี","2-й этаж, зона Duty Free","Lantai 2 Area Bebas Bea","06:00 ~ 21:00","064-745-7747","옛날 돈까스, 떡볶이 새우튀김, 냉모밀 등","Old-fashioned pork cutlet, tteokbokki, fried shrimp, cold buckwheat noodles, etc.","昔ながらのとんかつ、トッポッキ、エビフライ、冷たいそばなど","老式炸猪排、辣炒年糕、炸虾、冷荞麦面等","Thịt heo chiên xù kiểu truyền thống, tteokbokki, tôm chiên, mì kiều mạch lạnh, v.v.","ทงคัตสึแบบดั้งเดิม ต็อกบกกี กุ้งทอด โซบะเย็น ฯลฯ","Классический тонкацу, ттокпокки, жареные креветки, холодная гречневая лапша и др.","Tonkatsu klasik, tteokbokki, udang goreng, soba dingin, dll."
"16","제주국제공항=국내선=16","대춘해장국","Daechun Haejangguk","Daechun Haejangguk","Daechun Haejangguk","Daechun Haejangguk","Daechun Haejangguk","Daechun Haejangguk","Daechun Haejangguk","식당","Restaurant","レストラン","餐厅","Nhà hàng","ร้านอาหาร","Ресторан","Restoran","4F 일반","4F Public Area","4階 一般エリア","4楼 公共区域","Tầng 4 Khu công cộng","ชั้น 4 พื้นที่สาธารณะ","4-й этаж, общая зона","Lantai 4 Area Publik","07:00 ~ 20:00","064-712-7456","해장국, 내장탕, 몸국, 수육","Haejangguk, offal soup, momguk, boiled pork slices","ヘジャングク、内臓スープ、モムグク、茹で豚","醒酒汤、内脏汤、济州海藻汤、白切猪肉","Canh giải rượu, canh nội tạng, momguk, thịt heo luộc thái lát","แฮจังกุก ซุปเครื่องใน มมกุก และหมูต้ม","Хэджанггук, суп с субпродуктами, момгук, отварная свинина","Haejangguk, sup jeroan, momguk, irisan daging babi rebus"
"17","제주국제공항=국내선=17","대한항공","Korean Air","Korean Air","Korean Air","Korean Air","Korean Air","Korean Air","Korean Air","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-713-9101","수하물 체크인","Baggage check-in","手荷物チェックイン","行李托运","Làm thủ tục hành lý","เช็กอินสัมภาระ","Регистрация багажа","Check-in bagasi"
"18","제주국제공항=국내선=18","대한항공(발권카운터)","Korean Air (Ticketing Counter)","Korean Air （発券カウンター）","Korean Air （售票柜台）","Korean Air (Quầy vé)","Korean Air (เคาน์เตอร์ออกตั๋ว)","Korean Air (Касса)","Korean Air (Konter Tiket)","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-713-9101","발권카운터","Ticketing counter","発券カウンター","售票柜台","Quầy vé","เคาน์เตอร์ออกตั๋ว","Касса продажи билетов","Konter tiket"
"19","제주국제공항=국내선=19","대한항공라운지","Korean Air Lounge","Korean Air ラウンジ","Korean Air 贵宾室","Korean Air Phòng chờ","Korean Air เลานจ์","Korean Air Лаунж","Korean Air Lounge","라운지・휴식","Lounge·Rest","ラウンジ／休憩","贵宾室·休息","Phòng chờ·Nghỉ ngơi","เลานจ์·พักผ่อน","Лаунж·Отдых","Lounge·Istirahat","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-713-9101","항공사 라운지","Airline lounge","航空会社ラウンジ","航空公司贵宾室","Phòng chờ hãng hàng không","ห้องรับรองสายการบิน","Зал ожидания авиакомпании","Lounge maskapai"
"20","제주국제공항=국내선=20","라운델(자전거토탈케어샵)","Roundel (Bicycle Total Care Shop)","Roundel （自転車トータルケアショップ）","Roundel （自行车综合服务店）","Roundel (Cửa hàng chăm sóc xe đạp tổng hợp)","Roundel (ร้านดูแลจักรยานครบวงจร)","Roundel (Магазин комплексного обслуживания велосипедов)","Roundel (Toko Perawatan Sepeda Lengkap)","기타","Other","その他","其他","Khác","อื่นๆ","Другое","Lainnya","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","09:00 ~ 18:00","1577-1949","자전거 대여, 자전거 용품 판매","Bicycle rental and bicycle accessories sales","自転車レンタル、自転車用品販売","自行车租赁及自行车用品销售","Cho thuê xe đạp và bán phụ kiện xe đạp","ให้เช่าจักรยานและจำหน่ายอุปกรณ์จักรยาน","Прокат велосипедов и продажа велотоваров","Penyewaan sepeda dan penjualan perlengkapan sepeda"
"21","제주국제공항=국내선=21","롯데렌터카","LOTTE Rent-a-Car","LOTTE Rent-a-Car","LOTTE Rent-a-Car","LOTTE Rent-a-Car","LOTTE Rent-a-Car","LOTTE Rent-a-Car","LOTTE Rent-a-Car","기타","Other","その他","其他","Khác","อื่นๆ","Другое","Lainnya","1F 일반","1F Public Area","1階 一般エリア","1楼 公共区域","Tầng 1 Khu công cộng","ชั้น 1 พื้นที่สาธารณะ","1-й этаж, общая зона","Lantai 1 Area Publik","07:00 ~ 22:00","064-751-8000"," 렌트카 서비스","Car rental service","レンタカーサービス","租车服务","Dịch vụ thuê xe","บริการรถเช่า","Услуги проката автомобилей","Layanan sewa mobil"
"22","제주국제공항=국내선=22","롯데리아","LOTTERIA","LOTTERIA","LOTTERIA","LOTTERIA","LOTTERIA","LOTTERIA","LOTTERIA","식당","Restaurant","レストラン","餐厅","Nhà hàng","ร้านอาหาร","Ресторан","Restoran","2F 면세","2F Duty-Free Area","2階 免税エリア","2楼 免税区","Tầng 2 Khu miễn thuế","ชั้น 2 พื้นที่ปลอดภาษี","2-й этаж, зона Duty Free","Lantai 2 Area Bebas Bea","06:00 ~ 21:30","064-748-8591","더블 한우불고기, 핫크리스피버거, 빅불 등","Double Hanwoo Bulgogi Burger, Hot Crispy Burger, Big Bulgogi Burger, etc.","ダブル韓牛プルコギバーガー、ホットクリスピーバーガー、ビッグプルコギバーガーなど","双层韩牛烤肉汉堡、香辣脆鸡堡、大烤肉汉堡等","Burger Bulgogi Hanwoo đôi, Burger Hot Crispy, Burger Bulgogi cỡ lớn, v.v.","ดับเบิลฮันวูบูลโกกิเบอร์เกอร์ ฮอตคริสปี้เบอร์เกอร์ บิ๊กบูลโกกิเบอร์เกอร์ ฯลฯ","Двойной бургер с хану-пулькоги, Hot Crispy Burger, большой бургер с пулькоги и др.","Double Hanwoo Bulgogi Burger, Hot Crispy Burger, Big Bulgogi Burger, dll."
"23","제주국제공항=국내선=23","면세품인도장(제주관광공사)","Duty-Free Pickup Counter (Jeju Tourism Organization)","免税品受取カウンター（済州観光公社）","免税品提货处（济州观光公社）","Quầy nhận hàng miễn thuế (Tổ chức Du lịch Jeju)","เคาน์เตอร์รับสินค้าปลอดภาษี (องค์การการท่องเที่ยวเชจู)","Стойка выдачи товаров Duty Free (Туристическая организация Чеджу)","Konter Pengambilan Barang Bebas Bea (Organisasi Pariwisata Jeju)","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","2F 면세","2F Duty-Free Area","2階 免税エリア","2楼 免税区","Tầng 2 Khu miễn thuế","ชั้น 2 พื้นที่ปลอดภาษี","2-й этаж, зона Duty Free","Lantai 2 Area Bebas Bea","05:00 ~ 21:00","064-742-9419","면세품인도장(제주관광공사)","Duty-Free Pickup Counter (Jeju Tourism Organization)","免税品受取カウンター（済州観光公社）","免税品提货处（济州观光公社）","Quầy nhận hàng miễn thuế (Tổ chức Du lịch Jeju)","เคาน์เตอร์รับสินค้าปลอดภาษี (องค์การการท่องเที่ยวเชจู)","Стойка выдачи товаров Duty Free (Туристическая организация Чеджу)","Konter Pengambilan Barang Bebas Bea (Organisasi Pariwisata Jeju)"
"24","제주국제공항=국내선=24","미도인","Midoin","Midoin","Midoin","Midoin","Midoin","Midoin","Midoin","식당","Restaurant","レストラン","餐厅","Nhà hàng","ร้านอาหาร","Ресторан","Restoran","4F 일반","4F Public Area","4階 一般エリア","4楼 公共区域","Tầng 4 Khu công cộng","ชั้น 4 พื้นที่สาธารณะ","4-й этаж, общая зона","Lantai 4 Area Publik","08:00 ~ 20:00","064-711-1516","스테이크 덮밥, 대창 덮밥, 마제소바 등","Steak rice bowl, beef intestine rice bowl, mazesoba, etc.","ステーキ丼、牛大腸丼、まぜそばなど","牛排盖饭、牛大肠盖饭、拌荞麦面等","Cơm tô bít tết, cơm tô lòng bò, mazesoba, v.v.","ข้าวหน้าสเต๊ก ข้าวหน้าไส้วัว มาเซโซบะ ฯลฯ","Рис со стейком, рис с говяжьей кишкой, мазэсоба и др.","Rice bowl steak, rice bowl usus sapi, mazesoba, dll."
"25","제주국제공항=국내선=25","비즈니스 라운지","Business Lounge","ビジネスラウンジ","商务贵宾室","Phòng chờ thương gia","ห้องรับรองธุรกิจ","Бизнес-зал","Lounge Bisnis","라운지・휴식","Lounge·Rest","ラウンジ／休憩","贵宾室·休息","Phòng chờ·Nghỉ ngơi","เลานจ์·พักผ่อน","Лаунж·Отдых","Lounge·Istirahat","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","08:40 ~ 20:00","064-797-2334","다온회의실, 퐁낭회의실, 오픈라운지","Daon Meeting Room, Pongnang Meeting Room, Open Lounge","ダオン会議室、ポンナン会議室、オープンラウンジ","Daon会议室、Pongnang会议室、开放式休息区","Phòng họp Daon, phòng họp Pongnang, khu lounge mở","ห้องประชุม Daon ห้องประชุม Pongnang และโอเพนเลานจ์","Переговорная Daon, переговорная Pongnang, открытый лаунж","Ruang Rapat Daon, Ruang Rapat Pongnang, Open Lounge"
"26","제주국제공항=국내선=26","세븐일레븐","7-Eleven","7-Eleven","7-Eleven","7-Eleven","7-Eleven","7-Eleven","7-Eleven","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","2F 면세","2F Duty-Free Area","2階 免税エリア","2楼 免税区","Tầng 2 Khu miễn thuế","ชั้น 2 พื้นที่ปลอดภาษี","2-й этаж, зона Duty Free","Lantai 2 Area Bebas Bea","06:30 ~ 21:30","064-711-0293","편의품, 식료품 등","Convenience goods, groceries, etc.","日用品、食料品など","便利商品、食品等","Đồ tiện dụng, thực phẩm, v.v.","ของใช้จำเป็น อาหาร ฯลฯ","Товары повседневного спроса, продукты и др.","Barang kebutuhan sehari-hari, bahan makanan, dll."
"27","제주국제공항=국내선=27","시트리앙","Citriang","Citriang","Citriang","Citriang","Citriang","Citriang","Citriang","쇼핑","Shopping","ショッピング","购物","Mua sắm","ช้อปปิ้ง","Покупки","Belanja","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 20:30","064-747-7494","감귤류","Citrus fruits","柑橘類","柑橘类","Các loại cam quýt","ผลไม้ตระกูลส้ม","Цитрусовые","Buah sitrus"
"28","제주국제공항=국내선=28","아시아나항공","Asiana Airlines","Asiana Airlines","Asiana Airlines","Asiana Airlines","Asiana Airlines","Asiana Airlines","Asiana Airlines","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-743-2626","수하물 체크인","Baggage check-in","手荷物チェックイン","行李托运","Làm thủ tục hành lý","เช็กอินสัมภาระ","Регистрация багажа","Check-in bagasi"
"29","제주국제공항=국내선=29","아시아나항공(발권카운터)","Asiana Airlines (Ticketing Counter)","Asiana Airlines （発券カウンター）","Asiana Airlines （售票柜台）","Asiana Airlines (Quầy vé)","Asiana Airlines (เคาน์เตอร์ออกตั๋ว)","Asiana Airlines (Касса)","Asiana Airlines (Konter Tiket)","항공사","Airline","航空会社","航空公司","Hãng hàng không","สายการบิน","Авиакомпания","Maskapai penerbangan","3F 일반","3F Public Area","3階 一般エリア","3楼 公共区域","Tầng 3 Khu công cộng","ชั้น 3 พื้นที่สาธารณะ","3-й этаж, общая зона","Lantai 3 Area Publik","06:00 ~ 23:00","064-743-2626","항공권 구매","Air ticket purchase","航空券購入","购买机票","Mua vé máy bay","ซื้อตั๋วเครื่องบิน","Покупка авиабилетов","Pembelian tiket pesawat"
