"운영팀> 1번 모니터> AI모델 영상 자막 + 우측상단 표기  NO","Key","VideoFileName","KR","EN","JP","CN","우측상단 서브타이틀 KR","EN","JP","CN","재생조건 재생조건(Condition)","Description","넘버링 NO"
"11","Search","M=Hanbok05=22-1-11=2-V5-Fin-D","인사동엔 예쁜 장소가 많아요. 인사가 빠르게 찾아드릴게요!
아래 키보드로 상점명을 천천히 정확히 입력해 주세요.","Insadong is full of hidden gems. Type the store name below, and I’ll help you find it fast—let’s explore!","インサドンには素敵な場所がいっぱい。
下のキーボードでお店を検索できます。","仁寺洞有超多美景，我可以帮你快速找到！一起去探索吧！
请用下方键盘输入店名，我来帮你找～输入时请注意拼写哦！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 서치선택","",""
"12","Search_Enter","M=Hanbok05=22-2-11=3-V5-Fin-D","매장을 클릭하시면 더욱더 상세한 정보를 얻을 수 있어요","Tap for more details and directions","店舗をクリックすると、
さらに詳しい情報をご覧いただけます。","点击查看详细信息和导航路线。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 서치선택 -> 검색후 엔터 ","",""
"13","Search_Detail","M=Hanbok05=22-4-11=1-V5-Fin-D","핸드폰으로 [QR] 코드를 찍으시면 길을 안내 받으실수 있어요.","Scan the [QR] code with your phone to receive detailed directions","スマートフォンで［QR］コードを読み取れば、
道案内も受けられますよ。","用手机扫描 [QR] 码即可获取详细路线指引。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 서치선택 -> 검색후 엔터 -> 상세검색","",""
"14","ChangeLanguage_KR","M=7.1-02=hanbok01=1-V4_fin","WIT AI SMART KIOSK는 다국어를 지원합니다. 
지금부터 한국어로 키오스크를 이용해보세요 ","WIT AI SMART KIOSK supports multiple languages.
Please start using the kiosk in Korean now
","WIT AI SMART KIOSKは多言語に対応しています。
これから日本語でキオスクをお使いください","WIT AI SMART KIOSK支持多种语言。
现在开始请用韩语使用自助终端
","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면 -> 언어선택 -> 한국어 ","",""
"15","ChangeLanguage_EN","M=O-L-Us=25-13=3-V4-Fin_D","WIT AI SMART KIOSK는 다국어를 지원합니다. 
지금부터 영어로 키오스크를 이용해보세요 ","WIT AI SMART KIOSK supports multiple languages.
Please start using the kiosk in English now","WIT AI SMART KIOSKは多言語に対応しています。
これから英語でキオスクをお使いください","WIT AI SMART KIOSK支持多种语言。
现在开始请用英语使用自助终端","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 언어선택 -> 영어 ","",""
"16","ChangeLanguage_JP","M=O-L-Jp=26-15=2-V4-Fin+D","WIT AI SMART KIOSK는 다국어를 지원합니다. 
지금부터 일본어로 키오스크를 이용해보세요 ","WIT AI SMART KIOSK supports multiple languages.
Please start using the kiosk in Japanese now","WIT AI SMART KIOSKは多言語に対応しています。
これから日本語でキオスクをお使いください","WIT AI SMART KIOSK支持多种语言。
现在开始请用日语使用自助终端","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 언어선택 -> 일어 ","",""
"17","ChangeLanguage_CH","M=O-L-cn=27-14=2-V4-Fin_D","WIT AI SMART KIOSK는 다국어를 지원합니다. 
지금부터 중국어로 키오스크를 이용해보세요 ","WIT AI SMART KIOSK supports multiple languages.
Please start using the kiosk in Chinese now","WIT AI SMART KIOSKは多言語に対応しています。
これから中国語でキオスクをお使いください","WIT AI SMART KIOSK支持多种语言。
现在开始请用中文使用自助终端","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 언어선택- 중국어 ","",""
"18","AISearch","M=Hanbok05=6-1C-11=2-V5-Fin-D","안녕하세요. ‘인사’ 예요. 몇시간 계실건지, 몇명이 오셨는지 알려주시면 
AI가 추천코스를 알려드릴게요.","Are you visiting with family, friends? Let me know how many are in your group, and I’ll suggest an itinerary!

","こんにちは。「インサ」です。滞在時間、人数を教えていただければ、AIがおすすめのコースをご案内します。","和家人朋友一起来了吗？告诉我人数，我帮你安排精彩路线！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> AI검색 버튼(뭐하지) ","",""
"19","AISearch_Category","M=Hanbok05=6-2C-11=1-V5-Fin-D","A, B, C코스가 추천으로 나왔을거에요 
원하시는 코스를 선택하시면 매장별로 보실 수 있어요 ","How many people are in your group, how much time will 
you be spending? What would you like to do here?
","A、B、Cコースがおすすめとして表示されていると思います。
ご希望のコースを選んで店舗ごとの情報をご覧いただけます。

","你们几个人？计划在仁寺洞停留多久？想吃喝玩乐还是逛画廊？
点击查看详细信息和路线指引","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> AI검색 버튼(뭐하지)  -> 카테고리 선택 -= 결과에서 A,B,C 선택 ","",""
"20","AISearch_Detail","M=Hanbok05=6-3C-11=2-V5-Fin-D","핸드폰으로 [QR] 코드를 찍으시면 길을 안내 받으실수 있어요.","Scan the [QR] code with your phone to 
receive detailed directions
","スマートフォンで［QR］コードを読み取れば、
道案内も受けられますよ。","用手机扫码，获取详细路线和指引","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> AI검색 버튼(뭐하지) -> 카테고리 선택 -= 결과에서 A,B,C 선택 -> 상세검색 ","",""
"21","Event","M=hanbok01=6.1-02=4-V4-fin","인사동에서 진행 중이거나 곧 열릴 이벤트를 확인해 보세요! 
특별 할인과 특별한 경험을 놓치지 마세요!
","Discover Insadong's festivals and events! Join us for culture, fun, and unforgettable experiences!","インサドンで現在開催中、またはもうすぐ始まるイベントをチェックしてみてください！特別な割引やユニークな体験をお見逃しなく！","关注仁寺洞的精彩活动和优惠，别错过特别体验等你来发现！","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면 -> 인사동 이벤트","",""
"22","ToEvent_Category","M=hanbok01=6.2-02=3-V4-fin","인사동에서 열리는 축제와 특별한 이벤트를 만나보세요! 
문화 축제, 독특한 활동, 그리고 잊지 못할 경험에 함께하세요!","Discover festivals and special events in Insadong!
Join us for cultural celebrations, unique activities, and unforgettable experiences!","インサドンの祭りやイベントに参加しよう！文化や楽しい体験があなたを待っています！

","探索仁寺洞的节庆活动，文化盛宴与独特体验，邀你一起共庆！","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면 -> 인사동 이벤트 -> 카테고리선택","",""
"23","ToEat","M=Hanbok03=17.1-08=1-V11-Fin-D","인사동엔 유명한 맛집과 찻집이 정말 많이 있어요. 
방문하고 싶은 카테고리를 선택해주세요. ","Insadong is packed with famous restaurants 
and cozy tea houses—there’s something for everyone!","インサドンには有名な飲食店や落ち着いた茶屋がたくさん。誰でも楽しめる場所です！","仁寺洞美食多，從名店到舒適茶館，總有一款適合你！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 뭐먹지 버튼","",""
"24","ToEat_Category","M=Hanbok03=17.2-08=2-V11-Fin-D","인사동에는 다양한 한식 맛집이 가득해요.
매장을 클릭하면 더 자세한 정보를 확인할 수 있어요.","From traditional meals to street snacks like tteokbokki, don’t miss the local drinks too! Tap a store for more info.","何を買うか迷ったら？インサおすすめをチェックして楽しいショッピングを！詳しくはお店をタップしてね。 ","傳統韓食到辣炒年糕，還有地道酒飲，別錯過喔！
點店家看更多資訊。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 뭐먹지 버튼 -> 카테고리선택","",""
"25","ToEat_Detail","M=Hanbok03=17.3-08=1-V11-Fin-D","핸드폰으로 [QR] 코드를 찍으시면 길을 안내 받으실수 있어요.","Scan the QR code with your phone for 
easy directions to get there.","スマホでQRコードを読み取ると目的地までの道順が表示されます","用手機掃描QR碼，輕鬆獲取路線指引，快速到達目的地。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 뭐먹지 버튼 -> 카테고리선택 -> 상세검색","",""
"26","ToBuy","M=Hanbok05=30-1C-11=2-V5-Fin-D","즐거운 추억이 될 쇼핑 아이템들을 찾으시나요?
인사동에는 다양한 전통문화 상점들이 있어요","Looking for fun keepsakes? Insadong has a variety of traditional shops waiting for you!
","お土産探しならインサドン！
伝統雑貨や工芸品など魅力的なお店が勢ぞろい！","想找有趣的紀念品嗎？仁寺洞有各式傳統店鋪，等你來逛逛喔！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 뭐사지 버튼","",""
"27","ToBuy_Category","M=Hanbok05=30-2C-11=1-V5-Fin-D","무엇을 살지 고민되시나요?  추천하는 카테고리를 참고해보세요!
즐거운 인사동 쇼핑, 매장을 클릭하면 자세한 정보를 볼 수 있어요.","Not sure what to buy? Check out my picks and enjoy shopping in Insadong! Tap a store to see more details.","何を買うか迷ったら？おすすめ商品をチェックしてインサドンでの買い物を楽しんで！
詳しくはお店をタップしてください","不知道買什麼好？看看我的推薦，開心逛仁寺洞吧！
點店家看更多詳情。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 뭐사지 버튼 -> 카테고리선택","",""
"28","ToBuy_Detail","M=Hanbok05=30-3C-11=1-V5-Fin-D","핸드폰으로 [QR] 코드를 찍으시면 길을 안내 받으실수 있어요.","Scan the QR code with your phone for 
easy directions to get there.","QRコードをスマホで読み取ると目的地までの行き方が表示されます","用手機掃描QR碼，輕鬆獲取到店路線指引。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 뭐사지 버튼 -> 카테고리선택 -> 상세검색","",""
"29","ToGallery","M=hanbok01=6.1-02=4-V4-fin","인사동에는 다양하고 많은 미술관들이 있어요 
매주 다양한 전시와 행사가 있으니 방문해보는건 어떨까요?","Tap to explore antiques, crafts, galleries, and historic spots—click a shop for more details!","インサドンには非常に多くのギャラリーがあります。多くの作品を鑑賞し、購入もできるので、見て回ってはいかがでしょうか？","仁寺洞有许多特色美术馆，每周都有精彩展览和活动，不如来逛逛吧？","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면 -> 인사동 미술관","",""
"30","ToGallery_Category","M=hanbok01=6.2-02=3-V4-fin","고미술, 고미술, 표구, 전시관, 역사유적지등을 클릭해 방문해보세요
매장을 클릭하시면 더욱 상세한 정보를 얻을 수 있어요","Tap to explore antiques, crafts, galleries, 
and historic spots—click a shop for more details!","ギャラリーをクリックするとギャラリーの紹介と行き方をお知らせします。","点击查看古美术、工艺、裱画、展馆和历史遗址，点击商铺可获取详细信息！","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면 -> 인사동 미술관-> 카테고리선택","",""
"31","ToGallery_Detail","M=hanbok01=6.3-02=1-V4-fin","인사'가 찾아드리는 모든 미술관들은
핸드폰으로 [QR] 코드를 찍으시면 길을 안내 받으실수 있어요.","For any gallery just scan the [QR] code 
with your phone to get directions!","携帯電話で[QR] コードを撮影すると道案内が受けられます。","Insa推荐的所有美术馆，用手机扫[QR]码即可获取导航！","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면 -> 인사동 미술관 -> 카테고리선택 -> 상세검색","",""
"32","TaxFree","M=Hanbok03=18.1-08=1-V11-Fin-D","택스 리펀드 서비스에 오신 것을 환영합니다. 
진행을 위해 택스 리펀드 영수증을 꼭 지참해 주세요.","Welcome to tax refund! Please have your refund 
receipt ready. Follow the screen instructions carefully.","タックスリファンドサービスへようこそ。
手続きを進めるために、必ずタックスリファンドの領収書をご持参ください","歡迎使用退稅服務！請準備好退稅收據，依螢幕指示操作。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 텍스프리 ","",""
"33","TaxFree","M=Hanbok03=18.2-08=7-V11-Fin-D","화면에 설명대로 진행해주세요. 택스 리펀드 영수증 번호를 입력하거나 바코드 스캐너를 사용하여 스캔하세요","Follow the on-screen instructions. 
Enter your refund receipt number or scan the barcode.","画面の指示に従ってください。
タックスリファンドの領収書番号を入力するか、バーコードスキャナーでスキャンしてください","按照畫面提示，輸入退稅收據號碼或掃描條碼完成操作。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 텍스프리 -> 테스리펀드시작","",""
"34","TaxFree","M=Hanbok03=18.3-08=3-V11-Fin-D","영수증이 성공적으로 처리되었습니다! 
공항에서 세관 등록을 하면 신용카드로 택스가 리펀드됩니다. ","Receipt processed successfully! Complete customs 
at the airport, and your refund will be credited","領収書が正常に処理されました！
空港で税関登録を行うと、クレジットカードにタックスリファンドが返金されます","收據已成功處理！在機場完成海關登記，退稅金將刷回信用卡。","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 텍스프리 -> 테스리펀드시작 -> 완료 ","",""
"35","TaxFree","M=Hanbok03=18.1-08=1-V11-Fin-D","지금 키오스크에서 면세로 등록하세요. 시간을 절약하고 나중에 더욱 편리한 공항 이용을 즐겨보세요.
","Register tax-free at our kiosk now—save time and enjoy a smoother airport experience later.","今すぐキオスクで免税登録をしてください。
時間を節約し、後でより便利な空港利用をお楽しみください","现在在我们自助机办理免税登记，节省时间，轻松享受顺畅的机场体验！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 텍스프리 -> 텍스프리 가맹점 문의 ","",""
"36","Here","M=Hanbok02=12.1-05=5-V11-Fin-D","대한민국의 전통이 살아 숨쉬는 인사동에 오신걸 환영합니다. 
인사동에는 다양한 한국의 전통을 느낄 수 있는 매장들이 많아요 ","Welcome to Insadong — where Korea’s traditions come alive! Explore shops & restaurants full of authentic culture.","韓国の伝統が息づくインサドンへようこそ。文化あふれるお店やレストランを楽しもう！
","欢迎来到仁寺洞，这里传承着韩国的传统文化。这里有许多感受韩国传统的店铺！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 여기는 인사동 1","",""
"37","Here","M=Hanbok02=12.2-05=1-V11-Fin-D","WIT AI SMART KIOSK를 통해 다양한 정보를 경험하시고 
한복착장을 통해 잼있는 한국의 전통체험도 경험해보세요  ","Explore a variety of info with WIT AI SMART KIOSK, and enjoy fun Korean tradition by trying on hanbok!","WIT AIスマートキオスクで情報をチェック！韓服体験で楽しい伝統文化にもふれてみて！","通过WIT AI智能自助机获取丰富信息，还能试穿韩服，体验有趣的韩国传统！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 여기는 인사동 2","",""
"38","Here","M=Hanbok02=12.3-05=2-V11-Fin-D","핸드폰으로 [QR] 코드를 통해 길 안내를 받을 수 있고 
한복 착장의 결과물을 핸드폰에 저장할 수 있어요 ","Scan the [QR] code with your phone for directions, and save your hanbok photo right to your device!","QRコードをスマホで読み取り道順を確認。韓服写真は端末に保存できます！","用手机扫码获取路线指引，还能把韩服照片保存到手机里！","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","기본화면 -> 여기는 인사동 3","",""
"39","Greeting","M=hanbok01=7.1-02=1-V4-fin","안녕하세요! 인사동의 마스코트 ‘인사’예요. 저는 21살 MZ세대 대학생이고, K-POP, 반려동물, 맛집 탐방을 좋아해요.","Hi! I'm Insa, Insadong's mascot. I'm 21, love K-pop, pets, photos, and exploring tasty spots with friends!","こんにちは！インサドンのマスコット「インサ」です。21歳のMZ世代で、K-POPやペット、美味しいお店巡りが大好きです。","你好，我是仁寺洞的吉祥物仁沙！我是21岁的MZ世代大学生，喜欢K-pop、宠物和挖掘好吃的店。","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면 -> 안녕인사_1","",""
"40","Greeting","M=hanbok01=7.2-02=1-V4-fin","‘인사동에 대해서 궁금하신 것은 무엇이든 물어보세요.
인사동의 다양한 전통문화와 미션들을 알려드릴께요.","If you're ever curious about Insadong or anything else, feel free to ask me!","インサドンで気になることがあれば、なんでも聞いてね！伝統文化やおすすめスポットを楽しく紹介するよ。","如果你对仁寺洞或其他任何事感到好奇，随时可以来问我哦！","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","Insa-dong Ambassador NO.1 ""INSA""","기본화면 -> 안녕인사 -> 카테고리 선택","",""
"41","Greeting_Hobby","1.1.v2Swapped=4=ok","인사는 K-POP 노래와 춤을 연습해요 
그리고 요즘에는 테니스와 골프도 배우고 있어요 ","Insa practices K-POP singing and dancing.
Lately, she's also learning tennis and golf!","インサはK-POPの歌とダンスを練習しています。
最近はテニスとゴルフも習っています！","Insa正在练习K-POP歌曲和舞蹈，
最近还在学习网球和高尔夫！","인사동 앰버서더 NO.1 ""인사""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","","",""
"42","Greeting_Stretching","M=O-Insa=10-1A-04A(Fw)=2-V2-Fin_D","인사동은 즐거우신가요? 저를 따라서 스트레칭 어떠신가요? 
스트레칭한번하고 다시 즐거운 여정을 떠나보세요 ","Enjoying Insa-dong? Let’s stretch together, 
then continue your fun journey!","インサドンは楽しいですか？
一緒にストレッチして、また楽しみましょう！

","在仁寺洞玩得开心吗？
跟我一起伸展一下，然后继续愉快的旅程吧！

","인사동 앰버서더 NO.2 ""인정""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","Insa-dong Ambassador NO.2 ""INJUNG""","","",""
