"넘버링운영팀> 1번 모니터> AI모델 영상 자막 + 우측상단 표기 ","","","","","언어","","","","언어","","","","우측상단 서브타이틀","","","","우측상단 서브타이틀","","","","재생조건","설명","","",""
"01","Default-3","GYULI=Default-3","","","찾고 싶은 맛집, 명소, 상점을 바로 검색해 보세요
검색바를 누르면 키보드가 나와요. 시작해볼까요?","Search for restaurants, sights and shops right here.
Tap the search bar to open the keyboard. Let's go!","グルメ・観光地・お店をすぐ検索できます。
検索バーを押すとキーボードが出ます。始めましょう！","美食、景点、商店，都能马上搜索。
点击搜索栏就会弹出键盘，开始吧！","Tìm ngay quán ăn, điểm tham quan và cửa hàng bạn muốn.
Chạm vào thanh tìm kiếm để mở bàn phím nhé!","Cari restoran, tempat wisata, dan toko di sini.
Ketuk kolom pencarian untuk membuka keyboard, yuk!","ค้นหาร้านอาหาร ที่เที่ยว และร้านค้าได้ทันทีค่ะ
แตะช่องค้นหาแล้วคีย์บอร์ดจะปรากฏขึ้น เริ่มกันเลย!","Ищите рестораны, места и магазины здесь.
Нажмите на строку поиска — появится клавиатура!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면_3 (검색 소개)","[키: Default] 대기 화면에서 10편 순서대로 순환 재생. 의상 S-02. 검색 기능 유도 — 대기 3번.","","",""
"01","Default-4","GYULI=Default-4","","","안녕하세요 '귤이'에요~ 제주에 오신 걸 환영합니다
8개 언어를 선택해서 편하게 이용하세요","Hi, I'm Gyuli! Welcome to Jeju.
Choose from 8 languages and enjoy!","こんにちは、ギュリです〜 済州へようこそ！
8つの言語から選んで快適にご利用ください。","大家好，我是Gyuli~欢迎来到济州！
可选择8种语言，轻松使用。","Xin chào, mình là Gyuli~ Chào mừng đến Jeju!
Chọn 1 trong 8 ngôn ngữ để dùng thật tiện nhé.","Halo, aku Gyuli~ Selamat datang di Jeju!
Pilih dari 8 bahasa dan gunakan dengan nyaman.","สวัสดีค่ะ กยูรีค่ะ~ ยินดีต้อนรับสู่เชจู!
เลือกได้ถึง 8 ภาษา ใช้งานได้สบายๆ เลยค่ะ","Привет, я Gyuli! Добро пожаловать на Чеджу.
Выберите один из 8 языков!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면_4 (8개 언어 안내)","[키: Default] 대기 화면에서 10편 순서대로 순환 재생. 의상 H-12. 다국어 안내 — 대기 4번.","","",""
"01","Default-5","GYULI=Default-5","","","제주 바다의 주인공, 해녀를 아시나요?
물질 옷을 입은 귤이가 바다 이야기를 들려드릴게요~","Have you heard of the haenyeo, Jeju's sea divers?
In my diving suit, I'll share their story!","済州の海の主役「海女(ヘニョ)」をご存じですか？
海女服姿のギュリが海の話をお届けします〜","您听说过济州海女吗？
穿上潜水服的Gyuli为您讲述大海的故事~","Bạn đã biết về haenyeo — nữ thợ lặn Jeju chưa?
Gyuli trong đồ lặn sẽ kể chuyện biển cho bạn~","Sudah tahu haenyeo, penyelam wanita Jeju?
Dengan baju selam, aku akan bercerita tentang laut!","รู้จัก 'แฮนยอ' นักดำน้ำหญิงแห่งเชจูไหมคะ?
กยูรีในชุดดำน้ำจะเล่าเรื่องท้องทะเลให้ฟังค่ะ~","Знаете хэнё — ныряльщиц Чеджу?
В костюме хэнё я расскажу вам о море!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면_5 (해녀)","[키: Default] 대기 화면에서 10편 순서대로 순환 재생. 해녀 의상 신규 촬영분. 제주 해녀 문화 소개 — 대기 5번.","","",""
"01","Default-6","GYULI=Default-6","","","말의 고장 제주! 승마 체험은 어떠세요?
승마 복장을 입은 귤이가 안내해드릴게요~","Jeju is famous for its horses! How about a ride?
In my riding outfit, I'll show you around~","馬のふるさと済州！乗馬体験はいかがですか？
乗馬服姿のギュリがご案内します〜","济州是马的故乡！要不要体验骑马？
穿骑马装的Gyuli为您介绍~","Jeju — xứ sở của ngựa! Thử cưỡi ngựa nhé?
Gyuli trong trang phục cưỡi ngựa sẽ hướng dẫn bạn~","Jeju terkenal dengan kudanya! Mau coba berkuda?
Aku siap memandu dengan busana berkuda ini~","เชจูดินแดนแห่งม้า! ลองขี่ม้าดูไหมคะ?
กยูรีในชุดขี่ม้าจะพาไปแนะนำค่ะ~","Чеджу — край лошадей! Хотите покататься?
Я в костюме наездницы всё покажу!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면_6 (승마)","[키: Default] 대기 화면에서 10편 순서대로 순환 재생. 승마 복장 신규 촬영분. 승마 체험 소개 — 대기 6번.","","",""
"01","Default-7","GYULI=Default-7","","","제주 기념품과 특별한 상점들을 소개해드릴게요!
'제주 뭐사지'에서 쇼핑 정보를 확인하세요","Let me show you Jeju's souvenirs and special shops!
Check 'What to Buy' for shopping tips.","済州のお土産と素敵なお店をご紹介します！
「済州 何買う？」でショッピング情報をチェック！","为您介绍济州纪念品和特色商店！
请在“济州买什么”查看购物信息。","Để mình giới thiệu quà lưu niệm và cửa hàng đặc biệt!
Xem mục 'Mua gì ở Jeju' để biết thêm nhé.","Kukenalkan suvenir dan toko unik di Jeju!
Cek info belanja di menu 'Beli Apa di Jeju'.","ขอแนะนำของฝากและร้านค้าพิเศษของเชจูค่ะ!
ดูข้อมูลช้อปปิงได้ที่เมนู 'ซื้ออะไรดีที่เชจู'","Покажу сувениры и особые магазины Чеджу!
Смотрите раздел «Что купить».","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면_7 (쇼핑 안내)","[키: Default] 대기 화면에서 10편 순서대로 순환 재생. 의상 S-09. 상점·시설 안내 유도 — 대기 7번.","","",""
"01","Default-8","GYULI=Default-8","","","새콤달콤 제주 감귤, 생각만 해도 기분이 좋아요~
제주에 왔다면 감귤 간식은 꼭 맛보세요!","Sweet, tangy Jeju tangerines make me smile!
Don't leave without trying a tangerine treat!","甘酸っぱい済州みかん、想像だけで幸せ〜
済州に来たら、みかんスイーツをぜひ味わって！","酸酸甜甜的济州柑橘，想想就开心~
来济州一定要尝尝柑橘小吃哦！","Quýt Jeju chua ngọt, nghĩ thôi đã thấy vui rồi~
Đến Jeju nhớ thử món quýt đặc sản nhé!","Jeruk Jeju yang manis asam, membayangkannya saja senang~
Jangan lupa cicipi camilan jeruknya!","ส้มเชจูหวานอมเปรี้ยว แค่คิดก็ฟินแล้ว~
มาเชจูทั้งทีต้องลองขนมจากส้มให้ได้นะคะ!","Кисло-сладкие мандарины Чеджу — объедение!
Обязательно попробуйте мандариновые сладости!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면_8 (감귤)","[키: Default] 대기 화면에서 10편 순서대로 순환 재생. 귤 버킷햇 의상. 동작: 모자챙 톡톡 → 두 손으로 귤 모양을 만들어 내밀기 → 배 두드리며 '맛있다' → 따봉.","","",""
"01","Default-9","GYULI=Default-9","","","에메랄드빛 제주 바다, 상상만 해도 시원하죠?
귤이가 예쁜 해변으로 안내해드릴게요~","Jeju's emerald sea — refreshing just to imagine!
Let me guide you to the prettiest beaches~","エメラルド色の済州の海、想像するだけで爽やか！
ギュリがきれいなビーチへご案内します〜","翡翠色的济州大海，想想就清爽~
Gyuli带您去美丽的海滩！","Biển Jeju xanh ngọc, nghĩ thôi đã thấy mát!
Gyuli sẽ dẫn bạn đến những bãi biển thật đẹp~","Laut Jeju yang hijau zamrud, sejuk membayangkannya!
Aku antar ke pantai-pantai cantiknya, yuk~","ทะเลสีมรกตของเชจู แค่นึกภาพก็สดชื่นแล้ว!
กยูรีจะพาไปหาดสวยๆ เองค่ะ~","Изумрудное море Чеджу — свежесть сама!
Покажу вам самые красивые пляжи!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면_9 (해변)","[키: Default] 대기 화면에서 10편 순서대로 순환 재생. 해변 콘셉트 의상. 제주 바다 소개 — 대기 9번.","","",""
"01","Default-10","GYULI=Default-10","","","레트로 감성 가득한 제주 여행 사진 어때요?
촬영 버튼을 눌러 특별한 사진을 남겨보세요!","How about a retro-style Jeju travel photo?
Tap the camera button for a special shot!","レトロ感たっぷりの済州旅行写真はいかが？
撮影ボタンを押して特別な一枚を残しましょう！","来一张复古风的济州旅行照怎么样？
按下拍照按钮，留下特别的纪念吧！","Một tấm ảnh Jeju phong cách retro thì sao nhỉ?
Nhấn nút chụp để lưu lại khoảnh khắc đặc biệt!","Bagaimana dengan foto Jeju bergaya retro?
Tekan tombol kamera dan abadikan momen spesialmu!","ถ่ายรูปทริปเชจูสไตล์เรโทรสักใบไหมคะ?
กดปุ่มถ่ายรูปเก็บภาพสุดพิเศษได้เลยค่ะ!","Как насчёт ретро-фото из поездки?
Нажмите кнопку съёмки — и снимок готов!","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면_10 (레트로)","[키: Default] 대기 화면에서 10편 순서대로 순환 재생. 레트로 콘셉트 의상. AR 촬영 유도 — 대기 10번.","","",""
"02","Search","GYULI=Search-1","","","제주엔 예쁜 장소가 많아요. 귤이가 빠르게 찾아드릴게요!
아래 키보드로 상점명을 천천히 정확히 입력해 주세요.","Jeju is full of lovely places — I'll find them fast!
Type the shop name slowly and correctly below.","済州には素敵な場所がいっぱい。すぐお探しします！
下のキーボードで店名をゆっくり正確に入力してください。","济州有很多美丽的地方，Gyuli帮您快速找到！
请用下方键盘慢慢准确输入店名。","Jeju có rất nhiều nơi xinh đẹp, để Gyuli tìm giúp!
Hãy nhập tên cửa hàng bằng bàn phím bên dưới nhé.","Jeju penuh tempat indah — aku carikan dengan cepat!
Ketik nama toko pelan-pelan dengan keyboard di bawah.","เชจูมีที่สวยๆ เยอะมาก กยูรีหาให้ไวเลยค่ะ!
พิมพ์ชื่อร้านช้าๆ ให้ถูกต้องด้วยคีย์บอร์ดด้านล่างนะคะ","На Чеджу много чудесных мест — я их найду!
Введите название магазина на клавиатуре ниже.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> 검색창 터치","[키: Search] 검색 진입 시 재생.","","",""
"02","Search_Enter","GYULI=Search-2","","","매장을 클릭하시면 더욱더 상세한 정보를 얻을 수 있어요","Tap a store to see more detailed information.","お店をタップすると、より詳しい情報が見られます。","点击店铺即可查看更详细的信息。","Chạm vào cửa hàng để xem thông tin chi tiết hơn.","Ketuk toko untuk melihat info yang lebih lengkap.","แตะที่ร้านค้าเพื่อดูข้อมูลโดยละเอียดค่ะ","Нажмите на магазин — увидите подробности.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","검색창 -> 검색어 입력 후 엔터","[키: Search_Enter] 결과 목록이 뜬 상태에서 재생. 기존 문구 그대로.","","",""
"02","Search_Detail","GYULI=Search-3","","","핸드폰으로 [QR] 코드를 찍으시면 길을 안내 받으실수 있어요.","Scan the [QR] code with your phone to get directions.","スマホで[QR]コードを読み取ると道案内が受けられます。","用手机扫描[QR]码即可获得路线指引。","Quét mã [QR] bằng điện thoại để được chỉ đường.","Pindai kode [QR] dengan ponsel untuk panduan arah.","สแกนโค้ด [QR] ด้วยมือถือเพื่อรับการนำทางค่ะ","Отсканируйте [QR]-код телефоном — получите маршрут.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","검색 결과 -> 매장 선택 (상세)","[키: Search_Detail] 상세 화면에서 재생. QR 길안내 상용구.","","",""
"03","ChangeLanguage_KR","GYULI=Language-KR","","","WIT AI SMART KIOSK는 다국어를 지원합니다. 
지금부터 한국어로 키오스크를 이용해보세요","WIT AI SMART KIOSK supports multiple languages.
Use the kiosk in Korean from now on.","WIT AI SMART KIOSKは多言語に対応しています。
これから韓国語でご利用ください。","WIT AI SMART KIOSK支持多种语言。
现在开始请用韩语使用自助机。","WIT AI SMART KIOSK hỗ trợ nhiều ngôn ngữ.
Hãy dùng kiosk bằng tiếng Hàn nhé.","WIT AI SMART KIOSK mendukung banyak bahasa.
Gunakan kiosk dalam bahasa Korea mulai sekarang.","WIT AI SMART KIOSK รองรับหลายภาษา
ใช้งานคีออสก์เป็นภาษาเกาหลีได้เลยค่ะ","WIT AI SMART KIOSK поддерживает много языков.
Пользуйтесь киоском на корейском.","제주 앰버서더 ""귤이""","Jeju Ambassador ""Gyuli""","済州アンバサダー「ギュリ」","济州大使 ""Gyuli""","Đại sứ Jeju ""Gyuli""","Duta Jeju ""Gyuli""","แอมบาสเดอร์เชจู ""Gyuli""","Посол Чеджу ""Gyuli""","기본화면 -> 언어선택 -> 한국어","[키: ChangeLanguage_KR] 한국어 선택 직후 1회 재생. 기존 문구 그대로.","","",""
