"넘버링운영팀> 1번 모니터> AI모델 영상 자막 + 우측상단 표기 ","","","언어","","","","우측상단 서브타이틀","","","","재생조건","설명","넘버링"
"10","Default","Hue-A)M10-1=V1=W-01=01=Fin_down_live","화장실과 흡연실, 주유소가 준비되어 있습니다. 
편안한 여행을 위해 자유롭게 이용하세요.","Restrooms, smoking area, gas station are here. 
Please use our facilities for your convenience.","お手洗い、喫煙所、ガソリンスタンドを完備しています。 
快適な旅のために、ご自由にご利用ください。","这里设有卫生间、吸烟区和加油站。 
请您方便地使用各项便利设施。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면_10(오색시장)","","0=idel-10"
"11","Barrier-free","M78-1=V1=W-09=01=Fin=down","휠체어 사용자를 위한 전용 버튼을 제공합니다.
청각장애인을 위한 자막 기능도 지원합니다.","Use the button designed for wheelchair users.
Subtitles are available for the hearing impaired.","車いすの方専用のボタンをご用意しました。
聴覚障がい者向けの字幕機能も対応しています。","设有轮椅使用者专用的操作按钮。
同时支持听障人士所需的字幕功能。","","","","","","","0=idel-11"
"12","Search","Hue-A)M11-1=V1=W-05=02=Fin=down_live","화성휴게소 안에는 다양한 먹거리와 상품들이 있어요 
쇼핑몰도 있고 편의점도 있으니 편하게 이용하세요 ","I'm HUE! Welcome to Hwaseong Rest Area. 
Enjoy our food, mall, and convenience store!","華城SAへようこそ！モールやコンビニ、美味しいグルメを完備しています。ごゆっくりどうぞ！","我是吉祥物HUE。欢迎光临华城服务区！
这里有购物中心、便利店和各类美食，请尽情享受。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 서치선택","","아이콘02=서칭-1"
"13","Search_Enter","Hue-A)M12-1=V1=W-05=02=Fin=down_live","매장을 클릭하시면 더욱더 상세한 정보를 얻을 수 있어요
매장의 사진, 정보, 오픈시간을 확인해보세요","Click a store to get more details.
Check out the store’s photos, info, opening hours.","店舗をクリックすると、
さらに詳しい情報をご覧いただけます。
","点击商店即可获取更详细的信息。
查看商店的照片、信息和营业时间吧。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 서치선택 -> 검색후 엔터 ","","아이콘02=서칭-2"
"14","Search_Detail","Hue-A)M13-1=V1=W-05=01=Fin=down_live","핸드폰으로 카메라를 열어서 [QR] 코드를 찍으시면 
방문장소의 길을 안내 받으실수 있어요","Scan the [QR] code with your mobile. 
Navigation will guide you to the spot.","スマートフォンで  [QR] コードをスキャン。 
ナビが目的地までご案内します。","用手机打开相机扫描\[QR]码，
即可获得前往目的地的路线指引。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 서치선택 -> 검색후 엔터 -> 상세검색","","아이콘02=서칭-3"
"15","ChangeLanguage_KR","Hue-A)M14-1=V1=H-13=01=Fin=down_live","4개 언어(한국어, 영어, 일본어, 중국어) 지원! 
누구나 편리하게 이용할 수 있어요.","support Korean, English, Japanese, and Chinese.
Everyone can use the service easily.","4ヶ国語（韓・英・日・中）に対応しています。
どなたでも便利にご利用いただけます。","支持韩、英、日、中四种语言。
任何人都能方便快捷地使用。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 언어선택 -> 한국어 ","","아이콘03=언어선택-1"
"16","ChangeLanguage_EN","Hue-A)M15-1=V1=C-03=02=Fin=down_live","WIT AI SMART KIOSK는 다국어를 지원합니다. 
지금부터 '영어'로 키오스크를 이용해보세요 ","WIT AI SMART KIOSK is multilingual.
Try using the kiosk in English now.","WIT AI SMART KIOSKは多言語対応です。
これより「英語」モードでご利用ください。","WIT AI SMART KIOSK支持多国语言。
现在请尝试使用英语模式操作。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 언어선택 -> 영어 ","","아이콘03=언어선택-2"
"17","ChangeLanguage_JP","Hue-A)M16-1=V1=C-02=02=Fin=down_live","WIT AI SMART KIOSK는 다국어를 지원합니다. 
지금부터 '일본어'로 키오스크를 이용해보세요 ","WIT AI SMART KIOSK is multilingual.
Try using the kiosk in Japanese now.","WIT AI SMART KIOSKは多言語対応です。
これより「日本語」モードでご利用ください。","WIT AI SMART KIOSK支持多国语言。
现在请尝试使用日语模式操作。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 언어선택 -> 일어 ","","아이콘03=언어선택-3"
"18","ChangeLanguage_CH","Hue-A)M17-1=V1=C-01=01=Fin=down_live","WIT AI SMART KIOSK는 다국어를 지원합니다. 
지금부터 '중국어'로 키오스크를 이용해보세요 ","WIT AI SMART KIOSK is multilingual.
Try using the kiosk in Chinese now.","WIT AI SMART KIOSKは多言語対応です。
これより「中国語」モードでご利用ください。","WIT AI SMART KIOSK支持多国语言。
现在请尝试使用中文模式操作。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 언어선택- 중국어 ","","아이콘03=언어선택-4"
"19","traffic conditions-1","Hue-A)M53-1=V1=H-11=01=Fin=down_live","전국 도로교통 상황을 실시간으로 확인해 보세요.
안전하고 빠른 길을 미리 찾아보세요.","Check real-time traffic nationwide.
Find the best route for your trip.","全国の道路状況をリアルタイムで確認しましょう。
快適な移動のために、事前にチェックしてください。","请实时查询全国道路交通状况。
提前规划路线，助您顺畅出行。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> AI검색 버튼(뭐하지) ","","아이콘04=전국휴게소 -1"
"20","traffic conditions-2","Hue-A)M54-1=V1=H-11=01=Fin=down_live","목적지까지의 교통 상황을 미리 확인하세요.
사고나 정체 구간이 없는지 살펴볼 수 있습니다.","Check current traffic on your route.
Look out for accidents or delays.","目的地までの交通状況を確認しましょう。
事故や渋滞がないか事前に分かります。","请提前查看前往目的地的路况。
确认是否有事故或拥堵路段。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘04=전국휴게소 -2"
"21","traffic conditions-3","","","","","","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘04=전국휴게소 -3"
"22","","","","","","","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘05=1"
"23","","","","","","","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘05=2"
"24","","","","","","","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘05=3"
"25","Event","Hue-A)M30-1=V1=W-14=01=Fin=down_live","화성시에서 진행 중이거나 곧 열릴 이벤트를 확인해 보세요! 
특별 할인과 특별한 경험을 놓치지 마세요!
","Check out upcoming events in Hwaseong.
Don't miss special deals and fun.","華城市のイベント情報をチェック。
特別な割引や体験をお見逃しなく！","请查看华城市正在进行的精彩活动。
不要错过特别优惠与独特体验！","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면-> 시장이벤트 ","","아이콘06=이벤트-1"
"26","Event","Hue-A)M31-1=V1=W-14=01=Fin=down_live","화성시에서 열리는 축제와 특별한 이벤트를 만나보세요! 
문화 축제, 독특한 활동, 그리고 잊지 못할 경험에 함께하세요!
","Discover festivals and events in Hwaseong!
Join us for unique culture and memories.","華城市の祭りやイベントを楽しもう！
文化体験や忘れられない思い出を一緒に。","请体验华城市的庆典与特别活动！
加入我们的文化节日与难忘旅程。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 시장이벤트 -> 카테고리선택","","아이콘06=이벤트-2"
"27","Event","Hue-A)M32-1=V1=W-14=02=Fin=down_live","핸드폰으로 카메라를 열어서 [QR] 코드를 찍으시면 
방문장소의 길을 안내 받으실수 있어요","Scan the [QR] code with your camera.
Get directions to your destination.","スマホのカメラで[QR]コードをスキャン。
目的地までのルートをご案内します。","请用手机相机扫描[QR]二维码。
即可获取前往目的地的路线。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘06=이벤트-3"
"28","ToEat","Hue-A)M21-1=V1=W-12=02=Fin=down_live","화성휴게소에는 맛집과 간식거리가  많이 있어요. 
방문하고 싶은 카테고리를 선택해주세요. 
","We are full of tasty meals and snacks.
Please choose a food category.","美味しい食事や軽食が沢山あります。
ご希望のカテゴリーをお選びください。","华城服务区拥有众多美食与小吃。
请选择您感兴趣的类别。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 뭐먹지 버튼","","아이콘07=뭐먹지-1"
"29","ToEat_Category","Hue-A)M22-1=V1=W-12=01=Fin=down_live","한식, 분식까지! 다양한 맛집이 가득해요.
매장을 클릭하면 더 자세한 정보를 확인할 수 있어요.","From Korean meals to snacks, we have it all.
Click a store to see more details.","韓国料理や軽食など、グルメが満載です。
お店を選ぶと詳細を確認できます。","韩餐、小吃等各类美食应有尽有。
点击店铺即可查看详细信息。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 뭐먹지 버튼 -> 카테고리선택","","아이콘07=뭐먹지-2"
"30","ToEat_Detail","Hue-A)M23-1=V1=W-12=02=Fin=down_live","핸드폰으로 카메라를 열어서 [QR] 코드를 찍으시면 
방문장소의 길을 안내 받으실수 있어요","Scan the [QR] code with your mobile. 
Navigation will guide you to the spot.","スマートフォンで  [QR] コードをスキャン。 
ナビが目的地までご案内します。","用手机打开相机扫描\[QR]码，
即可获得前往目的地的路线指引。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 뭐먹지 버튼 -> 카테고리선택 -> 상세검색","","아이콘07=뭐먹지-3"
"31","ToBuy","Hue-A)M24-1=V1=W-06=01=Fin=down_live","즐거운 추억이 될 쇼핑 아이템들을 찾으시나요?
화성휴게소에는 다양한 상점들이 있어요","Looking for souvenirs to make happy memories?
Explore the variety of shops here.","旅の思い出になる品をお探しですか？
華城SAの多彩なショップをご覧ください。","您在寻找留存美好回忆的商品吗？
华城服务区拥有各式各样的商店。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 뭐사지 버튼","","아이콘08=뭐사지-1"
"32","ToBuy_Category","Hue-A)M25-1=V1=W-06=01=Fin=down_live","무엇을 살지 고민되시나요? 카테고리를 참고해보세요!
매장을 클릭하면 자세한 정보를 볼 수 있어요","Not sure what to buy? Check the categories.
Click a store for more details.","何を買うか迷ったら、カテゴリーをチェック。
お店を選ぶと、詳細情報が見られます。","还在犹豫买什么？请查看商品分类。
点击店铺即可获取详细信息。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 뭐사지 버튼 -> 카테고리선택","","아이콘08=뭐사지-2"
"33","ToBuy_Detail","Hue-A)M26-1=V1=W-06=01=Fin=down_live","핸드폰으로 카메라를 열어서 [QR] 코드를 찍으시면 
방문장소의 길을 안내 받으실수 있어요","Scan the [QR] code with your mobile. 
Navigation will guide you to the spot.","スマートフォンで  [QR] コードをスキャン。 
ナビが目的地までご案内します。","用手机打开相机扫描\[QR]码，
即可获得前往目的地的路线指引。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 뭐사지 버튼 -> 카테고리선택 -> 상세검색","","아이콘08=뭐사지-2"
"34","RestArea","Hue-A)M60-1=V1=H-11=01=fin=down_live","전국 고속도로의 다양한 휴게소를 소개합니다.
맛있는 음식과 편안한 쉼터를 만나보세요.","Discover service areas across Korea.
Enjoy great food and a relaxing break.","全国の高速道路サービスエリアをご案内します。
美味しいグルメと快適な休憩をお楽しみください。","为您介绍韩国各地的高速公路休息站。
请在此享受美食与舒适的休憩时光。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘09=전국휴게소-1"
"35","RestArea_Category","Hue-A)M61-1=V1=H-11=01=Fin=down_live","휴게소마다 특별한 매력과 맛집이 가득합니다.
여행의 필수 코스를 지금 바로 검색해 보세요.","Find unique food at every stop.
Search for these highway essentials.","それぞれの名物グルメが楽しめます。
旅の必須スポットを検索しましょう。","每个休息站都有特色美食。
请搜索高速公路的必经之处。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘09=전국휴게소-2"
"36","RestArea_Detail","Hue-A)M62-1=V1=H-11=01=Fin=down_live","QR 코드를 스캔하면 검색 결과와 동일하게 안내됩니다.
모바일로 편리하게 확인해 보세요.","Scan the QR for the same search results.
View the guide directly on your phone.","QRコードで検索結果と同じ案内が見られます。
手軽に詳細をご確認ください。","扫码即可获取与搜索结果一致的指引。
请通过手机查看详细的使用方法。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","","","아이콘09=전국휴게소-3"
"37","TaxFree","HUE-A)M46-1=V1=H-11=01=Fin=down_live","택스 리펀드 서비스에 오신 것을 환영합니다. 
진행을 위해 택스 리펀드 영수증을 꼭 지참해 주세요.","Welcome to the Tax Refund Service.
Please have your receipt ready to proceed.","タックスリファンドサービスへようこそ。
お手続きには免税レシートが必要です。","欢迎使用退税(Tax Refund)服务。
办理时请务必准备好退税单据。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 텍스프리 ","","아이콘10=텍스프리-1"
"38","TaxFree_Introduction","HUE-A)M47-1=V1=H-12=01=fin=down_live","택스 리펀드 이용 방법을 설명해 드릴게요.
준비되셨다면 영수증을 꺼내 시작해 볼까요?","Let me explain the Tax Refund process.
Please have your receipt ready to start.","免税（タックスフリー）手続きをご案内します。
レシートをご用意の上、始めてください。","让我为您说明退税流程。
请准备好您的单据，我们开始吧。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 텍스프리 -> 테스리펀드시작","","아이콘10=텍스프리-2"
"39","TaxFree_Join","HUE-A)M48-1=V1=H-13=01=fin=down_live","택스 리펀드 가맹점 등록을 원하시나요?
아래 두 가지 방법으로 신청해 보세요.","Wish to become a Tax Refund merchant?
Apply using the two methods below.","免税店加盟をご希望ですか？
以下の2つの方法でお申し込みください。","想要成为退税加盟店吗？
请通过以下两种方式进行申请。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 텍스프리 -> 테스리펀드시작 -> 완료 ","","아이콘10=텍스프리-3"
"40","Here","Hue-A)M33-1=V1=W-03=01=Fin=down_live","화성휴게소는 경기도의 대표 휴게소에요 
운전중의 휴식과 다양한 먹거리를 즐기고 가세요 ","Hwaseong Rest Area represents Gyeonggi-do.
Take a break and enjoy various foods.","華城SAは京畿道を代表する休憩スポットです。
運転の疲れを癒し、グルメを満喫してください。","华城服务区是京畿道的代表性服务区。
请在此休憩并尽情享用美食。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 화성휴게소-1","","아이콘11=휴게소-1"
"41","Here","Hue-A)M34-1=V1=W-03=01=Fin=down_live","지금 [WITH]를 통해 다양한 정보를 경험하시고 
한복착장을 통해 잼있는 한국의 전통체험도 경험해보세요  ","Get useful information through [WITH].
Try on Hanbok for a fun cultural experience.","[WITH]で様々な情報をチェックしてください。
韓服を着て、楽しい伝統体験もおすすめです。","请通过[WITH]获取各种实用信息。
试穿韩服，体验有趣的韩国传统文化。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 화성휴게소-2","","아이콘11=휴게소-2"
"42","Here","Hue-A)M35-1=V1=W-03=01=Fin=down_live","핸드폰으로 [QR] 코드를 통해 길 안내를 받을 수 있고 
한복 착장의 결과물을 핸드폰에 저장할 수 있어요 ","Scan the [QR] code to get directions.
Save your Hanbok photo to your phone.","[QR]コードで道案内を受け取れます。
韓服の試着画像をスマホに保存できます。","扫描[QR]二维码即可获取路线导航。
您可将韩服试穿照片保存至手机。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 화성휴게소-3","","아이콘11=휴게소-3"
"43","Greeting","Hue-A)M36-1=V1=H-02=01=Fin=down_live","안녕하세요! 휴게소의 마스코트 ‘HUE’예요. 
MZ세대 대학생이고, K-컬처를 전세계에 알리고 싶어요 ","Hello! I'm 'HUE', the rest area mascot.
I'm a college student sharing K-culture.","こんにちは！SAのマスコット「HUE」です。
Kカルチャーを世界に広める大学生です。","大家好！我是服务区吉祥物‘HUE’。
我是向世界推广K文化的大学生。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 안녕 '휴' -> '휴' 소개 -1","","아이콘12=HUE-1"
"44","Greeting","Hue-A)M36-2=V1=H-02=01=Fin=down_live","WITH를 통해 HUE도 만나고 휴게소 정보를 알아보세요 
한복체험, 화성시의 이벤트등 다양한 정보도 경험하세요 ","Meet 'HUE' and check info on [WITH].
Enjoy Hanbok and Hwaseong events.","[WITH]でH'UE'に会い、情報をチェック。
韓服体験や華城市のイベントも楽しめます。","请通过[WITH]见'HUE'并查询信息。
体验韩服与华城市的精彩活动。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 안녕 '휴' -> '휴' 소개 -2","","아이콘12=HUE-2"
"45","Greeting_Hobby","Hue-A)M39-1=V1=P-05=01=fin=down_live","HUE'는 이제 막 테니스를 시작한 테린이에요. 
테니스도 잼있고 테니스복도 너무 이뻐요!","Hue' is a tennis newbie who just started playing. 
Tennis is so fun, and the outfits are super pretty!","「ひゅ」は てにす しょしんしゃ！
てにすも たのしいし、ふくも かわいい！","“Hue”是刚开始学网球的网球小白。
打网球很有趣，网球服也超级好看！","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 안녕 '휴' -> 휴의 취미-1(테니스)","","아이콘12=HUE-테니스"
"46","Greeting_Hobby","Hue-A)M38-1=V1=W-10=01=Fin=down_live","HUE'는 주말에 등산을 가는걸 좋아애요 
한국의 명산을 등반하는 즐거움을 함께 해봐요 ","HUE' loves hiking on weekends.
Enjoy climbing Korea's famous mountains.","HUE'は週末の登山が大好きです。
韓国の名山を登る楽しさを一緒に！","HUE'喜欢周末去登山。
请一起体验攀登韩国名山的乐趣。","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 안녕 '휴' -> 휴의 취미-1(골프)","","아이콘12=HUE-등산"
"47","Greeting_Stretching","Hue-A)M67-1=V1=P-02=01=fin=down_live","휴식겸 잠깐 저를 따라서 스트레칭 어떠신가요? 
2분만 스트레칭한번하고 다시 즐거운 여정을 떠나보세요 ","Enjoying Osaek Market? Let’s do a quick 2-minute stretch together before you keep exploring!","オセク市場を楽しんでいますか？散策を続ける前に2分間ストレッチを一緒にしましょう！","逛华城休息站开心吗？
跟我一起做个2分钟伸展，再继续探险吧！","휴게소 엠버서더 '휴(HUE)'","Rest Area Ambassador 'HUE'","サービスエリア・アンバサダー「HUE(ヒュー)","休息站形象大使 ‘休(HUE)","기본화면 -> 안녕정이 -> 스트레칭 고고~ - 1","","아이콘12=HUE-3-1"
